Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp
ASO1-95_MT_1.2-6_20210630,I5,ASO19_10,KQ975_L20_5-10-5_10uM_P1.2-2,33.27,25.50,7.76,,,,-0.34,,
ASO1-95_MT_1.2-6_20210630,I6,ASO19_10,KQ975_L20_5-10-5_10uM_P1.2-2,32.91,25.58,7.33,,,,-0.78,,
ASO1-95_MT_1.2-6_20210630,I7,ASO19_3,KQ975_L20_5-10-5_3uM_P1.2-2,33.04,25.16,7.88,,,,-0.23,-0.21,1.15
ASO1-95_MT_1.2-6_20210630,I8,ASO19_3,KQ975_L20_5-10-5_3uM_P1.2-2,33.13,25.10,8.03,,,,-0.08,,
ASO1-95_MT_1.2-6_20210630,I9,ASO19_3,KQ975_L20_5-10-5_3uM_P1.2-2,32.94,25.15,7.79,,,,-0.31,,
ASO1-95_MT_1.2-6_20210630,I10,ASO19_3,KQ975_L20_5-10-5_3uM_P1.2-2,32.35,25.07,7.28,,,,-0.82,-0.66,1.58
ASO1-95_MT_1.2-6_20210630,I11,ASO19_3,KQ975_L20_5-10-5_3uM_P1.2-2,32.64,25.02,7.62,,,,-0.49,,
ASO1-95_MT_1.2-6_20210630,I12,ASO19_3,KQ975_L20_5-10-5_3uM_P1.2-2,32.52,25.09,7.43,,,,-0.67,,
ASO1-95_MT_1.2-6_20210630,I13,ASO54_10,KQ912_L20_5-10-5_10uM_P1.2-2,36.29,31.54,4.75,,,,-3.35,-1.97,3.93
ASO1-95_MT_1.2-6_20210630,I14,ASO54_10,KQ912_L20_5-10-5_10uM_P1.2-2,36.52,31.49,5.03,,,,-3.08,,
ASO1-95_MT_1.2-6_20210630,I15,ASO54_10,KQ912_L20_5-10-5_10uM_P1.2-2,40.00,31.38,8.62,,,,0.51,,
ASO1-95_MT_1.2-6_20210630,I16,ASO54_10,KQ912_L20_5-10-5_10uM_P1.2-2,34.86,28.42,6.44,,,,-1.66,-1.17,2.25
ASO1-95_MT_1.2-6_20210630,I17,ASO54_10,KQ912_L20_5-10-5_10uM_P1.2-2,35.61,28.24,7.37,,,,-0.74,,
ASO1-95_MT_1.2-6_20210630,I18,ASO54_10,KQ912_L20_5-10-5_10uM_P1.2-2,35.35,28.35,7.00,,,,-1.11,,
ASO1-95_MT_1.2-6_20210630,I19,ASO54_3,KQ912_L20_5-10-5_3uM_P1.2-2,35.66,28.94,6.72,,,,-1.39,-1.10,2.14
ASO1-95_MT_1.2-6_20210630,I20,ASO54_3,KQ912_L20_5-10-5_3uM_P1.2-2,36.21,28.85,7.36,,,,-0.74,,
ASO1-95_MT_1.2-6_20210630,I21,ASO54_3,KQ912_L20_5-10-5_3uM_P1.2-2,35.87,28.92,6.95,,,,-1.16,,
ASO1-95_MT_1.2-6_20210630,I22,ASO54_3,KQ912_L20_5-10-5_3uM_P1.2-2,36.24,29.45,6.79,,,,-1.32,-1.22,2.33
ASO1-95_MT_1.2-6_20210630,I23,ASO54_3,KQ912_L20_5-10-5_3uM_P1.2-2,36.00,29.61,6.39,,,,-1.71,,
ASO1-95_MT_1.2-6_20210630,I24,ASO54_3,KQ912_L20_5-10-5_3uM_P1.2-2,37.08,29.60,7.48,,,,-0.62,,
ASO1-95_MT_1.2-6_20210630,J1,ASO23_10,KQ391_L20_5-10-5_10uM_P1.2-2,33.20,26.81,6.39,,,,-1.72,-1.85,3.60
ASO1-95_MT_1.2-6_20210630,J2,ASO23_10,KQ391_L20_5-10-5_10uM_P1.2-2,33.23,26.80,6.43,,,,-1.67,,
