Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp,,,
ASO268-186_MT_1.2-8_20210701,A2,ASO268_10,KQJM010_L21_7-08-6_10uM_P1.2-5,30.96479161,23.74585125,7.22,,,,-0.21,,,,,
ASO268-186_MT_1.2-8_20210701,A3,ASO268_10,KQJM010_L21_7-08-6_10uM_P1.2-5,30.86268493,23.82915658,7.03,,,,-0.40,,,,,
ASO268-186_MT_1.2-8_20210701,A4,ASO268_10,KQJM010_L21_7-08-6_10uM_P1.2-5,30.52958946,23.1922841,7.34,,,,-0.09,-0.11,1.08,,,
ASO268-186_MT_1.2-8_20210701,A5,ASO268_10,KQJM010_L21_7-08-6_10uM_P1.2-5,30.56049637,23.2063735,7.35,,,,-0.08,,,,,
ASO268-186_MT_1.2-8_20210701,A6,ASO268_10,KQJM010_L21_7-08-6_10uM_P1.2-5,30.47776102,23.20629632,7.27,,,,-0.16,,,,,
ASO268-186_MT_1.2-8_20210701,A7,ASO268_3,KQJM010_L21_7-08-6_3uM_P1.2-5,32.30903994,24.15497239,8.15,,,,0.72,0.83,0.56,,,
ASO268-186_MT_1.2-8_20210701,A8,ASO268_3,KQJM010_L21_7-08-6_3uM_P1.2-5,32.29325617,24.1529251,8.14,,,,0.71,,,,,
ASO268-186_MT_1.2-8_20210701,A9,ASO268_3,KQJM010_L21_7-08-6_3uM_P1.2-5,32.64521113,24.17441272,8.47,,,,1.04,,,,,
ASO268-186_MT_1.2-8_20210701,A10,ASO268_3,KQJM010_L21_7-08-6_3uM_P1.2-5,31.80779529,24.96850099,6.84,,,,-0.59,-0.54,1.45,,,
ASO268-186_MT_1.2-8_20210701,A11,ASO268_3,KQJM010_L21_7-08-6_3uM_P1.2-5,31.98119108,25.00598421,6.98,,,,-0.45,,,,,
ASO268-186_MT_1.2-8_20210701,A12,ASO268_3,KQJM010_L21_7-08-6_3uM_P1.2-5,31.93508249,25.0795984,6.86,,,,-0.57,,,,,
ASO268-186_MT_1.2-8_20210701,A13,ASO149_10,KQ455_L20_5-10-5_10uM_P1.2-5,31.50662931,23.95110232,7.56,,,,0.13,0.30,0.82,,,
ASO268-186_MT_1.2-8_20210701,A14,ASO149_10,KQ455_L20_5-10-5_10uM_P1.2-5,31.79644027,23.97417277,7.82,,,,0.39,,,,,
ASO268-186_MT_1.2-8_20210701,A15,ASO149_10,KQ455_L20_5-10-5_10uM_P1.2-5,31.83894138,24.04262668,7.80,,,,0.37,,,,,
ASO268-186_MT_1.2-8_20210701,A16,ASO149_10,KQ455_L20_5-10-5_10uM_P1.2-5,31.6710215,23.82712057,7.84,,,,0.41,0.25,0.84,,,
ASO268-186_MT_1.2-8_20210701,A17,ASO149_10,KQ455_L20_5-10-5_10uM_P1.2-5,31.39833621,23.77665269,7.62,,,,0.19,,,,,
ASO268-186_MT_1.2-8_20210701,A18,ASO149_10,KQ455_L20_5-10-5_10uM_P1.2-5,31.40905996,23.84696891,7.56,,,,0.13,,,,,
ASO268-186_MT_1.2-8_20210701,A19,ASO149_3,KQ455_L20_5-10-5_3uM_P1.2-5,29.61295473,22.15204051,7.46,,,,0.03,-0.02,1.01,,,
ASO268-186_MT_1.2-8_20210701,A20,ASO149_3,KQ455_L20_5-10-5_3uM_P1.2-5,29.57188701,22.19001702,7.38,,,,-0.05,,,,,
