Experiment Name,Position,SampleName,ASO Microsynth ID ,CrossingPoint,CrossingPoint.1,dCt,Unnamed: 7,Avg,SD,ddCt,Avg_ddCt,Exp
ASO469-516_MT_1.2-4_20210630,O1,Naïve_P43,Naïve_P43,27.7223371204852,20.1790779782442,7.5432591422409985,,,,-1.424323290139876,-1.4106399188445409,2.6585505879350437
ASO469-516_MT_1.2-4_20210630,O2,Naïve_P43,Naïve_P43,27.6779829606893,20.1824242137874,7.495558746901899,,,,-1.472023685478975,,
ASO469-516_MT_1.2-4_20210630,O3,Naïve_P43,Naïve_P43,27.7310785421588,20.0990688906927,7.632009651466102,,,,-1.335572780914772,,
ASO469-516_MT_1.2-4_20210630,O4,Naïve_P43,Naïve_P43,27.8036924900971,20.2615768779988,7.5421156120983,,,,-1.4254668202825744,-1.377388813571909,2.5979772790663263
ASO469-516_MT_1.2-4_20210630,O5,Naïve_P43,Naïve_P43,27.8382524910187,20.2846430892538,7.5536094017648985,,,,-1.413973030615976,,
ASO469-516_MT_1.2-4_20210630,O6,Naïve_P43,Naïve_P43,28.0055978026336,20.3307419600699,7.674855842563698,,,,-1.2927265898171765,,
ASO469-516_MT_1.2-4_20210630,O7,Naïve_P43,Naïve_P43,27.8524196771543,20.3459714552334,7.506448221920898,,,,-1.461134210459976,-1.4527074703766096,2.737212556040682
ASO469-516_MT_1.2-4_20210630,O8,Naïve_P43,Naïve_P43,27.7952158382208,20.2733164763685,7.521899361852299,,,,-1.4456830705285757,,
ASO469-516_MT_1.2-4_20210630,O9,Naïve_P43,Naïve_P43,27.821610156278,20.3053328540384,7.5162773022395974,,,,-1.451305130141277,,
ASO469-516_MT_1.2-4_20210630,P1,Naïve_P43,Naïve_P43,37.4101447479911,27.969124080038,9.441020667953097,,,,0.47343823557222287,0.547566232882625,0.6841733276302994
ASO469-516_MT_1.2-4_20210630,P2,Naïve_P43,Naïve_P43,36.7266683024888,27.8613170490606,8.865351253428198,,,,-0.10223117895267642,,
ASO469-516_MT_1.2-4_20210630,P3,Naïve_P43,Naïve_P43,38.0267359814746,27.7876619070654,10.239074074409203,,,,1.2714916420283284,,
ASO469-516_MT_1.2-4_20210630,P4,Naïve_P43,Naïve_P43,28.0599378487459,20.3560035572848,7.703934291461099,,,,-1.2636481409197753,-1.270744933534641,2.412861211241678
ASO469-516_MT_1.2-4_20210630,P5,Naïve_P43,Naïve_P43,27.9956697732675,20.2960451063853,7.699624666882201,,,,-1.2679577654986733,,
ASO469-516_MT_1.2-4_20210630,P6,Naïve_P43,Naïve_P43,28.0546462981309,20.3676927599355,7.6869535381954,,,,-1.2806288941854742,,
ASO469-516_MT_1.2-4_20210630,P7,Naïve_P43,Naïve_P43,28.0314989736784,20.3615537484973,7.669945225181099,,,,-1.2976372071997755,-1.3199146591433746,2.4965134152445327
ASO469-516_MT_1.2-4_20210630,P8,Naïve_P43,Naïve_P43,27.9939640704199,20.3535895334892,7.6403745369307,,,,-1.327207895450174,,
ASO469-516_MT_1.2-4_20210630,P9,Naïve_P43,Naïve_P43,28.0000456251338,20.3673620675331,7.6326835576007,,,,-1.3348988747801744,,
ASO469-516_MT_1.2-4_20210630,O10,Ionis1375651_10_P43,Ionis1375651_10_P43,34.2361068349056,24.5885776905966,9.647529144308997,,,,0.6799467119281228,0.7089312029600929,0.6117731931769769
ASO469-516_MT_1.2-4_20210630,O11,Ionis1375651_10_P43,Ionis1375651_10_P43,34.6227511825354,24.5684482437051,10.054302938830304,,,,1.0867205064494296,,
ASO469-516_MT_1.2-4_20210630,O12,Ionis1375651_10_P43,Ionis1375651_10_P43,33.9334360900133,24.6057272671297,9.3277088228836,,,,0.3601263905027263,,
ASO469-516_MT_1.2-4_20210630,P10,Ionis1375651_10_P43,Ionis1375651_10_P43,36.2066456461427,26.5563282264441,9.650317419698595,,,,0.6827349873177209,1.1498542536078578,0.45067075743352136
ASO469-516_MT_1.2-4_20210630,P11,Ionis1375651_10_P43,Ionis1375651_10_P43,38.1226274435226,26.5806360618153,11.541991381707302,,,,2.5744089493264273,,
ASO469-516_MT_1.2-4_20210630,P12,Ionis1375651_10_P43,Ionis1375651_10_P43,35.7394788174647,26.5794775609044,9.1600012565603,,,,0.19241882417942513,,
ASO469-516_MT_1.2-4_20210630,O13,Ionis676630_10_P43,Ionis676630_10_P43,34.3026631277846,25.3259077246983,8.976755403086297,8.987226563963498,8.967582432380874,0.039920404707255115,0.009172970705423111,0.019644131582622865,0.9864760077223528
ASO469-516_MT_1.2-4_20210630,O14,Ionis676630_10_P43,Ionis676630_10_P43,34.4054605704906,25.3292832713912,9.076177299099395,,,,0.10859486671852103,,
ASO469-516_MT_1.2-4_20210630,O15,Ionis676630_10_P43,Ionis676630_10_P43,34.257475458544,25.3487284688392,8.908746989704799,,,,-0.058835442676075544,,
ASO469-516_MT_1.2-4_20210630,O16,Ionis676630_10_P43,Ionis676630_10_P43,34.3145290278156,25.54206677599,8.772462251825601,8.9807315111728,,,-0.19512018055527314,0.01314907879192558,0.9909271619576326
ASO469-516_MT_1.2-4_20210630,O17,Ionis676630_10_P43,Ionis676630_10_P43,34.5604089721081,25.5636513896834,8.9967575824247,,,,0.02917515004382487,,
ASO469-516_MT_1.2-4_20210630,O18,Ionis676630_10_P43,Ionis676630_10_P43,34.7764241384156,25.6034494391475,9.1729746992681,,,,0.205392266887225,,
