Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt,Exp,Exp_std,Exp_zscore,Test plate #,Avg_plate,Min_plate,Max_plate
ASO1-24_total_20210611,D13,ASO10_10,KQ280_10,6.5117885927774,0.3790778188858619,0.7689289385346771,0.09631921627770428,1.1040383440058907,1.0,0.8074392109314578,0.0030280555436308964,1.973998338267379
ASO1-24_total_20210611,D14,ASO10_10,KQ280_10,6.871315461522702,0.738604687631164,0.5993187072845115,0.09631921627770428,0.27807225291461296,1.0,,,
ASO1-24_total_20210611,D15,ASO10_10,KQ280_10,6.522536950379099,0.3898261764875608,0.7632215559017764,0.09631921627770428,1.076244593069332,1.0,,,
ASO1-24_total_20210611,D16,ASO10_10,KQ280_10,7.868125384670698,1.73541461077916,0.30032269135371353,0.10580581671701857,1.177975349343376,1.0,,,
ASO1-24_total_20210611,D17,ASO10_10,KQ280_10,7.748360263677103,1.615649489785565,0.32631800793827687,0.10580581671701857,1.051383634517145,1.0,,,
ASO1-24_total_20210611,D18,ASO10_10,KQ280_10,7.146646872664697,1.0139360987731587,0.49519336905848865,0.10580581671701857,0.2289962061293125,1.0,,,
ASO1-24_MT_20210611,D13,ASO10_10,KQ280_10,8.0751580123363,1.5115614925846057,0.3507314013330448,0.04337523257949688,0.08819639722996958,1.0,,,
ASO1-24_MT_20210611,D14,ASO10_10,KQ280_10,7.921889954508398,1.3582934347567042,0.3900433997362751,0.04337523257949688,0.5227368021752119,1.0,,,
ASO1-24_MT_20210611,D15,ASO10_10,KQ280_10,7.756707559727101,1.193111039975407,0.4373587189488487,0.04337523257949688,1.258046644501614,1.0,,,
ASO1-24_MT_20210611,D16,ASO10_10,KQ280_10,8.603367228105103,2.0397707083534096,0.24320238663209753,0.06720130043809139,1.7592649678559409,1.0,,,
ASO1-24_MT_20210611,D17,ASO10_10,KQ280_10,8.007610421165896,1.4440139014142028,0.36754329253371526,0.06720130043809139,0.17307097396613436,1.0,,,
ASO1-24_MT_20210611,D18,ASO10_10,KQ280_10,8.0799824741784,1.516385954426707,0.34956049262519473,0.06720130043809139,0.10639305555704809,1.0,,,
ASO1-24_WT_20210611,D13,ASO10_10,KQ280_10,6.606303421252601,-0.2946405313725035,1.2265793189498628,0.06960781744774112,1.2655348867761282,1.0,,,
ASO1-24_WT_20210611,D14,ASO10_10,KQ280_10,6.708228269185302,-0.1927156834398031,1.142913075656047,0.06960781744774112,0.8322635476955762,1.0,,,
ASO1-24_WT_20210611,D15,ASO10_10,KQ280_10,6.778756584683997,-0.122187367941108,1.0883837847691293,0.06960781744774112,0.5498799010590347,1.0,,,
ASO1-24_WT_20210611,D16,ASO10_10,KQ280_10,7.256840735461402,0.3558967828362975,0.7813837820298885,0.03525327952572052,1.0399405217063293,1.0,,,
ASO1-24_WT_20210611,D17,ASO10_10,KQ280_10,7.1346896122859995,0.2337456596608946,0.8504240726069833,0.03525327952572052,0.682410674886264,1.0,,,
ASO1-24_WT_20210611,D18,ASO10_10,KQ280_10,7.216545231655598,0.3156012790304929,0.8035160356605108,0.03525327952572052,0.9253271389381451,1.0,,,
ASO1-24_total_20210611,D19,ASO10_3,KQ280_3,6.040984111862201,-0.0917266620293366,1.0656448162036853,0.11157329204119142,1.0680173669195066,1.0,,,
ASO1-24_total_20210611,D20,ASO10_3,KQ280_3,6.004830969875901,-0.1278798040156372,1.0926866997468547,0.11157329204119142,1.1690274772883271,1.0,,,
ASO1-24_total_20210611,D21,ASO10_3,KQ280_3,6.305152836679699,0.1724420627881615,0.8873394018832167,0.11157329204119142,0.40198944208517223,1.0,,,
ASO1-24_total_20210611,D22,ASO10_3,KQ280_3,7.0619937812966,0.9292830074050622,0.5251192514710259,0.018564706155476025,0.9510190239315415,1.0,,,
ASO1-24_total_20210611,D23,ASO10_3,KQ280_3,7.007489471863703,0.8747786979721655,0.5453375118974321,0.018564706155476025,0.8754973349975357,1.0,,,
ASO1-24_total_20210611,D24,ASO10_3,KQ280_3,6.963560495493599,0.8308497216020614,0.5621980202230566,0.018564706155476025,0.81251792736393,1.0,,,
ASO1-24_MT_20210611,D19,ASO10_3,KQ280_3,6.838938605660097,0.2753420859084032,0.826254376888645,0.07595178362052517,0.955853312475648,1.0,,,
ASO1-24_MT_20210611,D20,ASO10_3,KQ280_3,7.0406770669134,0.4770805471617061,0.7184299764609561,0.07595178362052517,0.41152424889937705,1.0,,,
ASO1-24_MT_20210611,D21,ASO10_3,KQ280_3,6.7728157333094,0.2092192135577066,0.8650052454224104,0.07595178362052517,1.151479014061604,1.0,,,
ASO1-24_MT_20210611,D22,ASO10_3,KQ280_3,7.8956090501758,1.3320125304241062,0.39721375006158754,0.09665832278919662,1.210069073464895,1.0,,,
ASO1-24_MT_20210611,D23,ASO10_3,KQ280_3,7.349183767901401,0.7855872481497075,0.5801157733488332,0.09665832278919662,0.28672624320339335,1.0,,,
ASO1-24_MT_20210611,D24,ASO10_3,KQ280_3,7.766315816556201,1.2027192968045073,0.434455615785583,0.09665832278919662,1.0220612587683437,1.0,,,
ASO1-24_WT_20210611,D19,ASO10_3,KQ280_3,6.525260833215501,-0.3756831194096035,1.2974537565549984,0.0692022400753133,0.7348274043310078,1.0,,,
ASO1-24_WT_20210611,D20,ASO10_3,KQ280_3,6.497970643879,-0.4029733087461045,1.3222301423795457,0.0692022400753133,0.8153802689371867,1.0,,,
ASO1-24_WT_20210611,D21,ASO10_3,KQ280_3,6.387182830739501,-0.5137611218856035,1.4277675536566454,0.0692022400753133,1.158502985127217,1.0,,,
ASO1-24_WT_20210611,D22,ASO10_3,KQ280_3,7.223728541705299,0.3227845890801939,0.7995251997248947,0.018646073478146837,0.8840354881795978,1.0,,,
ASO1-24_WT_20210611,D23,ASO10_3,KQ280_3,7.2726572749017,0.3717133222765953,0.7728641101062944,0.018646073478146837,0.970715892557727,1.0,,,
ASO1-24_WT_20210611,D24,ASO10_3,KQ280_3,7.2071318313087005,0.3061878786835956,0.8087760165600808,0.018646073478146837,0.853959277658085,1.0,,,
ASO1-24_total_20210611,E13,ASO11_10,KQ371_10,8.266681494506198,2.13397072061466,0.227829943903625,0.02703406644347867,0.463332103858573,1.0,,,
