Experiment Name,SampleName,ASO Microsynth ID,Delta Ct Mean,Delta Ct Naive Mean,ddCt,Avg Exp
Experiment_37_MT_1,KQ895_10uM,KQ895_10uM,8.118,6.8395,1.2785,0.412223884
Experiment_37_MT_1,KQ896_10uM,KQ896_10uM,7.901,6.8395,1.0615,0.479133635
Experiment_37_MT_1,KQ897_10uM,KQ897_10uM,8.041,6.8395,1.2015,0.434822952
Experiment_37_MT_1,KQ898_10uM,KQ898_10uM,8.022,6.8395,1.1825,0.440587357
Experiment_37_MT_1,KQ899_10uM,KQ899_10uM,8.043,6.8395,1.2035,0.434220577
Experiment_37_MT_1,KQ900_10uM,KQ900_10uM,7.911,6.8395,1.0715,0.475824018
Experiment_37_MT_1,Naive_1,Naive_1,6.718,6.8395,-0.1215,1.087865351
Experiment_37_MT_1,Naive_2,Naive_2,6.961,6.8395,0.1215,0.91923141
Experiment_37_MT_2,Ionis 1375651_10uM,Ionis 1375651_10uM,9.487,6.9915,2.4955,0.177328951
Experiment_37_MT_2,Ionis 676630_10uM,Ionis 676630_10uM,7.383,6.9915,0.3915,0.762336575
Experiment_37_MT_2,KQ332_10uM,KQ332_10uM,9.849,6.9915,2.8575,0.137977028
Experiment_37_MT_2,KQ871L_1uM,KQ871L_1uM,7.04,6.9915,0.0485,0.966941155
Experiment_37_MT_2,KQ874L_1uM,KQ874L_1uM,7.488,6.9915,0.4965,0.708824315
Experiment_37_MT_2,KQ880_10uM,KQ880_10uM,7.689,6.9915,0.6975,0.616639837
Experiment_37_MT_2,KQ881_10uM,KQ881_10uM,8.348,6.9915,1.3565,0.39052857
Experiment_37_MT_2,KQ882_10uM,KQ882_10uM,8.617,6.9915,1.6255,0.324097546
Experiment_37_MT_2,KQ884_10uM,KQ884_10uM,7.297,6.9915,0.3055,0.809161734
Experiment_37_MT_2,KQ885_10uM,KQ885_10uM,7.951,6.9915,0.9595,0.514235103
Experiment_37_MT_2,KQ886_10uM,KQ886_10uM,8.352,6.9915,1.3605,0.389447294
Experiment_37_MT_2,KQ887_10uM,KQ887_10uM,8.083,6.9915,1.0915,0.469273208
Experiment_37_MT_2,KQ888_10uM,KQ888_10uM,7.343,6.9915,0.3515,0.783768773
Experiment_37_MT_2,KQ889_10uM,KQ889_10uM,7.582,6.9915,0.5905,0.664112703
Experiment_37_MT_2,KQ890_10uM,KQ890_10uM,7.529,6.9915,0.5375,0.688963758
Experiment_37_MT_2,KQ891_10uM,KQ891_10uM,7.689,6.9915,0.6975,0.616639837
Experiment_37_MT_2,KQ893_10uM,KQ893_10uM,8.376,6.9915,1.3845,0.383022222
Experiment_37_MT_2,KQ894_10uM,KQ894_10uM,8.263,6.9915,1.2715,0.414228867
Experiment_37_MT_2,KQ895_10uM,KQ895_10uM,8.197,6.9915,1.2055,0.433619037
Experiment_37_MT_2,KQ896_10uM,KQ896_10uM,8.929,6.9915,1.9375,0.261068446
Experiment_37_MT_2,KQ897_10uM,KQ897_10uM,8.213,6.9915,1.2215,0.428836616
Experiment_37_MT_2,KQ898_10uM,KQ898_10uM,8.946,6.9915,1.9545,0.258010199
Experiment_37_MT_2,KQ899_10uM,KQ899_10uM,8.039,6.9915,1.0475,0.48380581
Experiment_37_MT_2,KQ900_10uM,KQ900_10uM,7.555,6.9915,0.5635,0.676658587
Experiment_37_MT_2,Naive_1,Naive_1,6.822,6.9915,-0.1695,1.124668637
Experiment_37_MT_2,Naive_2,Naive_2,7.161,6.9915,0.1695,0.889150784
Experiment_40_MT_1,Naive_1,Naive_1,6.819,6.8025,0.0165,0.988628225
Experiment_40_MT_1,Naive_2,Naive_2,6.786,6.8025,-0.0165,1.01150258
Experiment_40_MT_1,KQ958_10uM,KQ958_10uM,8.056,6.8025,1.2535,0.41942943
Experiment_40_MT_1,KQ106_10uM,KQ106_10uM,8.162,6.8025,1.3595,0.389717332
Experiment_40_MT_1,KQ830_10uM,KQ830_10uM,7.149,6.8025,0.3465,0.786489822
Experiment_40_MT_1,KQ373_10uM,KQ373_10uM,9.161,6.8025,2.3585,0.194993779
Experiment_40_MT_1,KQ500_10uM,KQ500_10uM,9.116,6.8025,2.3135,0.201171801
Experiment_40_MT_1,KQ479_10uM,KQ479_10uM,7.958,6.8025,1.1555,0.448910579
Experiment_40_MT_1,KQ105_10uM,KQ105_10uM,7.474,6.8025,0.6715,0.627853555
Experiment_40_MT_1,KQ920_10uM,KQ920_10uM,7.404,6.8025,0.6015,0.659068352
Experiment_40_MT_1,KQ332_10uM,KQ332_10uM,8.348,6.8025,1.5455,0.342576953
Experiment_40_MT_1,KQ501_10uM,KQ501_10uM,8.29,6.8025,1.4875,0.356630006
Experiment_40_MT_1,KQ480_10uM,KQ480_10uM,7.999,6.8025,1.1965,0.436332548
Experiment_40_MT_1,KQJM071_10uM,KQJM071_10uM,7.609,6.8025,0.8065,0.571767293
Experiment_40_MT_1,KQ921_10uM,KQ921_10uM,7.673,6.8025,0.8705,0.546957257
Experiment_40_MT_1,KQ258_10uM,KQ258_10uM,8.234,6.8025,1.4315,0.370745221
Experiment_40_MT_1,KQ955_10uM,KQ955_10uM,9.485,6.8025,2.6825,0.155771154
Experiment_40_MT_1,KQ995_10uM,KQ995_10uM,8.451,6.8025,1.6485,0.318971626
Experiment_40_MT_1,KQ928_10uM,KQ928_10uM,7.623,6.8025,0.8205,0.566245663
Experiment_40_MT_1,KQ371_10uM,KQ371_10uM,8.695,6.8025,1.8925,0.269339924
Experiment_40_MT_1,Ionis 676630_10uM,Ionis 676630_10uM,6.847,6.8025,0.0445,0.969625805
Experiment_40_MT_1,KQ957_10uM,KQ957_10uM,8.897,6.8025,2.0945,0.234149198
Experiment_40_MT_1,KQ288_10uM,KQ288_10uM,7.681,6.8025,0.8785,0.543932675
Experiment_40_MT_1,KQ980_10uM,KQ980_10uM,7.772,6.8025,0.9695,0.510683021
Experiment_40_MT_1,KQ280_10uM,KQ280_10uM,8.284,6.8025,1.4815,0.358116277
Experiment_40_MT_1,Ionis 1375651_10uM,Ionis 1375651_10uM,8.443,6.8025,1.6405,0.320745293
Experiment_40_MT_1,KQ956_10uM,KQ956_10uM,9.058,6.8025,2.2555,0.20942419
Experiment_40_MT_1,KQ426_10uM,KQ426_10uM,7.31,6.8025,0.5075,0.703440352
Experiment_40_MT_1,KQJM069_10uM,KQJM069_10uM,7.09,6.8025,0.2875,0.819320604
Experiment_40_MT_1,KQ372_10uM,KQ372_10uM,8.464,6.8025,1.6615,0.316110311
Experiment_40_MT_2,Naive_1,Naive_1,8.087,7.537,0.55,0.683020128
Experiment_40_MT_2,Naive_2,Naive_2,6.987,7.537,-0.55,1.464085696
Experiment_40_MT_2,KQ958_10uM,KQ958_10uM,8.196,7.537,0.659,0.633317127
Experiment_40_MT_2,KQ106_10uM,KQ106_10uM,7.859,7.537,0.322,0.799960128
Experiment_40_MT_2,KQ830_10uM,KQ830_10uM,7.674,7.537,0.137,0.909408252
Experiment_40_MT_2,KQ373_10uM,KQ373_10uM,10.283,7.537,2.746,0.149063609
Experiment_40_MT_2,KQ500_10uM,KQ500_10uM,9.542,7.537,2.005,0.249135066
Experiment_40_MT_2,KQ479_10uM,KQ479_10uM,8.485,7.537,0.948,0.518350551
Experiment_40_MT_2,KQ105_10uM,KQ105_10uM,7.994,7.537,0.457,0.728499557
Experiment_40_MT_2,KQ920_10uM,KQ920_10uM,7.964,7.537,0.427,0.743806881
Experiment_40_MT_2,KQ332_10uM,KQ332_10uM,8.847,7.537,1.31,0.40332088
Experiment_40_MT_2,KQ501_10uM,KQ501_10uM,8.911,7.537,1.374,0.385820044
Experiment_40_MT_2,KQ480_10uM,KQ480_10uM,8.56,7.537,1.023,0.492092011
Experiment_40_MT_2,KQJM071_10uM,KQJM071_10uM,8.038,7.537,0.501,0.706616822
Experiment_40_MT_2,KQ921_10uM,KQ921_10uM,8.246,7.537,0.709,0.611744021
Experiment_40_MT_2,KQ258_10uM,KQ258_10uM,8.805,7.537,1.268,0.415235012
Experiment_40_MT_2,KQ955_10uM,KQ955_10uM,9.807,7.537,2.27,0.207329886
Experiment_40_MT_2,KQ995_10uM,KQ995_10uM,8.964,7.537,1.427,0.371903441
Experiment_40_MT_2,KQ928_10uM,KQ928_10uM,8.286,7.537,0.749,0.595015848
Experiment_40_MT_2,KQ371_10uM,KQ371_10uM,9.214,7.537,1.677,0.31273227
Experiment_40_MT_2,Ionis 676630_10uM,Ionis 676630_10uM,7.706,7.537,0.169,0.889458994
Experiment_40_MT_2,KQ957_10uM,KQ957_10uM,9.18,7.537,1.643,0.320189965
Experiment_40_MT_2,KQ288_10uM,KQ288_10uM,8.426,7.537,0.889,0.53998828
Experiment_40_MT_2,KQ980_10uM,KQ980_10uM,8.388,7.537,0.851,0.554400322
Experiment_40_MT_2,KQ280_10uM,KQ280_10uM,8.901,7.537,1.364,0.388503634
Experiment_40_MT_2,Ionis 1375651_10uM,Ionis 1375651_10uM,9.682,7.537,2.145,0.226094844
Experiment_40_MT_2,KQ956_10uM,KQ956_10uM,9.432,7.537,1.895,0.268873598
Experiment_40_MT_2,KQ426_10uM,KQ426_10uM,8.348,7.537,0.811,0.569986636
Experiment_40_MT_2,KQJM069_10uM,KQJM069_10uM,7.69,7.537,0.153,0.899378312
Experiment_40_MT_2,KQ372_10uM,KQ372_10uM,9.141,7.537,1.604,0.328963631
Experiment_40_WT_1,Naive_1,Naive_1,6.819,6.7795,0.0395,0.972992102
Experiment_40_WT_1,Naive_2,Naive_2,6.74,6.7795,-0.0395,1.027757571
Experiment_40_WT_1,KQ958_10uM,KQ958_10uM,7.438,6.7795,0.6585,0.633536656
Experiment_40_WT_1,KQ106_10uM,KQ106_10uM,7.874,6.7795,1.0945,0.468298395
Experiment_40_WT_1,KQ830_10uM,KQ830_10uM,6.806,6.7795,0.0265,0.981799271
Experiment_40_WT_1,KQ373_10uM,KQ373_10uM,8.374,6.7795,1.5945,0.331136971
Experiment_40_WT_1,KQ500_10uM,KQ500_10uM,7.696,6.7795,0.9165,0.529792748
Experiment_40_WT_1,KQ479_10uM,KQ479_10uM,7.346,6.7795,0.5665,0.675252977
Experiment_40_WT_1,KQ105_10uM,KQ105_10uM,7.432,6.7795,0.6525,0.636176947
Experiment_40_WT_1,KQ920_10uM,KQ920_10uM,6.972,6.7795,0.1925,0.875087995
