Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp
ASO1-95_total_1.2-6_20210630,I4,ASO19_10,KQ975_L20_5-10-5_10uM_P1.2-2,33.23238145,25.58087582,7.65,,,,-0.19,-0.31,1.24
ASO1-95_total_1.2-6_20210630,I5,ASO19_10,KQ975_L20_5-10-5_10uM_P1.2-2,33.16479554,25.5952689,7.57,,,,-0.28,,
ASO1-95_total_1.2-6_20210630,I6,ASO19_10,KQ975_L20_5-10-5_10uM_P1.2-2,32.9749764,25.5931971,7.38,,,,-0.46,,
ASO1-95_total_1.2-6_20210630,I7,ASO19_3,KQ975_L20_5-10-5_3uM_P1.2-2,32.74276305,25.33636216,7.41,,,,-0.44,-0.31,1.24
ASO1-95_total_1.2-6_20210630,I8,ASO19_3,KQ975_L20_5-10-5_3uM_P1.2-2,32.68070539,25.20922466,7.47,,,,-0.37,,
ASO1-95_total_1.2-6_20210630,I9,ASO19_3,KQ975_L20_5-10-5_3uM_P1.2-2,32.9405578,25.20560354,7.73,,,,-0.11,,
ASO1-95_total_1.2-6_20210630,I10,ASO19_3,KQ975_L20_5-10-5_3uM_P1.2-2,32.80818081,25.22811516,7.58,,,,-0.27,-0.37,1.29
ASO1-95_total_1.2-6_20210630,I11,ASO19_3,KQ975_L20_5-10-5_3uM_P1.2-2,32.49246037,25.16828128,7.32,,,,-0.52,,
ASO1-95_total_1.2-6_20210630,I12,ASO19_3,KQ975_L20_5-10-5_3uM_P1.2-2,32.65516363,25.13345287,7.52,,,,-0.32,,
ASO1-95_total_1.2-6_20210630,I13,ASO54_10,KQ912_L20_5-10-5_10uM_P1.2-2,37.39154178,31.26571321,6.13,,,,-1.72,-2.03,4.09
ASO1-95_total_1.2-6_20210630,I14,ASO54_10,KQ912_L20_5-10-5_10uM_P1.2-2,36.53613238,31.1654409,5.37,,,,-2.47,,
ASO1-95_total_1.2-6_20210630,I15,ASO54_10,KQ912_L20_5-10-5_10uM_P1.2-2,37.22354816,31.28152839,5.94,,,,-1.90,,
ASO1-95_total_1.2-6_20210630,I16,ASO54_10,KQ912_L20_5-10-5_10uM_P1.2-2,35.49052352,28.29376047,7.20,,,,-0.65,-1.01,2.02
ASO1-95_total_1.2-6_20210630,I17,ASO54_10,KQ912_L20_5-10-5_10uM_P1.2-2,35.09216767,28.3492767,6.74,,,,-1.10,,
ASO1-95_total_1.2-6_20210630,I18,ASO54_10,KQ912_L20_5-10-5_10uM_P1.2-2,34.86482215,28.30517908,6.56,,,,-1.29,,
ASO1-95_total_1.2-6_20210630,I19,ASO54_3,KQ912_L20_5-10-5_3uM_P1.2-2,35.87531517,28.93565009,6.94,,,,-0.91,-1.26,2.39
ASO1-95_total_1.2-6_20210630,I20,ASO54_3,KQ912_L20_5-10-5_3uM_P1.2-2,35.9722267,28.84309677,7.13,,,,-0.72,,
ASO1-95_total_1.2-6_20210630,I21,ASO54_3,KQ912_L20_5-10-5_3uM_P1.2-2,34.71820487,29.02219705,5.70,,,,-2.15,,
ASO1-95_total_1.2-6_20210630,I22,ASO54_3,KQ912_L20_5-10-5_3uM_P1.2-2,35.2920932,29.53722811,5.75,,,,-2.09,-1.22,2.33
ASO1-95_total_1.2-6_20210630,I23,ASO54_3,KQ912_L20_5-10-5_3uM_P1.2-2,37.05821577,29.59406579,7.46,,,,-0.38,,
ASO1-95_total_1.2-6_20210630,I24,ASO54_3,KQ912_L20_5-10-5_3uM_P1.2-2,36.32885995,29.67876465,6.65,,,,-1.20,,
ASO1-95_total_1.2-6_20210630,J1,ASO23_10,KQ391_L20_5-10-5_10uM_P1.2-2,32.72065853,27.0307164,5.69,,,,-2.16,-2.19,4.56
ASO1-95_total_1.2-6_20210630,J2,ASO23_10,KQ391_L20_5-10-5_10uM_P1.2-2,32.48105843,26.93524263,5.55,,,,-2.30,,
ASO1-95_total_1.2-6_20210630,J3,ASO23_10,KQ391_L20_5-10-5_10uM_P1.2-2,32.59549116,26.86232335,5.73,,,,-2.11,,
ASO1-95_total_1.2-6_20210630,J4,ASO23_10,KQ391_L20_5-10-5_10uM_P1.2-2,33.62408665,26.02555183,7.60,,,,-0.25,-0.23,1.17
ASO1-95_total_1.2-6_20210630,J5,ASO23_10,KQ391_L20_5-10-5_10uM_P1.2-2,33.60837843,26.00199572,7.61,,,,-0.24,,
ASO1-95_total_1.2-6_20210630,J6,ASO23_10,KQ391_L20_5-10-5_10uM_P1.2-2,33.71340726,26.05834432,7.66,,,,-0.19,,
ASO1-95_total_1.2-6_20210630,J7,ASO23_3,KQ391_L20_5-10-5_3uM_P1.2-2,32.12249469,23.89984783,8.22,,,,0.38,0.59,0.66
ASO1-95_total_1.2-6_20210630,J8,ASO23_3,KQ391_L20_5-10-5_3uM_P1.2-2,32.42870817,23.86174861,8.57,,,,0.72,,
ASO1-95_total_1.2-6_20210630,J9,ASO23_3,KQ391_L20_5-10-5_3uM_P1.2-2,32.41328953,23.89603866,8.52,,,,0.67,,
ASO1-95_total_1.2-6_20210630,J10,ASO23_3,KQ391_L20_5-10-5_3uM_P1.2-2,31.59224746,23.91911379,7.67,,,,-0.17,-0.25,1.19
ASO1-95_total_1.2-6_20210630,J11,ASO23_3,KQ391_L20_5-10-5_3uM_P1.2-2,31.62262264,23.97028968,7.65,,,,-0.19,,
ASO1-95_total_1.2-6_20210630,J12,ASO23_3,KQ391_L20_5-10-5_3uM_P1.2-2,31.41639821,23.96266548,7.45,,,,-0.39,,
ASO1-95_total_1.2-6_20210630,J13,ASO59_10,KQ979_L20_5-10-5_10uM_P1.2-2,33.91722357,26.21274812,7.70,,,,-0.14,-0.25,1.19
ASO1-95_total_1.2-6_20210630,J14,ASO59_10,KQ979_L20_5-10-5_10uM_P1.2-2,33.8609714,26.21062759,7.65,,,,-0.20,,
ASO1-95_total_1.2-6_20210630,J15,ASO59_10,KQ979_L20_5-10-5_10uM_P1.2-2,33.70237271,26.26521905,7.44,,,,-0.41,,
ASO1-95_total_1.2-6_20210630,J16,ASO59_10,KQ979_L20_5-10-5_10uM_P1.2-2,34.77607558,27.18994731,7.59,,,,-0.26,-0.17,1.13
ASO1-95_total_1.2-6_20210630,J17,ASO59_10,KQ979_L20_5-10-5_10uM_P1.2-2,34.92367023,27.21184347,7.71,,,,-0.13,,
ASO1-95_total_1.2-6_20210630,J18,ASO59_10,KQ979_L20_5-10-5_10uM_P1.2-2,34.89939572,27.17296212,7.73,,,,-0.12,,
ASO1-95_total_1.2-6_20210630,J19,ASO59_3,KQ979_L20_5-10-5_3uM_P1.2-2,33.81964446,25.82771731,7.99,,,,0.15,0.27,0.83
ASO1-95_total_1.2-6_20210630,J20,ASO59_3,KQ979_L20_5-10-5_3uM_P1.2-2,33.85300756,25.81376838,8.04,,,,0.19,,
ASO1-95_total_1.2-6_20210630,J21,ASO59_3,KQ979_L20_5-10-5_3uM_P1.2-2,34.17298197,25.85177764,8.32,,,,0.48,,
ASO1-95_total_1.2-6_20210630,J22,ASO59_3,KQ979_L20_5-10-5_3uM_P1.2-2,34.10008226,26.29982843,7.80,,,,-0.05,-0.43,1.35
ASO1-95_total_1.2-6_20210630,J23,ASO59_3,KQ979_L20_5-10-5_3uM_P1.2-2,33.70336302,26.30899237,7.39,,,,-0.45,,
ASO1-95_total_1.2-6_20210630,J24,ASO59_3,KQ979_L20_5-10-5_3uM_P1.2-2,33.37616618,26.31768755,7.06,,,,-0.79,,
ASO1-95_total_1.2-6_20210630,K1,ASO24_10,KQ283_L20_5-10-5_10uM_P1.2-2,33.95014073,26.53162325,7.42,,,,-0.43,-0.53,1.45
ASO1-95_total_1.2-6_20210630,K2,ASO24_10,KQ283_L20_5-10-5_10uM_P1.2-2,33.48816462,26.41919819,7.07,,,,-0.78,,
ASO1-95_total_1.2-6_20210630,K3,ASO24_10,KQ283_L20_5-10-5_10uM_P1.2-2,33.99126968,26.54023077,7.45,,,,-0.39,,
ASO1-95_total_1.2-6_20210630,K4,ASO24_10,KQ283_L20_5-10-5_10uM_P1.2-2,34.18461497,25.79468131,8.39,,,,0.54,0.46,0.73
ASO1-95_total_1.2-6_20210630,K5,ASO24_10,KQ283_L20_5-10-5_10uM_P1.2-2,34.16942038,25.78966613,8.38,,,,0.53,,
ASO1-95_total_1.2-6_20210630,K6,ASO24_10,KQ283_L20_5-10-5_10uM_P1.2-2,34.02402137,25.86582183,8.16,,,,0.31,,
ASO1-95_total_1.2-6_20210630,K7,ASO24_3,KQ283_L20_5-10-5_3uM_P1.2-2,32.84529366,26.17649711,6.67,,,,-1.18,-0.89,1.85
ASO1-95_total_1.2-6_20210630,K8,ASO24_3,KQ283_L20_5-10-5_3uM_P1.2-2,33.29851701,26.11936661,7.18,,,,-0.67,,
ASO1-95_total_1.2-6_20210630,K9,ASO24_3,KQ283_L20_5-10-5_3uM_P1.2-2,33.17522274,26.15129369,7.02,,,,-0.82,,
ASO1-95_total_1.2-6_20210630,K10,ASO24_3,KQ283_L20_5-10-5_3uM_P1.2-2,33.35582143,25.11053861,8.25,,,,0.40,0.47,0.72
ASO1-95_total_1.2-6_20210630,K11,ASO24_3,KQ283_L20_5-10-5_3uM_P1.2-2,33.50784742,25.22677728,8.28,,,,0.44,,
ASO1-95_total_1.2-6_20210630,K12,ASO24_3,KQ283_L20_5-10-5_3uM_P1.2-2,33.55656897,25.14099454,8.42,,,,0.57,,
ASO1-95_total_1.2-6_20210630,K13,ASO60_10,KQ921_L20_5-10-5_10uM_P1.2-2,36.07201293,27.74071122,8.33,,,,0.49,0.20,0.87
ASO1-95_total_1.2-6_20210630,K14,ASO60_10,KQ921_L20_5-10-5_10uM_P1.2-2,35.66031152,27.7291367,7.93,,,,0.09,,
ASO1-95_total_1.2-6_20210630,K15,ASO60_10,KQ921_L20_5-10-5_10uM_P1.2-2,35.67668093,27.81268771,7.86,,,,0.02,,
ASO1-95_total_1.2-6_20210630,K16,ASO60_10,KQ921_L20_5-10-5_10uM_P1.2-2,34.14329874,26.99945455,7.14,,,,-0.70,-0.52,1.43
ASO1-95_total_1.2-6_20210630,K17,ASO60_10,KQ921_L20_5-10-5_10uM_P1.2-2,34.70769008,27.00617309,7.70,,,,-0.14,,
ASO1-95_total_1.2-6_20210630,K18,ASO60_10,KQ921_L20_5-10-5_10uM_P1.2-2,34.17352533,27.03380956,7.14,,,,-0.71,,
ASO1-95_total_1.2-6_20210630,K19,ASO60_3,KQ921_L20_5-10-5_3uM_P1.2-2,35.58097457,26.66928505,8.91,,,,1.07,0.38,0.77
ASO1-95_total_1.2-6_20210630,K20,ASO60_3,KQ921_L20_5-10-5_3uM_P1.2-2,34.55701893,26.62692436,7.93,,,,0.08,,
ASO1-95_total_1.2-6_20210630,K21,ASO60_3,KQ921_L20_5-10-5_3uM_P1.2-2,34.53851672,26.70150178,7.84,,,,-0.01,,
