Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp,,,
ASO1-95_MT_1.2-6_20210630,A2,ASO1_10,KQ972_L20_5-10-5_10uM_P1.2-1,34.64959287,26.95356319,7.70,,,,-0.24,,,,,
ASO1-95_MT_1.2-6_20210630,A3,ASO1_10,KQ972_L20_5-10-5_10uM_P1.2-1,34.31919461,26.93023153,7.39,,,,-0.55,,,,,
ASO1-95_MT_1.2-6_20210630,A4,ASO1_10,KQ972_L20_5-10-5_10uM_P1.2-1,35.98908369,27.48167411,8.51,,,,0.57,0.36,0.78,,,
ASO1-95_MT_1.2-6_20210630,A5,ASO1_10,KQ972_L20_5-10-5_10uM_P1.2-1,35.77368893,27.35690388,8.42,,,,0.48,,,,,
ASO1-95_MT_1.2-6_20210630,A6,ASO1_10,KQ972_L20_5-10-5_10uM_P1.2-1,35.3832506,27.4086013,7.97,,,,0.04,,,,,
ASO1-95_MT_1.2-6_20210630,A7,ASO1_3,KQ972_L20_5-10-5_3uM_P1.2-1,33.90015672,25.50638437,8.39,,,,0.45,0.21,0.86,,,
ASO1-95_MT_1.2-6_20210630,A8,ASO1_3,KQ972_L20_5-10-5_3uM_P1.2-1,33.29052636,25.54831883,7.74,,,,-0.20,,,,,
ASO1-95_MT_1.2-6_20210630,A9,ASO1_3,KQ972_L20_5-10-5_3uM_P1.2-1,33.93234687,25.62391838,8.31,,,,0.37,,,,,
ASO1-95_MT_1.2-6_20210630,A10,ASO1_3,KQ972_L20_5-10-5_3uM_P1.2-1,34.22166731,25.77074665,8.45,,,,0.51,0.39,0.76,,,
ASO1-95_MT_1.2-6_20210630,A11,ASO1_3,KQ972_L20_5-10-5_3uM_P1.2-1,34.04200995,25.71430279,8.33,,,,0.39,,,,,
ASO1-95_MT_1.2-6_20210630,A12,ASO1_3,KQ972_L20_5-10-5_3uM_P1.2-1,34.01019711,25.7986975,8.21,,,,0.27,,,,,
ASO1-95_MT_1.2-6_20210630,A13,ASO11_10,KQ371_L20_5-10-5_10uM_P1.2-1,37.47945503,26.95141794,10.53,,,,2.59,2.41,0.19,,,
ASO1-95_MT_1.2-6_20210630,A14,ASO11_10,KQ371_L20_5-10-5_10uM_P1.2-1,38.75189338,27.10698988,11.64,,,,3.71,,,,,
ASO1-95_MT_1.2-6_20210630,A15,ASO11_10,KQ371_L20_5-10-5_10uM_P1.2-1,36.04117717,27.15713356,8.88,,,,0.95,,,,,
ASO1-95_MT_1.2-6_20210630,A16,ASO11_10,KQ371_L20_5-10-5_10uM_P1.2-1,36.75896598,26.51689288,10.24,,,,2.30,2.03,0.24,,,
ASO1-95_MT_1.2-6_20210630,A17,ASO11_10,KQ371_L20_5-10-5_10uM_P1.2-1,36.41992398,26.56134385,9.86,,,,1.92,,,,,
ASO1-95_MT_1.2-6_20210630,A18,ASO11_10,KQ371_L20_5-10-5_10uM_P1.2-1,36.39577911,26.57875829,9.82,,,,1.88,,,,,
ASO1-95_MT_1.2-6_20210630,A19,ASO11_3,KQ371_L20_5-10-5_3uM_P1.2-1,34.96877733,25.63031925,9.34,,,,1.40,1.47,0.36,,,
