Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp
ASO268-186_WT_1.2-8_20210701,A3,ASO268_10,KQJM010_L21_7-08-6_10uM_P1.2-5,30.9814164,23.771605,7.21,,,,-0.59,,
ASO268-186_WT_1.2-8_20210701,A4,ASO268_10,KQJM010_L21_7-08-6_10uM_P1.2-5,30.76936314,23.36397374,7.41,,,,-0.39,-0.45,1.37
ASO268-186_WT_1.2-8_20210701,A5,ASO268_10,KQJM010_L21_7-08-6_10uM_P1.2-5,30.76805179,23.36052255,7.41,,,,-0.39,,
ASO268-186_WT_1.2-8_20210701,A6,ASO268_10,KQJM010_L21_7-08-6_10uM_P1.2-5,30.70856021,23.48247275,7.23,,,,-0.57,,
ASO268-186_WT_1.2-8_20210701,A7,ASO268_3,KQJM010_L21_7-08-6_3uM_P1.2-5,32.03811602,24.1208678,7.92,,,,0.12,0.41,0.75
ASO268-186_WT_1.2-8_20210701,A8,ASO268_3,KQJM010_L21_7-08-6_3uM_P1.2-5,32.34285213,24.16040206,8.18,,,,0.39,,
ASO268-186_WT_1.2-8_20210701,A9,ASO268_3,KQJM010_L21_7-08-6_3uM_P1.2-5,32.72933176,24.21918983,8.51,,,,0.71,,
ASO268-186_WT_1.2-8_20210701,A10,ASO268_3,KQJM010_L21_7-08-6_3uM_P1.2-5,31.94175394,25.04784714,6.89,,,,-0.90,-0.89,1.86
ASO268-186_WT_1.2-8_20210701,A11,ASO268_3,KQJM010_L21_7-08-6_3uM_P1.2-5,31.95765731,25.04249427,6.92,,,,-0.88,,
ASO268-186_WT_1.2-8_20210701,A12,ASO268_3,KQJM010_L21_7-08-6_3uM_P1.2-5,31.98130227,25.08414524,6.90,,,,-0.90,,
ASO268-186_WT_1.2-8_20210701,A13,ASO149_10,KQ455_L20_5-10-5_10uM_P1.2-5,31.58146513,24.14240494,7.44,,,,-0.36,-0.32,1.25
ASO268-186_WT_1.2-8_20210701,A14,ASO149_10,KQ455_L20_5-10-5_10uM_P1.2-5,31.76072514,24.16135069,7.60,,,,-0.20,,
ASO268-186_WT_1.2-8_20210701,A15,ASO149_10,KQ455_L20_5-10-5_10uM_P1.2-5,31.5617942,24.16708671,7.39,,,,-0.40,,
ASO268-186_WT_1.2-8_20210701,A16,ASO149_10,KQ455_L20_5-10-5_10uM_P1.2-5,31.77390257,24.07022908,7.70,,,,-0.09,-0.13,1.09
ASO268-186_WT_1.2-8_20210701,A17,ASO149_10,KQ455_L20_5-10-5_10uM_P1.2-5,31.71173893,24.01777973,7.69,,,,-0.10,,
ASO268-186_WT_1.2-8_20210701,A18,ASO149_10,KQ455_L20_5-10-5_10uM_P1.2-5,31.6226629,24.02497746,7.60,,,,-0.20,,
ASO268-186_WT_1.2-8_20210701,A19,ASO149_3,KQ455_L20_5-10-5_3uM_P1.2-5,29.69419999,22.39053131,7.30,,,,-0.49,-0.46,1.37
ASO268-186_WT_1.2-8_20210701,A20,ASO149_3,KQ455_L20_5-10-5_3uM_P1.2-5,29.68964617,22.35693457,7.33,,,,-0.46,,
ASO268-186_WT_1.2-8_20210701,A21,ASO149_3,KQ455_L20_5-10-5_3uM_P1.2-5,29.78056045,22.39825618,7.38,,,,-0.41,,
ASO268-186_WT_1.2-8_20210701,A22,ASO149_3,KQ455_L20_5-10-5_3uM_P1.2-5,30.35268947,22.99416673,7.36,,,,-0.44,-0.23,1.17
ASO268-186_WT_1.2-8_20210701,A23,ASO149_3,KQ455_L20_5-10-5_3uM_P1.2-5,30.56652675,22.90339477,7.66,,,,-0.13,,
ASO268-186_WT_1.2-8_20210701,A24,ASO149_3,KQ455_L20_5-10-5_3uM_P1.2-5,30.53793857,22.86552394,7.67,,,,-0.12,,
ASO268-186_WT_1.2-8_20210701,B1,ASO269_10,KQJM011_L19_5-10-4_10uM_P1.2-5,30.41248097,23.01156523,7.40,,,,-0.39,-0.33,1.26
ASO268-186_WT_1.2-8_20210701,B2,ASO269_10,KQJM011_L19_5-10-4_10uM_P1.2-5,30.69111583,23.0494275,7.64,,,,-0.15,,
ASO268-186_WT_1.2-8_20210701,B3,ASO269_10,KQJM011_L19_5-10-4_10uM_P1.2-5,30.47055619,23.11926596,7.35,,,,-0.44,,
ASO268-186_WT_1.2-8_20210701,B4,ASO269_10,KQJM011_L19_5-10-4_10uM_P1.2-5,31.00093517,23.62919767,7.37,,,,-0.42,-0.42,1.34
ASO268-186_WT_1.2-8_20210701,B5,ASO269_10,KQJM011_L19_5-10-4_10uM_P1.2-5,31.0409409,23.5767451,7.46,,,,-0.33,,
ASO268-186_WT_1.2-8_20210701,B6,ASO269_10,KQJM011_L19_5-10-4_10uM_P1.2-5,30.93187215,23.63661475,7.30,,,,-0.50,,
ASO268-186_WT_1.2-8_20210701,B7,ASO269_3,KQJM011_L19_5-10-4_3uM_P1.2-5,30.5058029,22.95548776,7.55,,,,-0.24,-0.19,1.14
ASO268-186_WT_1.2-8_20210701,B8,ASO269_3,KQJM011_L19_5-10-4_3uM_P1.2-5,30.5702261,22.95278082,7.62,,,,-0.18,,
ASO268-186_WT_1.2-8_20210701,B9,ASO269_3,KQJM011_L19_5-10-4_3uM_P1.2-5,30.63944508,22.97847748,7.66,,,,-0.13,,
ASO268-186_WT_1.2-8_20210701,B10,ASO269_3,KQJM011_L19_5-10-4_3uM_P1.2-5,30.24201839,22.89739787,7.34,,,,-0.45,-0.41,1.33
ASO268-186_WT_1.2-8_20210701,B11,ASO269_3,KQJM011_L19_5-10-4_3uM_P1.2-5,30.2845367,22.88244318,7.40,,,,-0.39,,
ASO268-186_WT_1.2-8_20210701,B12,ASO269_3,KQJM011_L19_5-10-4_3uM_P1.2-5,30.39176743,22.97616819,7.42,,,,-0.38,,
ASO268-186_WT_1.2-8_20210701,B13,ASO276_10,KQJM019_L22_6-10-6_10uM_P1.2-5,33.18051116,25.61863452,7.56,,,,-0.23,-0.33,1.26
ASO268-186_WT_1.2-8_20210701,B14,ASO276_10,KQJM019_L22_6-10-6_10uM_P1.2-5,33.029731,25.62869911,7.40,,,,-0.39,,
ASO268-186_WT_1.2-8_20210701,B15,ASO276_10,KQJM019_L22_6-10-6_10uM_P1.2-5,33.12741392,25.69446225,7.43,,,,-0.36,,
