Experiment Name,SampleName,ASO Microsynth ID,Exp_zscore,Exp,Test plate #,Avg Exp,Avg Exp_zscore,Avg Exp_zscore range
ASO1-24_MT_20210611,ASO10_10,KQ280_10,0.0881963972299695,0.3507314013330448,1.0,0.39271117333938954,0.564195683148952,1.1283913662979048
ASO1-24_MT_20210611,ASO10_10,KQ280_10,0.5227368021752119,0.3900433997362751,1.0,,,1.1283913662979048
ASO1-24_MT_20210611,ASO10_10,KQ280_10,1.258046644501614,0.4373587189488487,1.0,,,1.1283913662979048
ASO1-24_MT_20210611,ASO10_10,KQ280_10,1.7592649678559409,0.2432023866320975,1.0,0.3201020572636691,-0.5641956831489529,1.1283913662979048
ASO1-24_MT_20210611,ASO10_10,KQ280_10,0.1730709739661343,0.3675432925337152,1.0,,,1.1283913662979048
ASO1-24_MT_20210611,ASO10_10,KQ280_10,0.106393055557048,0.3495604926251947,1.0,,,1.1283913662979048
ASO1-24_MT_20210611,ASO10_3,KQ280_3,0.955853312475648,0.826254376888645,1.0,0.8032298662573373,0.8396188584788773,1.6792377169577541
ASO1-24_MT_20210611,ASO10_3,KQ280_3,0.411524248899377,0.7184299764609561,1.0,,,1.6792377169577541
ASO1-24_MT_20210611,ASO10_3,KQ280_3,1.151479014061604,0.8650052454224104,1.0,,,1.6792377169577541
ASO1-24_MT_20210611,ASO10_3,KQ280_3,1.210069073464895,0.3972137500615875,1.0,0.4705950463986679,-0.8396188584788767,1.6792377169577541
ASO1-24_MT_20210611,ASO10_3,KQ280_3,0.2867262432033933,0.5801157733488332,1.0,,,1.6792377169577541
ASO1-24_MT_20210611,ASO10_3,KQ280_3,1.0220612587683435,0.434455615785583,1.0,,,1.6792377169577541
ASO1-24_MT_20210611,ASO11_10,KQ371_10,0.7695070467775749,0.1545739058418938,1.0,0.15109886458373573,-0.8211502608217742,1.6423005216435476
ASO1-24_MT_20210611,ASO11_10,KQ371_10,1.4866118909033583,0.106320345991236,1.0,,,1.6423005216435476
ASO1-24_MT_20210611,ASO11_10,KQ371_10,0.2073318447843893,0.1924023419180774,1.0,,,1.6423005216435476
ASO1-24_MT_20210611,ASO11_10,KQ371_10,0.632889681131928,0.2489403503009944,1.0,0.26160829310461337,0.8211502608217734,1.6423005216435476
ASO1-24_MT_20210611,ASO11_10,KQ371_10,1.1138141442748826,0.2813014723266093,1.0,,,1.6423005216435476
ASO1-24_MT_20210611,ASO11_10,KQ371_10,0.7167469570585118,0.2545830566862365,1.0,,,1.6423005216435476
ASO1-24_MT_20210611,ASO11_3,KQ371_3,0.4833786077927609,0.2760062562359701,1.0,0.28319119501868917,0.7032921126113402,1.406584225222681
ASO1-24_MT_20210611,ASO11_3,KQ371_3,1.7022625898944084,0.3158292166397067,1.0,,,1.406584225222681
ASO1-24_MT_20210611,ASO11_3,KQ371_3,0.075764859853152,0.2577381121803907,1.0,,,1.406584225222681
ASO1-24_MT_20210611,ASO11_3,KQ371_3,0.4754885851311947,0.2446784753995916,1.0,0.23723575649616366,-0.703292112611341,1.406584225222681
ASO1-24_MT_20210611,ASO11_3,KQ371_3,0.4291179656695124,0.2461934804122387,1.0,,,1.406584225222681
ASO1-24_MT_20210611,ASO11_3,KQ371_3,1.205269787033318,0.2208353136766607,1.0,,,1.406584225222681
ASO1-24_MT_20210611,ASO12_10,KQ279_10,1.2107306674730696,0.4705234441636798,1.0,0.4035542267476185,0.7089721352316636,1.4179442704633276
ASO1-24_MT_20210611,ASO12_10,KQ279_10,1.034537353946143,0.4470070960347674,1.0,,,1.4179442704633276
ASO1-24_MT_20210611,ASO12_10,KQ279_10,0.1183516157242202,0.2931321400444084,1.0,,,1.4179442704633276
ASO1-24_MT_20210611,ASO12_10,KQ279_10,0.0041990581175419,0.3094888578551285,1.0,0.21430260065502904,-0.708972135231664,1.4179442704633276
ASO1-24_MT_20210611,ASO12_10,KQ279_10,0.7663818496511423,0.2066401825799891,1.0,,,1.4179442704633276
ASO1-24_MT_20210611,ASO12_10,KQ279_10,1.364733614161391,0.1267787615299695,1.0,,,1.4179442704633276
ASO1-24_MT_20210611,ASO12_3,KQ279_3,0.7926042638143997,0.6294024764459113,1.0,0.6099078618177467,-0.872935030100704,1.745870060201408
ASO1-24_MT_20210611,ASO12_3,KQ279_3,0.689647340425749,0.6543879911814455,1.0,,,1.745870060201408
ASO1-24_MT_20210611,ASO12_3,KQ279_3,1.1365534860619633,0.5459331178258833,1.0,,,1.745870060201408
ASO1-24_MT_20210611,ASO12_3,KQ279_3,1.0863168055471055,1.085377737946515,1.0,1.0335943967273442,0.872935030100704,1.745870060201408
ASO1-24_MT_20210611,ASO12_3,KQ279_3,0.4126435013447241,0.9218911678831744,1.0,,,1.745870060201408
ASO1-24_MT_20210611,ASO12_3,KQ279_3,1.1198447834102825,1.093514284352343,1.0,,,1.745870060201408
ASO1-24_MT_20210611,ASO1_10,KQ972_10,0.3821985035093678,0.5098842471787958,1.0,0.5026383665837652,0.3281448196013517,0.6562896392027047
ASO1-24_MT_20210611,ASO1_10,KQ972_10,1.635303310210579,0.6778625817890179,1.0,,,0.6562896392027047
ASO1-24_MT_20210611,ASO1_10,KQ972_10,1.0330673549158915,0.3201682707834817,1.0,,,0.6562896392027047
ASO1-24_MT_20210611,ASO1_10,KQ972_10,0.9149151522683108,0.3360065391590673,1.0,0.41466293146798555,-0.32814481960135294,0.6562896392027047
ASO1-24_MT_20210611,ASO1_10,KQ972_10,0.4042139974674335,0.4044658803156953,1.0,,,0.6562896392027047
ASO1-24_MT_20210611,ASO1_10,KQ972_10,0.3346946909316869,0.5035163749291942,1.0,,,0.6562896392027047
ASO1-24_MT_20210611,ASO1_3,KQ972_3,0.65681410299979,0.5724755962457279,1.0,0.5952116923314399,0.8905788685244307,1.7811577370488614
ASO1-24_MT_20210611,ASO1_3,KQ972_3,1.173833367088134,0.6227611884310806,1.0,,,1.7811577370488614
ASO1-24_MT_20210611,ASO1_3,KQ972_3,0.8410891354853691,0.5903982923175112,1.0,,,1.7811577370488614
ASO1-24_MT_20210611,ASO1_3,KQ972_3,1.1537205719076875,0.3963819482452524,1.0,0.4219752622712236,-0.8905788685244307,1.7811577370488614
ASO1-24_MT_20210611,ASO1_3,KQ972_3,0.7556891839311588,0.4350947108887303,1.0,,,1.7811577370488614
ASO1-24_MT_20210611,ASO1_3,KQ972_3,0.7623268497344475,0.434449127679688,1.0,,,1.7811577370488614
