Experiment Name,Position,SampleName,ASO Microsynth ID ,FAM,HEX,dCt,Avg,SD,ddCt,Exp,Avg.1
ASO1-24_total_20210611,O1,Naïve_P2,Naïve_P2,28.8250723836612,22.1944846361349,6.630587747526302,6.627690779238111,0.3009629821916631,0.002896968288191637,0.9979939893331027,1.0217360978301455
ASO1-24_total_20210611,O2,Naïve_P2,Naïve_P2,28.8388240070321,22.2193819527098,6.619442054322299,,,-0.008248724915811856,1.0057339569780863,
ASO1-24_total_20210611,O3,Naïve_P2,Naïve_P2,29.0127056807156,22.2463031319861,6.766402548729502,,,0.1387117694913913,0.9083298713359433,
ASO1-24_total_20210611,O4,Naïve_P2,Naïve_P2,28.7143764864305,21.9729100226612,6.741466463769299,,,0.11377568453118858,0.9241662540047662,
ASO1-24_total_20210611,O5,Naïve_P2,Naïve_P2,28.7608289309019,21.9988270187934,6.762001912108502,,,0.13431113287039143,0.9111047697990147,
ASO1-24_total_20210611,O6,Naïve_P2,Naïve_P2,28.8561354942173,22.0432255470815,6.812909947135797,,,0.185219167897686,0.8795154536460847,
ASO1-24_total_20210611,O7,Naïve_P2,Naïve_P2,29.013471375818,22.9120591298619,6.1014122459561015,,,-0.5262785332820092,1.4402093450575257,
ASO1-24_total_20210611,O8,Naïve_P2,Naïve_P2,28.9768307616366,22.929378047217,6.047452714419599,,,-0.5802380648185119,1.4950959399788812,
ASO1-24_total_20210611,O9,Naïve_P2,Naïve_P2,29.0707375271364,22.918738387374,6.1519991397624025,,,-0.47569163947570825,1.3905847174396841,
ASO1-24_total_20210611,P1,Naïve_P2,Naïve_P2,28.9580079529806,22.0928296643169,6.865178288663703,,,0.23748750942559216,0.8482212259320545,
ASO1-24_total_20210611,P2,Naïve_P2,Naïve_P2,28.9479230356798,22.079721025967,6.8682020097128,,,0.2405112304746888,0.8464453145756224,
ASO1-24_total_20210611,P3,Naïve_P2,Naïve_P2,29.054973527433,22.09062652974,6.964346997692999,,,0.33665621845488847,0.7918745401319949,
ASO1-24_total_20210611,P4,Naïve_P2,Naïve_P2,29.1167807893441,22.1873011608519,6.929479628492203,,,0.3017888492540921,0.8112458796546231,
ASO1-24_total_20210611,P5,Naïve_P2,Naïve_P2,29.018558927406,22.1698705316572,6.848688395748802,,,0.22099761651069105,0.8579719478906062,
ASO1-24_total_20210611,P6,Naïve_P2,Naïve_P2,29.1703712060334,22.2189585420648,6.9514126639686005,,,0.3237218847304897,0.7990059298239723,
ASO1-24_total_20210611,P7,Naïve_P2,Naïve_P2,28.9592550240057,22.5977586241864,6.361496399819298,,,-0.2661943794188124,1.2026312727589479,
ASO1-24_total_20210611,P8,Naïve_P2,Naïve_P2,28.9899297145176,22.5428699496374,6.447059764880201,,,-0.18063101435790951,1.1333795010261662,
ASO1-24_total_20210611,P9,Naïve_P2,Naïve_P2,28.9970159371981,22.5681208336205,6.428895103577599,,,-0.19879567566051204,1.1477398515755504,
ASO1-24_total_20210611,O10,Ionis1375651_10_P2,Ionis1375651_10_P2,35.5259665740542,27.7115455412594,7.814421032794801,,,1.1867302535566902,0.43929736362030075,0.4673503672649817
ASO1-24_total_20210611,O11,Ionis1375651_10_P2,Ionis1375651_10_P2,35.6564655839926,27.7420223419072,7.914443242085397,,,1.2867524628472866,0.4098726235992511,
