Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1,dCt,Unnamed: 7,Avg,SD,ddCt,Avg_ddCt,Exp
ASO517-551_WT_1.2-5_20210630,O1,Naïve_P46,Naïve_P46,30.2494907959649,23.0374434144697,7.2120473814952,,,,-0.21354105505619891,-0.22578883191996665,1.1694164833796215
ASO517-551_WT_1.2-5_20210630,O2,Naïve_P46,Naïve_P46,30.3844354972976,23.1110228334893,7.273412663808298,,,,-0.15217577274310123,,
ASO517-551_WT_1.2-5_20210630,O3,Naïve_P46,Naïve_P46,30.2338441847203,23.1199054161295,7.113938768590799,,,,-0.3116496679605998,,
ASO517-551_WT_1.2-5_20210630,O4,Naïve_P46,Naïve_P46,29.9601114691635,22.9335603509371,7.026551118226401,,,,-0.3990373183249982,-0.2728850153069325,1.2082215427056076
ASO517-551_WT_1.2-5_20210630,O5,Naïve_P46,Naïve_P46,30.0492370957119,22.9083571337789,7.140879961932999,,,,-0.2847084746183999,,
ASO517-551_WT_1.2-5_20210630,O6,Naïve_P46,Naïve_P46,30.2129515549512,22.9222723713772,7.2906791835739995,,,,-0.13490925297739942,,
ASO517-551_WT_1.2-5_20210630,O7,Naïve_P46,Naïve_P46,30.1446635315671,22.9656853313748,7.178978200192301,,,,-0.24661023635909807,-0.2814045812485985,1.215377577741929
ASO517-551_WT_1.2-5_20210630,O8,Naïve_P46,Naïve_P46,29.9935446531668,22.9058540147304,7.087690638436399,,,,-0.33789779811499976,,
ASO517-551_WT_1.2-5_20210630,O9,Naïve_P46,Naïve_P46,30.1298155121397,22.96393278486,7.165882727279701,,,,-0.25970570927169767,,
ASO517-551_WT_1.2-5_20210630,P1,Naïve_P46,Naïve_P46,30.1538690610476,23.081714765225,7.0721542958226,,,,-0.3534341407287993,-0.2837974898458319,1.2173951217162489
ASO517-551_WT_1.2-5_20210630,P2,Naïve_P46,Naïve_P46,30.300897191594,23.1675462141295,7.133350977464499,,,,-0.29223745908690013,,
ASO517-551_WT_1.2-5_20210630,P3,Naïve_P46,Naïve_P46,30.3778767581345,23.1580091913049,7.219867566829603,,,,-0.20572086972179626,,
ASO517-551_WT_1.2-5_20210630,P4,Naïve_P46,Naïve_P46,30.2781329685635,23.3429894676741,6.935143500889399,,,,-0.49044493566199954,-0.4296481602574982,1.3469050580131274
ASO517-551_WT_1.2-5_20210630,P5,Naïve_P46,Naïve_P46,30.2716740567353,23.3218862878424,6.9497877688929,,,,-0.4758006676584987,,
ASO517-551_WT_1.2-5_20210630,P6,Naïve_P46,Naïve_P46,30.5500930912332,23.4472035321338,7.102889559099403,,,,-0.3226988774519963,,
ASO517-551_WT_1.2-5_20210630,P7,Naïve_P46,Naïve_P46,30.6229972285353,23.3697595930416,7.253237635493701,,,,-0.17235080105769818,-0.2533560766365988,1.1919767342408905
ASO517-551_WT_1.2-5_20210630,P8,Naïve_P46,Naïve_P46,30.375746826347,23.2814561480473,7.0942906782997,,,,-0.33129775825169894,,
ASO517-551_WT_1.2-5_20210630,P9,Naïve_P46,Naïve_P46,30.5569916362092,23.3878228702582,7.1691687659509995,,,,-0.2564196706003994,,
ASO517-551_WT_1.2-5_20210630,O10,Ionis1375651_10_P46,Ionis1375651_10_P46,33.6740902966439,24.2710303964837,9.403059900160198,,,,1.9774714636087989,2.0517765310862006,0.24118690234362292
ASO517-551_WT_1.2-5_20210630,O11,Ionis1375651_10_P46,Ionis1375651_10_P46,33.9074723598043,24.2729116974428,9.634560662361501,,,,2.2089722258101023,,
ASO517-551_WT_1.2-5_20210630,O12,Ionis1375651_10_P46,Ionis1375651_10_P46,33.7263585016812,24.3318841612901,9.394474340391099,,,,1.9688859038397002,,
ASO517-551_WT_1.2-5_20210630,P10,Ionis1375651_10_P46,Ionis1375651_10_P46,35.2551355940427,25.0089550993031,10.246180494739598,,,,2.8205920581881987,2.7147426185595,0.1523284564225048
ASO517-551_WT_1.2-5_20210630,P11,Ionis1375651_10_P46,Ionis1375651_10_P46,35.1561976572655,25.0217599730988,10.134437684166702,,,,2.708849247615303,,
ASO517-551_WT_1.2-5_20210630,P12,Ionis1375651_10_P46,Ionis1375651_10_P46,35.1169703491439,25.0765953627175,10.040374986426396,,,,2.6147865498749976,,
ASO517-551_WT_1.2-5_20210630,O13,Ionis676630_10_P46,Ionis676630_10_P46,32.2628085478653,24.7416316643405,7.521176883524799,7.618604607484332,7.425588436551399,0.2483056240987566,0.09558844697339985,0.19301617093293247,0.8747749596413116
ASO517-551_WT_1.2-5_20210630,O14,Ionis676630_10_P46,Ionis676630_10_P46,32.3255567614929,24.7698667142741,7.555690047218796,,,,0.13010161066739734,,
ASO517-551_WT_1.2-5_20210630,O15,Ionis676630_10_P46,Ionis676630_10_P46,32.6079962561577,24.8290493644483,7.778946891709399,,,,0.35335845515800024,,
