Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt from Naive,Exp from Naive,Avg dCt Ionis676630,ddCt,Exp,Exp_std,Exp_zscore,Test plate #,Avg_plate,Min_plate,Max_plate
Rd2.1.3_P1+2_WT_20210730,G7,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,9.985165509999998,2.860799509,0.1376618292659438,7.707525778333333,2.277639731666665,0.20623488148683788,0.07362800452506958,0.5185427524206766,1.0,0.791295812254772,0.0016752136862409758,2.443597479063873
Rd2.1.3_P1+2_WT_20210730,G8,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,9.228418170000001,2.104052164,0.23260400393408479,7.707525778333333,1.520892391666668,0.3484703005491908,0.07362800452506958,1.514031831504193,1.0,,,
Rd2.1.3_P1+2_WT_20210730,G9,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,9.395470809999996,2.271104798,0.20717117657034728,7.707525778333333,1.6879450316666622,0.3103686980591032,0.07362800452506958,0.9695517762641502,1.0,,,
Rd2.1.3_P1+2_WT_20210730,H7,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,9.898432970000002,2.774066963,0.14619167233116379,7.707525778333333,2.1909071916666685,0.2190136674266126,0.02276499563596233,0.335931166039255,1.0,,,
Rd2.1.3_P1+2_WT_20210730,H8,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,10.23445654,3.110090535,0.11581623956668297,7.707525778333333,2.5269307616666667,0.17350741670676614,0.02276499563596233,0.9862252294491921,1.0,,,
Rd2.1.3_P1+2_WT_20210730,H9,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,10.04735505,2.922989043,0.1318537910346779,7.707525778333333,2.339829271666667,0.19753370269402923,0.02276499563596233,0.6428844598592147,1.0,,,
Rd2.1.3_P1+2_Total_20210730,G7,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,9.801738550000003,3.291868879,0.102105403434217,7.840800801666664,1.9609377483333388,0.25686144306572783,0.06706865894374713,0.6208328432792588,1.0,,,
Rd2.1.3_P1+2_Total_20210730,G8,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,9.727953249999999,3.21808358,0.10746333490071765,7.840800801666664,1.8871524483333344,0.270340122755314,0.06706865894374713,0.3334803406063964,1.0,,,
Rd2.1.3_P1+2_Total_20210730,G9,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,9.239849259999996,2.729979582,0.15072811165285033,7.840800801666664,1.3990484583333318,,0.06706865894374713,1.9868631633454434,1.0,,,
Rd2.1.3_P1+2_Total_20210730,H7,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,9.68049835,3.170628679,0.11105692964628791,7.840800801666664,1.8396975483333362,0.2793803486587569,0.014845930141754124,0.1407514088483845,1.0,,,
Rd2.1.3_P1+2_Total_20210730,H8,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,9.690759749999998,3.180890068,0.11026982278591096,7.840800801666664,1.8499589483333336,0.27740026128665446,0.014845930141754124,0.18296496944840143,1.0,,,
Rd2.1.3_P1+2_Total_20210730,H9,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,9.82511118,3.315241504,0.10046455488806166,7.840800801666664,1.984310378333336,0.2527336417870796,0.014845930141754124,0.7088336011630035,1.0,,,
Rd2.1.3_P1+2_MT_20210730,G7,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,9.578553299999996,2.332750818,0.19850526556208115,7.70747105,1.8710822499999962,0.27336827883073217,0.01821496356526959,0.941320220889,1.0,,,
Rd2.1.3_P1+2_MT_20210730,G8,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,9.771756439999997,2.525953952,0.17362493365001375,7.70747105,2.0642853899999976,0.23910473579737376,0.01821496356526959,0.14818968075781727,1.0,,,
