Experiment Name,Position,SampleName,ASO Description ,Target SNP ID,CrossingPoint,Unnamed: 6,dCt,Unnamed: 8,Avg,SD,ddCt,Avg_ddCt,Exp
R3.1 P4-1+P5-1_WT_20210826,G14,Ionis676630_10_R3.1P4-1,Ionis676630_10uM_R3.1P4-1,,39.3067992261225,30.5817967897398,8.725002436382699,,,,2.5195931474994824,,
R3.1 P4-1+P5-1_WT_20210826,G15,Ionis676630_10_R3.1P4-1,Ionis676630_10uM_R3.1P4-1,,36.644664558392,30.88114545476,5.763519103632003,,,,-0.4418901852512134,,
R3.1 P4-1+P5-1_WT_20210826,G16,Ionis676630_10_R3.1P4-1,Ionis676630_10uM_R3.1P4-1,,30.7578086346695,24.139057345729,6.618751288940501,,,,0.41334200005728494,0.4648174158358526,0.7245627704717948
R3.1 P4-1+P5-1_WT_20210826,G17,Ionis676630_10_R3.1P4-1,Ionis676630_10uM_R3.1P4-1,,30.7813235665226,24.0834453443265,6.697878222196103,,,,0.4924689333128862,,
R3.1 P4-1+P5-1_WT_20210826,G18,Ionis676630_10_R3.1P4-1,Ionis676630_10uM_R3.1P4-1,,30.879722878948,24.1856722759274,6.694050603020603,,,,0.48864131413738665,,
R3.1 P4-1+P5-1_WT_20210826,H7,Ionis676630_10_R3.1P4-1,Ionis676630_10uM_R3.1P4-1,,30.1681570670488,23.6878747023308,6.480282364718001,,,,0.27487307583478415,0.2034354557742176,0.8684800079725258
R3.1 P4-1+P5-1_WT_20210826,H8,Ionis676630_10_R3.1P4-1,Ionis676630_10uM_R3.1P4-1,,30.0557243464934,23.6862716964521,6.3694526500413,,,,0.16404336115808338,,
R3.1 P4-1+P5-1_WT_20210826,H9,Ionis676630_10_R3.1P4-1,Ionis676630_10uM_R3.1P4-1,,30.1370501677732,23.7602509485602,6.376799219213002,,,,0.17138993032978522,,
R3.1 P4-1+P5-1_WT_20210826,H10,Ionis676630_10_R3.1P4-1,Ionis676630_10uM_R3.1P4-1,,30.4985449355678,23.7236480800221,6.774896855545698,,,,0.5694875666624819,0.5995126800037491,0.659976847676799
R3.1 P4-1+P5-1_WT_20210826,H11,Ionis676630_10_R3.1P4-1,Ionis676630_10uM_R3.1P4-1,,30.591221254234,23.8135200475268,6.777701206707199,,,,0.5722919178239829,,
R3.1 P4-1+P5-1_WT_20210826,H12,Ionis676630_10_R3.1P4-1,Ionis676630_10uM_R3.1P4-1,,30.7166286498001,23.8544608053921,6.862167844407999,,,,0.6567585555247826,,
R3.1 P4-1+P5-1_WT_20210826,E1,ASO190_10_R3.1P4-1,KQ478_L20_5-10-5_10uM_R3.1P4-1,rs34659510,32.6622880244183,24.9350194228045,7.727268601613801,,,,1.5218593127305846,1.551672261196484,0.3411144413049877
R3.1 P4-1+P5-1_WT_20210826,E2,ASO190_10_R3.1P4-1,KQ478_L20_5-10-5_10uM_R3.1P4-1,rs34659510,32.5670567188752,24.9804995158728,7.5865572030024,,,,1.3811479141191834,,
R3.1 P4-1+P5-1_WT_20210826,E3,ASO190_10_R3.1P4-1,KQ478_L20_5-10-5_10uM_R3.1P4-1,rs34659510,32.9221232356087,24.9647043899858,7.9574188456229,,,,1.7520095567396838,,
R3.1 P4-1+P5-1_WT_20210826,E4,ASO190_10_R3.1P4-1,KQ478_L20_5-10-5_10uM_R3.1P4-1,rs34659510,32.0833635368798,24.4975262322338,7.585837304646002,,,,1.380428015762786,1.496101770658485,0.3545100001774083
R3.1 P4-1+P5-1_WT_20210826,E5,ASO190_10_R3.1P4-1,KQ478_L20_5-10-5_10uM_R3.1P4-1,rs34659510,32.4815839947713,24.4043327538825,8.077251240888799,,,,1.8718419520055827,,
R3.1 P4-1+P5-1_WT_20210826,E6,ASO190_10_R3.1P4-1,KQ478_L20_5-10-5_10uM_R3.1P4-1,rs34659510,32.0091702666962,24.5677256336059,7.441444633090303,,,,1.2360353442070862,,
R3.1 P4-1+P5-1_WT_20210826,E7,ASO190_3_R3.1P4-1,KQ478_L20_5-10-5_3uM_R3.1P4-1,rs34659510,31.2382449499897,24.3915917032082,6.8466532467815,,,,0.6412439578982836,0.7290339516975838,0.6033077617359545
R3.1 P4-1+P5-1_WT_20210826,E8,ASO190_3_R3.1P4-1,KQ478_L20_5-10-5_3uM_R3.1P4-1,rs34659510,31.2941897051273,24.4106579646307,6.8835317404966005,,,,0.6781224516133841,,
R3.1 P4-1+P5-1_WT_20210826,E9,ASO190_3_R3.1P4-1,KQ478_L20_5-10-5_3uM_R3.1P4-1,rs34659510,31.5689403148399,24.4957955803756,7.0731447344643,,,,0.8677354455810837,,
R3.1 P4-1+P5-1_WT_20210826,E10,ASO190_3_R3.1P4-1,KQ478_L20_5-10-5_3uM_R3.1P4-1,rs34659510,31.7691482722269,24.5731916792716,7.1959565929553015,,,,0.9905473040720851,0.8672980185331504,0.548172546207597
R3.1 P4-1+P5-1_WT_20210826,E11,ASO190_3_R3.1P4-1,KQ478_L20_5-10-5_3uM_R3.1P4-1,rs34659510,31.7170156575489,24.6214395356824,7.0955761218665,,,,0.8901668329832839,,
R3.1 P4-1+P5-1_WT_20210826,E12,ASO190_3_R3.1P4-1,KQ478_L20_5-10-5_3uM_R3.1P4-1,rs34659510,31.6104792306142,24.6838900231869,6.926589207427298,,,,0.7211799185440819,,
R3.1 P4-1+P5-1_WT_20210826,B13,ASO197_10_R3.1P4-1,KQ958_L20_5-10-5_10uM_R3.1P4-1,rs3787130,32.2863028139379,25.0636547306567,7.2226480832812,,,,1.0172387943979837,0.8650914157707522,0.5490116178986963
