Experiment Name,Position,SampleName,ASO Description ,Target SNP ID,CrossingPoint,Unnamed: 6,dCt,Unnamed: 8,Avg,SD,ddCt,Avg_ddCt,Exp
R3.1 P4-1+P5-1_Total_20210826,G14,Ionis676630_10_R3.1P4-1,Ionis676630_10uM_R3.1P4-1,,31.8182340447726,29.3050709810995,2.5131630636730975,,,,-2.8884047863839193,,
R3.1 P4-1+P5-1_Total_20210826,G15,Ionis676630_10_R3.1P4-1,Ionis676630_10uM_R3.1P4-1,,31.9446317639961,29.3180095746377,2.6266221893584003,,,,-2.7749456606986165,,
R3.1 P4-1+P5-1_Total_20210826,G16,Ionis676630_10_R3.1P4-1,Ionis676630_10uM_R3.1P4-1,,30.2359441713504,24.2787555396372,5.957188631713201,,,,0.5556207816561844,0.5887755223148154,0.6649070029621541
R3.1 P4-1+P5-1_Total_20210826,G17,Ionis676630_10_R3.1P4-1,Ionis676630_10uM_R3.1P4-1,,30.2251571024648,24.1181628781725,6.106994224292297,,,,0.7054263742352802,,
R3.1 P4-1+P5-1_Total_20210826,G18,Ionis676630_10_R3.1P4-1,Ionis676630_10uM_R3.1P4-1,,30.3164238053824,24.4095765442724,5.9068472611099985,,,,0.5052794110529817,,
R3.1 P4-1+P5-1_Total_20210826,H7,Ionis676630_10_R3.1P4-1,Ionis676630_10uM_R3.1P4-1,,29.7450854960427,23.816063598972,5.929021897070701,,,,0.5274540470136841,0.5305923999947512,0.6922704153406766
R3.1 P4-1+P5-1_Total_20210826,H8,Ionis676630_10_R3.1P4-1,Ionis676630_10uM_R3.1P4-1,,29.7940076571656,23.8453243793401,5.948683277825502,,,,0.5471154277684853,,
R3.1 P4-1+P5-1_Total_20210826,H9,Ionis676630_10_R3.1P4-1,Ionis676630_10uM_R3.1P4-1,,29.866641775336,23.9478662000769,5.918775575259101,,,,0.5172077252020841,,
R3.1 P4-1+P5-1_Total_20210826,H10,Ionis676630_10_R3.1P4-1,Ionis676630_10uM_R3.1P4-1,,30.2743492084733,23.8555907097433,6.41875849873,,,,1.0171906486729831,0.9470681700897833,0.5186854588274498
R3.1 P4-1+P5-1_Total_20210826,H11,Ionis676630_10_R3.1P4-1,Ionis676630_10uM_R3.1P4-1,,30.2807336993102,23.9063959561125,6.3743377431976995,,,,0.9727698931406827,,
R3.1 P4-1+P5-1_Total_20210826,H12,Ionis676630_10_R3.1P4-1,Ionis676630_10uM_R3.1P4-1,,30.2151595208427,23.96234770233,6.252811818512701,,,,0.8512439684556838,,
R3.1 P4-1+P5-1_Total_20210826,E1,ASO190_10_R3.1P4-1,KQ478_L20_5-10-5_10uM_R3.1P4-1,rs34659510,31.379168882885,25.0112372923128,6.367931590572201,,,,0.9663637405151846,0.8563289844917167,0.552356271655932
