Experiment Name,Position,SampleName,ASO Description ,Target SNP ID,CrossingPoint,CrossingPoint.1,dCt,Unnamed: 8,Avg,SD,ddCt,Avg_ddCt,Exp
R3.1 P1-1+P1-2_Total_20210826,O14,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,,36.2832595698181,31.3088452582594,4.9744143115587,,,,-0.7187544438779083,,
R3.1 P1-1+P1-2_Total_20210826,O15,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,,36.9503647741198,31.7208507029206,5.229514071199198,,,,-0.46365468423741074,,
R3.1 P1-1+P1-2_Total_20210826,O16,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,,35.6874209739188,31.0516328049155,4.635788169003298,,,,-1.0573805864333101,-0.04931533241214255,1.0347737291312922
R3.1 P1-1+P1-2_Total_20210826,O17,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,,37.2431514280692,30.91045268433,6.332698743739197,,,,0.6395299883025887,,
R3.1 P1-1+P1-2_Total_20210826,O18,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,,37.2277376802529,31.264664323922,5.963073356330902,,,,0.2699046008942938,,
R3.1 P1-1+P1-2_Total_20210826,P7,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,,33.2896783441761,25.2933329647703,7.996345379405803,,,,2.303176623969194,2.623231116882658,0.16230382250820083
R3.1 P1-1+P1-2_Total_20210826,P8,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,,33.7411854485201,25.3215879478074,8.419597500712698,,,,2.726428745276089,,
R3.1 P1-1+P1-2_Total_20210826,P9,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,,33.9567537090405,25.4234969722012,8.533256736839299,,,,2.8400879814026903,,
R3.1 P1-1+P1-2_Total_20210826,P10,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,,36.2096949465053,30.715404394067,5.494290552438301,,,,-0.1988782029983076,-1.0914094297578083,2.1308210375187917
R3.1 P1-1+P1-2_Total_20210826,P11,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,,34.082488196608,30.6668367211444,3.415651475463598,,,,-2.2775172799730106,,
R3.1 P1-1+P1-2_Total_20210826,P12,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,,35.6025173079406,30.7071813588061,4.895335949134502,,,,-0.7978328063021065,,
R3.1 P1-1+P1-2_Total_20210826,I1,ASO564_10_R3.1P1-2,KQ2201_L20_6-08-6_10uM_R3.1P1-2,rs8113956,32.582903194459,24.6817991825441,7.901104011914899,,,,2.207935256478291,1.996046891306091,0.2506859609032043
R3.1 P1-1+P1-2_Total_20210826,I2,ASO564_10_R3.1P1-2,KQ2201_L20_6-08-6_10uM_R3.1P1-2,rs8113956,32.1898435385938,24.736774164067,7.453069374526798,,,,1.7599006190901898,,
R3.1 P1-1+P1-2_Total_20210826,I3,ASO564_10_R3.1P1-2,KQ2201_L20_6-08-6_10uM_R3.1P1-2,rs8113956,32.491719734793,24.7782461810066,7.7134735537864,,,,2.020304798349792,,
