Experiment Name,Position,SampleName,ASO Description ,Target SNP ID,CrossingPoint,,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp
R3.1_P3-1+P3-2_WT_20210826,H8,Ionis676630_10_R3.1P3-1,Ionis676630_10uM_R3.1P3-1,,30.86395092,23.88605571,6.9778952082360,,,,0.8235684354617,,
R3.1_P3-1+P3-2_WT_20210826,H9,Ionis676630_10_R3.1P3-1,Ionis676630_10uM_R3.1P3-1,,30.88675238,23.88609651,7.0006558674114,,,,0.8463290946371,,
R3.1_P3-1+P3-2_WT_20210826,H10,Ionis676630_10_R3.1P3-1,Ionis676630_10uM_R3.1P3-1,,30.86468162,24.08564168,6.7790399344842,,,,0.6247131617099,0.7322538183173,0.6019627759105
R3.1_P3-1+P3-2_WT_20210826,H11,Ionis676630_10_R3.1P3-1,Ionis676630_10uM_R3.1P3-1,,30.98184205,24.08826439,6.8935776526469,,,,0.7392508798726,,
R3.1_P3-1+P3-2_WT_20210826,H12,Ionis676630_10_R3.1P3-1,Ionis676630_10uM_R3.1P3-1,,31.05391045,24.06678626,6.9871241861437,,,,0.8327974133694,,
R3.1_P3-1+P3-2_WT_20210826,A1,ASO185_10_R3.1P3-1,KQ353_L20_5-10-5_10uM_R3.1P3-1,rs3827018,32.63084244,25.18173754,7.4491048919479,,,,1.2947781191736,1.5421344542127,0.3433770553063
R3.1_P3-1+P3-2_WT_20210826,A2,ASO185_10_R3.1P3-1,KQ353_L20_5-10-5_10uM_R3.1P3-1,rs3827018,32.85999904,25.04964308,7.8103559623739,,,,1.6560291895996,,
R3.1_P3-1+P3-2_WT_20210826,A3,ASO185_10_R3.1P3-1,KQ353_L20_5-10-5_10uM_R3.1P3-1,rs3827018,32.91804831,25.08812549,7.8299228266393,,,,1.6755960538650,,
R3.1_P3-1+P3-2_WT_20210826,A4,ASO185_10_R3.1P3-1,KQ353_L20_5-10-5_10uM_R3.1P3-1,rs3827018,36.15023115,29.0207786,7.1294525546178,,,,0.9751257818435,1.0213599165037,0.4926517487885
R3.1_P3-1+P3-2_WT_20210826,A5,ASO185_10_R3.1P3-1,KQ353_L20_5-10-5_10uM_R3.1P3-1,rs3827018,36.10774653,28.96799909,7.1397474435563,,,,0.9854206707820,,
R3.1_P3-1+P3-2_WT_20210826,A6,ASO185_10_R3.1P3-1,KQ353_L20_5-10-5_10uM_R3.1P3-1,rs3827018,36.17783393,28.91997386,7.2578600696600,,,,1.1035332968857,,
R3.1_P3-1+P3-2_WT_20210826,A7,ASO185_3_R3.1P3-1,KQ353_L20_5-10-5_3uM_R3.1P3-1,rs3827018,30.36981767,21.91194926,8.4578684033858,,,,2.3035416306115,0.8859863033434,0.5411174594988
R3.1_P3-1+P3-2_WT_20210826,A8,ASO185_3_R3.1P3-1,KQ353_L20_5-10-5_3uM_R3.1P3-1,rs3827018,30.32970442,23.93650699,6.3931974314259,,,,0.2388706586516,,
R3.1_P3-1+P3-2_WT_20210826,A9,ASO185_3_R3.1P3-1,KQ353_L20_5-10-5_3uM_R3.1P3-1,rs3827018,30.27336734,24.00349394,6.2698733935415,,,,0.1155466207672,,
R3.1_P3-1+P3-2_WT_20210826,A10,ASO185_3_R3.1P3-1,KQ353_L20_5-10-5_3uM_R3.1P3-1,rs3827018,30.15521565,23.77041912,6.3847965253479,,,,0.2304697525736,0.1928196516303,0.8748941268036
R3.1_P3-1+P3-2_WT_20210826,A11,ASO185_3_R3.1P3-1,KQ353_L20_5-10-5_3uM_R3.1P3-1,rs3827018,30.21066634,23.89219788,6.3184684582954,,,,0.1641416855211,,
R3.1_P3-1+P3-2_WT_20210826,A12,ASO185_3_R3.1P3-1,KQ353_L20_5-10-5_3uM_R3.1P3-1,rs3827018,30.09690919,23.7587349,6.3381742895707,,,,0.1838475167964,,
R3.1_P3-1+P3-2_WT_20210826,B1,ASO186_10_R3.1P3-1,KQ273_L20_5-10-5_10uM_R3.1P3-1,rs3827018,34.44873469,26.04228562,8.4064490619691,,,,2.2521222891948,2.2046183102222,0.2169420599481
R3.1_P3-1+P3-2_WT_20210826,B2,ASO186_10_R3.1P3-1,KQ273_L20_5-10-5_10uM_R3.1P3-1,rs3827018,34.23247755,26.08897799,8.1434995543211,,,,1.9891727815468,,
R3.1_P3-1+P3-2_WT_20210826,B3,ASO186_10_R3.1P3-1,KQ273_L20_5-10-5_10uM_R3.1P3-1,rs3827018,34.62005168,26.09316505,8.5268866326995,,,,2.3725598599252,,
