Experiment Name,Position,SampleName,ASO Description ,Target SNP ID,CrossingPoint,Unnamed: 6,dCt,Unnamed: 8,Avg,SD,ddCt,Avg_ddCt,Exp
R3.1 P4-1+P5-1_Total_20210826,O1,Naïve_R3.1P5-1,Naïve_R3.1P5-1,,30.5409449705238,25.1834034298993,5.357541540624499,5.220465312639633,5.25540921581305,0.13492680553970934,0.10213232481144896,-0.034943903173416814,1.0245169855984073
R3.1 P4-1+P5-1_Total_20210826,O2,Naïve_R3.1P5-1,Naïve_R3.1P5-1,,30.3405207938331,25.2156862369218,5.124834556911299,,,,-0.13057465890175113,,
R3.1 P4-1+P5-1_Total_20210826,O3,Naïve_R3.1P5-1,Naïve_R3.1P5-1,,30.4103502252801,25.231330384897,5.179019840383102,,,,-0.07638937542994828,,
R3.1 P4-1+P5-1_Total_20210826,O4,Naïve_R3.1P5-1,Naïve_R3.1P5-1,,30.593026801721,25.1567281507437,5.4362986509772995,5.4169015173357,,,0.18088943516424916,0.1614923015226498,0.8940997494359342
R3.1 P4-1+P5-1_Total_20210826,O5,Naïve_R3.1P5-1,Naïve_R3.1P5-1,,30.6324320310638,25.2160717187469,5.4163603123169,,,,0.1609510965038501,,
R3.1 P4-1+P5-1_Total_20210826,O6,Naïve_R3.1P5-1,Naïve_R3.1P5-1,,30.6730644830297,25.2750188943168,5.3980455887129,,,,0.1426363728998501,,
R3.1 P4-1+P5-1_Total_20210826,P13,Naïve_R3.1P5-1,Naïve_R3.1P5-1,,30.1308727637137,25.0356600695627,5.095212694151002,5.093881161301867,,,-0.16019652166204867,-0.16152805451118338,1.1184711583032747
R3.1 P4-1+P5-1_Total_20210826,P14,Naïve_R3.1P5-1,Naïve_R3.1P5-1,,30.3767967964537,25.099765327768,5.277031468685699,,,,0.02162225287264885,,
R3.1 P4-1+P5-1_Total_20210826,P15,Naïve_R3.1P5-1,Naïve_R3.1P5-1,,30.0925152039824,25.1831158829135,4.9093993210689,,,,-0.34600989474415034,,
R3.1 P4-1+P5-1_Total_20210826,P16,Naïve_R3.1P5-1,Naïve_R3.1P5-1,,30.3815288484918,25.1115402620192,5.2699885864726,5.290388871975,,,0.014579370659549618,0.03497965616194924,0.9760455241645434
R3.1 P4-1+P5-1_Total_20210826,P17,Naïve_R3.1P5-1,Naïve_R3.1P5-1,,30.471541777772,25.1678888315311,5.303652946240899,,,,0.04824373042784824,,
R3.1 P4-1+P5-1_Total_20210826,P18,Naïve_R3.1P5-1,Naïve_R3.1P5-1,,30.5819465604795,25.284421477268,5.2975250832115,,,,0.04211586739844986,,
R3.1 P4-1+P5-1_Total_20210826,O7,Ionis1375651_10_R3.1P5-1,Ionis1375651_10uM_R3.1P5-1,,31.7113409358574,24.9684153536186,6.742925582238801,,,,1.4875163664257505,1.3613262853216506,0.3892243071464694
R3.1 P4-1+P5-1_Total_20210826,O8,Ionis1375651_10_R3.1P5-1,Ionis1375651_10uM_R3.1P5-1,,31.779405206314,25.08931225781,6.690092948503999,,,,1.4346837326909485,,
R3.1 P4-1+P5-1_Total_20210826,O9,Ionis1375651_10_R3.1P5-1,Ionis1375651_10uM_R3.1P5-1,,31.5630696901948,25.1458817175335,6.417187972661303,,,,1.1617787568482525,,
R3.1 P4-1+P5-1_Total_20210826,P1,Ionis1375651_10_R3.1P5-1,Ionis1375651_10uM_R3.1P5-1,,31.6061791088164,25.1968842632956,6.409294845520797,,,,1.153885629707747,1.1994115438482817,0.4354528608696969
R3.1 P4-1+P5-1_Total_20210826,P2,Ionis1375651_10_R3.1P5-1,Ionis1375651_10uM_R3.1P5-1,,31.8108195897691,25.2208501661749,6.5899694235942015,,,,1.3345602077811511,,
R3.1 P4-1+P5-1_Total_20210826,P3,Ionis1375651_10_R3.1P5-1,Ionis1375651_10uM_R3.1P5-1,,31.5969924469259,25.2317944370569,6.3651980098689975,,,,1.1097887940559472,,
R3.1 P4-1+P5-1_Total_20210826,O10,Ionis1375651_3_R3.1P5-1,Ionis1375651_3uM_R3.1P5-1,,30.814196422331,24.5897936778801,6.224402744450902,,,,0.9689935286378519,0.9243220193816853,0.5269280845727229
R3.1 P4-1+P5-1_Total_20210826,O11,Ionis1375651_3_R3.1P5-1,Ionis1375651_3uM_R3.1P5-1,,30.8605497746992,24.6469692131478,6.213580561551403,,,,0.9581713457383527,,
R3.1 P4-1+P5-1_Total_20210826,O12,Ionis1375651_3_R3.1P5-1,Ionis1375651_3uM_R3.1P5-1,,30.7793574348108,24.6781470352289,6.101210399581902,,,,0.8458011837688515,,
R3.1 P4-1+P5-1_Total_20210826,P4,Ionis1375651_3_R3.1P5-1,Ionis1375651_3uM_R3.1P5-1,,31.0144574884308,24.9848764755673,6.029581012863499,,,,0.7741717970504487,0.731100807671182,0.602444060517185
R3.1 P4-1+P5-1_Total_20210826,P5,Ionis1375651_3_R3.1P5-1,Ionis1375651_3uM_R3.1P5-1,,31.1834844100245,25.0936725374756,6.0898118725489,,,,0.8344026567358496,,
R3.1 P4-1+P5-1_Total_20210826,P6,Ionis1375651_3_R3.1P5-1,Ionis1375651_3uM_R3.1P5-1,,30.9555575908336,25.1154204057933,5.840137185040298,,,,0.5847279692272478,,
R3.1 P4-1+P5-1_Total_20210826,O13,Ionis676630_10_R3.1P5-1,Ionis676630_10uM_R3.1P5-1,,30.3677940445017,24.1920057847852,6.1757882597165015,,,,0.9203790439034512,0.790909335705383,0.5779796745174889
R3.1 P4-1+P5-1_Total_20210826,O14,Ionis676630_10_R3.1P5-1,Ionis676630_10uM_R3.1P5-1,,30.6017359622362,24.5728802783353,6.0288556839009,,,,0.7734464680878501,,
R3.1 P4-1+P5-1_Total_20210826,O15,Ionis676630_10_R3.1P5-1,Ionis676630_10uM_R3.1P5-1,,30.5499953444313,24.6156836334934,5.934311710937898,,,,0.6789024951248477,,
R3.1 P4-1+P5-1_Total_20210826,O16,Ionis676630_10_R3.1P5-1,Ionis676630_10uM_R3.1P5-1,,30.3531684784935,24.2587460923814,6.0944223861121,,,,0.83901317029905,0.9206906384354493,0.5282560761177899
R3.1 P4-1+P5-1_Total_20210826,O17,Ionis676630_10_R3.1P5-1,Ionis676630_10uM_R3.1P5-1,,30.4826027160977,24.302012604728,6.1805901113697,,,,0.9251808955566494,,
R3.1 P4-1+P5-1_Total_20210826,O18,Ionis676630_10_R3.1P5-1,Ionis676630_10uM_R3.1P5-1,,30.686684294183,24.4333972289193,6.253287065263699,,,,0.9978778494506484,,
R3.1 P4-1+P5-1_Total_20210826,P7,Ionis676630_10_R3.1P5-1,Ionis676630_10uM_R3.1P5-1,,30.253482756987,24.3762937350996,5.8771890218874,,,,0.6217798060743496,0.6325562264034165,0.6450325070835606
R3.1 P4-1+P5-1_Total_20210826,P8,Ionis676630_10_R3.1P5-1,Ionis676630_10uM_R3.1P5-1,,30.3091253583958,24.4855314168041,5.8235939415916995,,,,0.5681847257786492,,
R3.1 P4-1+P5-1_Total_20210826,P9,Ionis676630_10_R3.1P5-1,Ionis676630_10uM_R3.1P5-1,,30.475187452834,24.5120740896637,5.963113363170301,,,,0.7077041473572505,,
R3.1 P4-1+P5-1_Total_20210826,P10,Ionis676630_10_R3.1P5-1,Ionis676630_10uM_R3.1P5-1,,30.4891961030565,25.6343105936323,4.8548855094242,,,,-0.40052370638885026,0.07079275258304947,0.952114672767609
R3.1 P4-1+P5-1_Total_20210826,P11,Ionis676630_10_R3.1P5-1,Ionis676630_10uM_R3.1P5-1,,30.5746297596978,25.0614307494646,5.513199010233201,,,,0.2577897944201508,,
R3.1 P4-1+P5-1_Total_20210826,P12,Ionis676630_10_R3.1P5-1,Ionis676630_10uM_R3.1P5-1,,30.6564740341729,25.045952648642,5.610521385530898,,,,0.35511216971784787,,
R3.1 P4-1+P5-1_Total_20210826,N13,ASO193_10_R3.1P5-1,KQ954_L20_5-10-5_10uM_R3.1P5-1,rs3787130,31.0226673027619,24.8325578293462,6.190109473415699,,,,0.9347002576026489,0.8738960683068487,0.5456712472464189
R3.1 P4-1+P5-1_Total_20210826,N14,ASO193_10_R3.1P5-1,KQ954_L20_5-10-5_10uM_R3.1P5-1,rs3787130,30.9172588954428,24.875241147733,6.042017747709799,,,,0.7866085318967491,,
R3.1 P4-1+P5-1_Total_20210826,N15,ASO193_10_R3.1P5-1,KQ954_L20_5-10-5_10uM_R3.1P5-1,rs3787130,31.0535549136434,24.8977662824092,6.1557886312341985,,,,0.9003794154211482,,
R3.1 P4-1+P5-1_Total_20210826,N16,ASO193_10_R3.1P5-1,KQ954_L20_5-10-5_10uM_R3.1P5-1,rs3787130,31.0702852615076,24.7954021903044,6.274883071203199,,,,1.0194738553901486,1.0432156805152155,0.48524468618637806
R3.1 P4-1+P5-1_Total_20210826,N17,ASO193_10_R3.1P5-1,KQ954_L20_5-10-5_10uM_R3.1P5-1,rs3787130,31.0943066094844,24.7724125318159,6.3218940776684995,,,,1.0664848618554492,,
R3.1 P4-1+P5-1_Total_20210826,N18,ASO193_10_R3.1P5-1,KQ954_L20_5-10-5_10uM_R3.1P5-1,rs3787130,31.1481171153577,24.8490195752446,6.299097540113099,,,,1.0436883243000485,,
R3.1 P4-1+P5-1_Total_20210826,N19,ASO193_3_R3.1P5-1,KQ954_L20_5-10-5_3uM_R3.1P5-1,rs3787130,30.5554099725816,24.8621069688365,5.6933030037451005,,,,0.43789378793205014,0.46984919828295,0.722040067065749
R3.1 P4-1+P5-1_Total_20210826,N20,ASO193_3_R3.1P5-1,KQ954_L20_5-10-5_3uM_R3.1P5-1,rs3787130,30.6309242169892,24.8986982151694,5.7322260018198,,,,0.4768167860067498,,
R3.1 P4-1+P5-1_Total_20210826,N21,ASO193_3_R3.1P5-1,KQ954_L20_5-10-5_3uM_R3.1P5-1,rs3787130,30.7158826772028,24.9656364404797,5.7502462367231,,,,0.4948370209100501,,
R3.1 P4-1+P5-1_Total_20210826,N22,ASO193_3_R3.1P5-1,KQ954_L20_5-10-5_3uM_R3.1P5-1,rs3787130,30.8978872165598,24.9085891780012,5.989298038558598,,,,0.7338888227455476,0.6056181033291498,0.6571897556464827
R3.1 P4-1+P5-1_Total_20210826,N23,ASO193_3_R3.1P5-1,KQ954_L20_5-10-5_3uM_R3.1P5-1,rs3787130,30.7959880571827,25.0606547414518,5.735333315730902,,,,0.47992409991785134,,
R3.1 P4-1+P5-1_Total_20210826,N24,ASO193_3_R3.1P5-1,KQ954_L20_5-10-5_3uM_R3.1P5-1,rs3787130,30.8584603012758,25.0000096981387,5.858450603137101,,,,0.6030413873240503,,
R3.1 P4-1+P5-1_Total_20210826,M13,ASO194-2nd_10_R3.1P5-1,KQ955_2nd batch_L20_5-10-5_10uM_R3.1P5-1,rs3787130,31.3626283349532,24.6631213222832,6.699507012670001,,,,1.4440977968569504,1.3712514027586833,0.3865558019868739
