Experiment Name,Position,SampleName,ASO Microsynth ID ,CrossingPoint,CrossingPoint.1,dCt,Avg,SD,ddCt,Exp,Avg.1
ASO97-120_WT_20210615,O1,Naïve_P10,Naïve_P10,29.3844035481868,21.2125155985458,8.171887949641,8.074534319478307,0.1210367171977511,0.0973536301626936,0.9347460468200874,1.003296955300479
ASO97-120_WT_20210615,O2,Naïve_P10,Naïve_P10,29.4621973179112,21.2322699778306,8.2299273400806,,,0.15539302060229332,0.897887735978509,
ASO97-120_WT_20210615,O3,Naïve_P10,Naïve_P10,29.3417965176351,21.2972341145584,8.0445624030767,,,-0.02997191640160679,1.0209922508101428,
ASO97-120_WT_20210615,O4,Naïve_P10,Naïve_P10,30.0250468224354,21.7415037373845,8.283543085050898,,,0.20900876557259096,0.8651314341758305,
ASO97-120_WT_20210615,O5,Naïve_P10,Naïve_P10,30.0365941194758,21.766124408299,8.270469711176801,,,0.1959353916984945,0.8730066861709374,
ASO97-120_WT_20210615,O6,Naïve_P10,Naïve_P10,29.9926378124889,21.8654772735925,8.127160538896401,,,0.05262621941809442,0.964179579807642,
ASO97-120_WT_20210615,O7,Naïve_P10,Naïve_P10,29.5565241089491,21.6638375007664,7.8926866081827,,,-0.18184771129560673,1.1343357398526035,
ASO97-120_WT_20210615,O8,Naïve_P10,Naïve_P10,29.6211791890057,21.6355477486117,7.985631440394002,,,-0.08890287908430494,1.0635610725207976,
ASO97-120_WT_20210615,O9,Naïve_P10,Naïve_P10,29.8579613740869,21.7281301469566,8.1298312271303,,,0.05529690765199291,0.962396360873179,
ASO97-120_WT_20210615,P1,Naïve_P10,Naïve_P10,29.0167448609464,21.0823765898872,7.934368271059199,,,-0.14016604841910763,1.102031948039507,
ASO97-120_WT_20210615,P2,Naïve_P10,Naïve_P10,29.0716883490884,21.1090744500971,7.9626138989913,,,-0.11192042048700657,1.0806657905297896,
ASO97-120_WT_20210615,P3,Naïve_P10,Naïve_P10,29.085823987157,21.0910675255026,7.994756461654401,,,-0.07977785782390612,1.0568552963885578,
ASO97-120_WT_20210615,P4,Naïve_P10,Naïve_P10,29.366559156354,21.1806058696071,8.185953286746901,,,0.11141896726859457,0.9256771613056667,
ASO97-120_WT_20210615,P5,Naïve_P10,Naïve_P10,29.3494218770215,21.1919259370041,8.157495940017398,,,0.08296162053909129,0.9441175348115842,
ASO97-120_WT_20210615,P6,Naïve_P10,Naïve_P10,29.2904533254273,21.2701923617675,8.020260963659801,,,-0.054273355818505564,1.0383359914636492,
ASO97-120_WT_20210615,P7,Naïve_P10,Naïve_P10,29.9658888634056,21.9810482411311,7.9848406222745005,,,-0.08969369720380627,1.0641442268999004,
ASO97-120_WT_20210615,P8,Naïve_P10,Naïve_P10,29.9998131088464,22.0173900977316,7.9824230111148005,,,-0.09211130836350634,1.0659289725970256,
ASO97-120_WT_20210615,P9,Naïve_P10,Naïve_P10,30.0355449522563,22.0523399607945,7.983204991461797,,,-0.09132932801650995,1.0653513663632175,
ASO97-120_WT_20210615,O10,Ionis1375651_10_P10,Ionis1375651_10_P10,38.3686769759988,27.9958008849028,10.372876091096003,,,2.2983417716176966,0.20329663325543373,0.11307649426331012
ASO97-120_WT_20210615,O11,Ionis1375651_10_P10,Ionis1375651_10_P10,40,27.9911405008641,12.008859499135902,,,3.934325179657595,0.0654108975179181,
ASO97-120_WT_20210615,O12,Ionis1375651_10_P10,Ionis1375651_10_P10,40,28.0996818991212,11.900318100878799,,,3.8257837814004922,0.07052195201657849,
ASO97-120_WT_20210615,P10,Ionis1375651_10_P10,Ionis1375651_10_P10,39.5532997341726,28.5054158728277,11.047883861344896,,,2.9733495418665896,0.1273305456907888,0.2530239837072
ASO97-120_WT_20210615,P11,Ionis1375651_10_P10,Ionis1375651_10_P10,37.9120545629076,28.4367139380139,9.4753406248937,,,1.4008063054153936,0.3787174217236111,
ASO97-120_WT_20210615,P12,Ionis1375651_10_P10,Ionis1375651_10_P10, ,28.4044049156359,,,,,,
ASO97-120_WT_20210615,O13,Ionis1375651_3_P10,Ionis1375651_3_P10,34.9649564006087,24.6450623914675,10.319894009141198,,,2.245359689662891,0.21090136099790013,0.1479619895649777
ASO97-120_WT_20210615,O14,Ionis1375651_3_P10,Ionis1375651_3_P10,35.8306935210192,24.6768781471107,11.1538153739085,,,3.0792810544301936,0.11831615224288014,
ASO97-120_WT_20210615,O15,Ionis1375651_3_P10,Ionis1375651_3_P10,35.929899115691,24.7309052712412,11.198993844449802,,,3.1244595249714955,0.11466845545415279,
ASO97-120_WT_20210615,P13,Ionis1375651_3_P10,Ionis1375651_3_P10,35.4434781676864,24.9405051538346,10.5029730138518,,,2.4284386943734937,0.18576637666786755,0.1357496349133518
ASO97-120_WT_20210615,P14,Ionis1375651_3_P10,Ionis1375651_3_P10,36.9592699454835,24.9872397700291,11.9720301754544,,,3.897495855976093,0.06710221240336195,
ASO97-120_WT_20210615,P15,Ionis1375651_3_P10,Ionis1375651_3_P10,35.8004007654493,25.0304271639398,10.769973601509495,,,2.695439282031188,0.1543803156688259,
ASO97-120_WT_20210615,O16,Ionis676630_10_P10,Ionis676630_10_P10,35.615770126374,27.4037464672655,8.212023659108503,,,0.13748933963019638,0.9090998470281243,0.7222406170203918
ASO97-120_WT_20210615,O17,Ionis676630_10_P10,Ionis676630_10_P10,36.328696604584,27.4773786592223,8.851317945361703,,,0.7767836258833967,0.583666582139008,
ASO97-120_WT_20210615,O18,Ionis676630_10_P10,Ionis676630_10_P10,36.0491252655727,27.4053160201523,8.6438092454204,,,0.5692749259420928,0.6739554218940428,
ASO97-120_WT_20210615,P16,Ionis676630_10_P10,Ionis676630_10_P10,37.5237805557101,28.9077911201496,8.615989435560497,,,0.5414551160821901,0.6870775664364716,0.6136861330646548
ASO97-120_WT_20210615,P17,Ionis676630_10_P10,Ionis676630_10_P10,37.8649574622342,28.9022415770218,8.9627158852124,,,0.8881815657340937,0.540294699692838,
ASO97-120_WT_20210615,P18,Ionis676630_10_P10,Ionis676630_10_P10, ,28.9794188936268,,,,,,
ASO97-120_WT_20210615,I1,ASO109_10,KQ421_10,35.6540483752479,26.209964009945,9.444084365302903,,,1.369550045824596,0.3870119325755822,0.5346470437076175
ASO97-120_WT_20210615,I2,ASO109_10,KQ421_10,34.9063809494801,26.2607321330858,8.645648816394303,,,0.571114496915996,0.6730966134076661,
ASO97-120_WT_20210615,I3,ASO109_10,KQ421_10,35.2408908172629,26.2875909996643,8.953299817598602,,,0.8787654981202948,0.5438325851396041,
ASO97-120_WT_20210615,I4,ASO109_10,KQ421_10,34.7891620186223,26.1973044244086,8.5918575942137,,,0.5173232747353929,0.6986669132180992,0.6128180315646865
ASO97-120_WT_20210615,I5,ASO109_10,KQ421_10,35.0552393306057,26.2325124582226,8.8227268723831,,,0.7481925529047935,0.5953489596405055,
ASO97-120_WT_20210615,I6,ASO109_10,KQ421_10,35.2488702881946,26.2971762274394,8.951694060755202,,,0.8771597412768948,0.5444382218354549,
ASO97-120_WT_20210615,I7,ASO109_3,KQ421_3,32.4992101872268,23.3270430082572,9.172167178969602,,,1.097632859491295,0.467282573506707,0.39810826021540785
ASO97-120_WT_20210615,I8,ASO109_3,KQ421_3,33.0254871394922,23.3224670057961,9.7030201336961,,,1.6284858142177931,0.32342748406595057,
ASO97-120_WT_20210615,I9,ASO109_3,KQ421_3,32.7989761000084,23.4154924877327,9.383483612275704,,,1.3089492927973971,0.40361472307356616,
ASO97-120_WT_20210615,I10,ASO109_3,KQ421_3,32.655241594822,23.3584252539931,9.2968163408289,,,1.222282021350594,0.4286042255858235,0.4315728281815118
ASO97-120_WT_20210615,I11,ASO109_3,KQ421_3,32.5946555704727,23.3826452317656,9.212010338707103,,,1.1374760192287958,0.4545541203922783,
ASO97-120_WT_20210615,I12,ASO109_3,KQ421_3,32.7914882836334,23.4361291268218,9.355359156811598,,,1.2808248373332916,0.41156013856643364,
ASO97-120_WT_20210615,J1,ASO110_10,KQ420_10,33.0255195552954,24.1243632905422,8.901156264753205,,,0.8266219452748977,0.5638479416961529,0.5341776295491095
ASO97-120_WT_20210615,J2,ASO110_10,KQ420_10,33.0964939195811,24.1699039095896,8.9265900099915,,,0.8520556905131933,0.553994788366783,
ASO97-120_WT_20210615,J3,ASO110_10,KQ420_10,33.3453192472382,24.2259196224005,9.119399624837701,,,1.0448653053593944,0.48469015858439285,
ASO97-120_WT_20210615,J4,ASO110_10,KQ420_10,34.7337802099118,25.8609908779722,8.8727893319396,,,0.7982550124612935,0.5750442921902271,0.6748407394025109
ASO97-120_WT_20210615,J5,ASO110_10,KQ420_10,34.3030061277517,25.8716026122748,8.431403515476902,,,0.3568691959985948,0.7808572869364783,
ASO97-120_WT_20210615,J6,ASO110_10,KQ420_10,34.5863486000797,25.9310740746807,8.655274525399001,,,0.5807402059206943,0.6686206390808273,
ASO97-120_WT_20210615,J7,ASO110_3,KQ420_3,31.4930989597076,22.7345889598065,8.758509999901097,,,0.6839756804227903,0.62244761023088,0.6136414487227663
ASO97-120_WT_20210615,J8,ASO110_3,KQ420_3,31.6464376234021,22.7717588067846,8.8746788166175,,,0.8001444971391933,0.5742916548380139,
ASO97-120_WT_20210615,J9,ASO110_3,KQ420_3,31.5137805768645,22.8047934117431,8.708987165121403,,,0.6344528456430965,0.6441850810994046,
ASO97-120_WT_20210615,J10,ASO110_3,KQ420_3,32.2013902554633,23.1288129452483,9.072577310215003,,,0.9980429907366961,0.5006787079546486,0.6058554801034091
ASO97-120_WT_20210615,J11,ASO110_3,KQ420_3,31.9388355373126,23.1825023542496,8.756333183063,,,0.6817988635846923,0.6233875019815214,
ASO97-120_WT_20210615,J12,ASO110_3,KQ420_3,31.813242469659,23.2106764170916,8.602566052567397,,,0.5280317330890902,0.6935002303740573,
ASO97-120_WT_20210615,K1,ASO111_10,KQ419_10,33.3553899382712,25.2765931958206,8.078796742450603,,,0.004262422972296065,0.9970498737344291,1.005676765564805
ASO97-120_WT_20210615,K2,ASO111_10,KQ419_10,33.3186480682208,25.3394536097887,7.979194458432104,,,-0.0953398610462024,1.0683170458340532,
ASO97-120_WT_20210615,K3,ASO111_10,KQ419_10,33.4990949266884,25.353083865234,8.146011061454399,,,0.07147674197609177,0.9516633771259325,
ASO97-120_WT_20210615,K4,ASO111_10,KQ419_10,34.3234147046341,26.29865018485,8.024764519784096,,,-0.0497697996942108,1.0350997473605943,0.993009234644552
ASO97-120_WT_20210615,K5,ASO111_10,KQ419_10,34.5344640444338,26.2685142591317,8.265949785302098,,,0.1914154658237912,0.8757460823001629,
ASO97-120_WT_20210615,K6,ASO111_10,KQ419_10,34.286600575727,26.3072235650461,7.979377010680899,,,-0.09515730879740758,1.068181874272899,
ASO97-120_WT_20210615,K7,ASO111_3,KQ419_3,29.0607132055241,21.1224975023604,7.938215703163699,,,-0.1363186163146075,1.099096924132931,1.0928667780940813
ASO97-120_WT_20210615,K8,ASO111_3,KQ419_3,29.0909116076354,21.1249885202449,7.9659230873905,,,-0.10861123208780654,1.0781898490787536,
ASO97-120_WT_20210615,K9,ASO111_3,KQ419_3,29.1379590993631,21.2026500649511,7.9353090344120005,,,-0.13922528506630627,1.1013135610705596,
ASO97-120_WT_20210615,K10,ASO111_3,KQ419_3,29.3174206517494,21.5113899876344,7.806030664115003,,,-0.268503655363304,1.2045578277616489,1.2099430543423206
ASO97-120_WT_20210615,K11,ASO111_3,KQ419_3,29.2999771787652,21.5329398423319,7.767037336433301,,,-0.30749698304500583,1.2375587224606577,
ASO97-120_WT_20210615,K12,ASO111_3,KQ419_3,29.4762764805721,21.649927954944,7.826348525628099,,,-0.24818579385020811,1.1877126128046556,
ASO97-120_WT_20210615,L1,ASO112_10,KQ287_10,31.5522913317049,23.2582790682954,8.294012263409499,,,0.21947794393119224,0.858876174598165,0.9130724705434967
ASO97-120_WT_20210615,L2,ASO112_10,KQ287_10,31.3020327050855,23.2273393167144,8.074693388371102,,,0.00015906889279548864,0.9998897479236508,
ASO97-120_WT_20210615,L3,ASO112_10,KQ287_10,31.5490116062815,23.2907927089191,8.2582188973624,,,0.18368457788409387,0.8804514891086744,
ASO97-120_WT_20210615,L4,ASO112_10,KQ287_10,30.8804025531837,22.4270539136161,8.4533486395676,,,0.37881432008929394,0.7690693911932065,0.7496653750488199
ASO97-120_WT_20210615,L5,ASO112_10,KQ287_10,30.8952634111248,22.5324732413911,8.362790169733703,,,0.28825585025539624,0.8188914612280905,
ASO97-120_WT_20210615,L6,ASO112_10,KQ287_10,31.2410796228291,22.5693444642024,8.671735158626703,,,0.5972008391483961,0.661035272725163,
ASO97-120_WT_20210615,L7,ASO112_3,KQ287_3,30.569822288415,22.1942043028418,8.3756179855732,,,0.30108366609489323,0.8116425100950452,0.8200466731206945
ASO97-120_WT_20210615,L8,ASO112_3,KQ287_3,30.5452650638331,22.185525794147,8.359739269686099,,,0.2852049502077918,0.8206250219983354,
ASO97-120_WT_20210615,L9,ASO112_3,KQ287_3,30.6206622404582,22.2736084003972,8.347053840060997,,,0.2725195205826907,0.8278724872687029,
ASO97-120_WT_20210615,L10,ASO112_3,KQ287_3,30.590708128831,22.0473571700549,8.543350958776099,,,0.46881663929779194,0.7225570272006592,0.752637879334006
ASO97-120_WT_20210615,L11,ASO112_3,KQ287_3,30.654854850188,22.138472925791,8.516381924396999,,,0.4418476049186921,0.7361911924876607,
ASO97-120_WT_20210615,L12,ASO112_3,KQ287_3,30.5553211482036,22.1573528896575,8.3979682585461,,,0.32343393906779383,0.7991654183136984,
ASO97-120_WT_20210615,M1,ASO113_10,KQ984_10,32.5628945028524,24.2750415924339,8.2878529104185,,,0.2133185909401938,0.8625508460508411,0.9678353448980483
ASO97-120_WT_20210615,M2,ASO113_10,KQ984_10,32.2662589703472,24.2951153256661,7.971143644681103,,,-0.10339067479720399,1.074295346187077,
ASO97-120_WT_20210615,M3,ASO113_10,KQ984_10,32.4869836877067,24.3635295829654,8.123454104741299,,,0.04891978526299212,0.966659842456227,
ASO97-120_WT_20210615,M4,ASO113_10,KQ984_10,33.5778754939139,25.3811263335368,8.196749160377102,,,0.12221484089879553,0.9187760525027195,1.0766373291657867
ASO97-120_WT_20210615,M5,ASO113_10,KQ984_10,33.458127352768,25.5025578976211,7.955569455146904,,,-0.11896486433140296,1.0859554084362957,
ASO97-120_WT_20210615,M6,ASO113_10,KQ984_10,33.3042490232383,25.5227090452994,7.781539977938898,,,-0.2929943415394085,1.2251805265583444,
ASO97-120_WT_20210615,M7,ASO113_3,KQ984_3,31.2345473803872,22.807600323847,8.426947056540197,,,0.3524127370618899,0.7832730702337952,0.7896772329361954
ASO97-120_WT_20210615,M8,ASO113_3,KQ984_3,31.3117292993178,22.8771159577193,8.4346133415985,,,0.3600790221201926,0.7791219028999238,
ASO97-120_WT_20210615,M9,ASO113_3,KQ984_3,31.2539919614079,22.8694486393008,8.384543322107099,,,0.3100090026287923,0.8066367256748671,
ASO97-120_WT_20210615,M10,ASO113_3,KQ984_3,31.3839493418472,23.0587299805742,8.325219361273,,,0.25068504179469286,0.8404972231648251,0.7882663729053121
ASO97-120_WT_20210615,M11,ASO113_3,KQ984_3,31.6553062390543,23.1482647561371,8.507041482917202,,,0.4325071634388955,0.7409729782800192,
ASO97-120_WT_20210615,M12,ASO113_3,KQ984_3,31.5986187776047,23.1717745809414,8.4268441966633,,,0.35230987718499307,0.783328917271092,
ASO97-120_WT_20210615,N1,ASO114_10,KQ429_10,34.0342969079026,25.6304397291794,8.4038571787232,,,0.32932285924489335,0.7959099629720514,0.7714938418124065
ASO97-120_WT_20210615,N2,ASO114_10,KQ429_10,34.2670940596829,25.6418452927836,8.625248766899297,,,0.5507144474209902,0.6826819687892159,
ASO97-120_WT_20210615,N3,ASO114_10,KQ429_10,34.0117165879074,25.6785665737726,8.333150014134802,,,0.2586156946564948,0.8358895936759524,
ASO97-120_WT_20210615,N4,ASO114_10,KQ429_10,35.0185404113949,26.2806229728859,8.737917438509001,,,0.6633831190306942,0.6313959364938215,0.7008283719459864
ASO97-120_WT_20210615,N5,ASO114_10,KQ429_10,34.9044330679916,26.418223577329,8.486209490662596,,,0.41167517118428876,0.7517499796280084,
ASO97-120_WT_20210615,N6,ASO114_10,KQ429_10,34.9640990870359,26.4143088972326,8.549790189803296,,,0.4752558703249896,0.7193391997161293,
ASO97-120_WT_20210615,N7,ASO114_3,KQ429_3,30.0729503144966,21.8611160685528,8.211834245943802,,,0.13729992646549505,0.9092192116745289,0.8968136409309899
ASO97-120_WT_20210615,N8,ASO114_3,KQ429_3,30.0956038005711,21.874149496331,8.221454304240101,,,0.14691998476179435,0.9031766010475352,
ASO97-120_WT_20210615,N9,ASO114_3,KQ429_3,30.2107597241845,21.9485923707683,8.2621673534162,,,0.18763303393789244,0.8780451100709058,
ASO97-120_WT_20210615,N10,ASO114_3,KQ429_3,30.6668049025044,22.1473403461628,8.5194645563416,,,0.4449302368632928,0.7346198391464918,0.739987995821051
ASO97-120_WT_20210615,N11,ASO114_3,KQ429_3,30.7930943747282,22.1747412355555,8.618353139172697,,,0.5438188196943905,0.6859527840046238,
ASO97-120_WT_20210615,N12,ASO114_3,KQ429_3,30.6499287906068,22.2523683638963,8.397560426710502,,,0.32302610723219516,0.7993913643120375,
ASO97-120_WT_20210615,I13,ASO115_10,KQ428_10,34.2467861650185,25.8416482692903,8.405137895728199,,,0.33060357624989223,0.7952037270150143,0.6649241857103122
ASO97-120_WT_20210615,I14,ASO115_10,KQ428_10,34.3777410354049,25.8356455055625,8.542095529842403,,,0.4675612103640958,0.7231860678316374,
ASO97-120_WT_20210615,I15,ASO115_10,KQ428_10,35.0433482869262,25.8990070833761,9.144341203550095,,,1.069806884071788,0.476382762284285,
ASO97-120_WT_20210615,I16,ASO115_10,KQ428_10,35.7612839538632,27.1448946818791,8.616389271984097,,,0.5418549525057905,0.6868871723725037,0.5303363114904458
ASO97-120_WT_20210615,I17,ASO115_10,KQ428_10,36.1153216018871,27.0892455572202,9.026076044666905,,,0.9515417251885978,0.517079593351264,
ASO97-120_WT_20210615,I18,ASO115_10,KQ428_10,36.6096260844965,27.1656544285645,9.443971655931996,,,1.3694373364536894,0.38704216874756964,
ASO97-120_WT_20210615,I19,ASO115_3,KQ428_3,31.5361634040953,22.6355628173175,8.900600586777802,,,0.8260662672994954,0.5640651589328782,0.5871547646575617
ASO97-120_WT_20210615,I20,ASO115_3,KQ428_3,31.5034053294561,22.6630896437126,8.840315685743501,,,0.7657813662651947,0.5881347474824601,
ASO97-120_WT_20210615,I21,ASO115_3,KQ428_3,31.4869707267864,22.6975767274913,8.7893939992951,,,0.7148596798167937,0.6092643875573466,
ASO97-120_WT_20210615,I22,ASO115_3,KQ428_3,31.6009185457452,22.6612130904333,8.939705455311898,,,0.8651711358335916,0.5489812815973846,0.5847843638540103
ASO97-120_WT_20210615,I23,ASO115_3,KQ428_3,31.5519204618762,22.7080068639805,8.8439135978957,,,0.769379278417393,0.5866698358496091,
ASO97-120_WT_20210615,I24,ASO115_3,KQ428_3,31.5410465103246,22.7738287331777,8.767217777146897,,,0.6926834576685899,0.6187019741150371,
ASO97-120_WT_20210615,J13,ASO116_10,KQ427_10,34.8744214281691,26.0817472608925,8.792674167276601,,,0.7181398477982945,0.6078807137534176,0.6099988321996938
ASO97-120_WT_20210615,J14,ASO116_10,KQ427_10,34.6463447740729,26.0568526866485,8.5894920874244,,,0.5149577679460933,0.6998134181563128,
ASO97-120_WT_20210615,J15,ASO116_10,KQ427_10,35.1332363055621,26.1216591266276,9.011577178934502,,,0.937042859456195,0.5223023646893508,
ASO97-120_WT_20210615,J16,ASO116_10,KQ427_10,34.2293676365383,25.9750203549499,8.254347281588398,,,0.17981296211009123,0.8828174415502084,0.8022521861392301
ASO97-120_WT_20210615,J17,ASO116_10,KQ427_10,34.5392472331747,25.9942744882937,8.544972744880997,,,0.47043842540269054,0.7217452308679774,
ASO97-120_WT_20210615,J18,ASO116_10,KQ427_10,34.484212085689,26.0917006418739,8.392511443815103,,,0.3179771243367959,0.8021938859995046,
ASO97-120_WT_20210615,J19,ASO116_3,KQ427_3,31.6968692812096,22.859725258571,8.8371440226386,,,0.7626097031602939,0.5894291424631448,0.6008656337380724
ASO97-120_WT_20210615,J20,ASO116_3,KQ427_3,31.7389773163985,22.8540061567141,8.884971159684401,,,0.8104368402060942,0.5702091755570596,
ASO97-120_WT_20210615,J21,ASO116_3,KQ427_3,31.626749723183,22.9150131167515,8.7117366064315,,,0.6372022869531939,0.6429585831940128,
ASO97-120_WT_20210615,J22,ASO116_3,KQ427_3,32.0399099655893,23.2137908687597,8.826119096829604,,,0.7515847773512974,0.5939507536480494,0.5440637462452321
ASO97-120_WT_20210615,J23,ASO116_3,KQ427_3,32.3049788143485,23.2142092694864,9.090769544862102,,,1.0162352253837952,0.49440484097995147,
ASO97-120_WT_20210615,J24,ASO116_3,KQ427_3,32.2357494860841,23.282457783383,8.953291702701105,,,0.8787573832227977,0.5438356441076954,
ASO97-120_WT_20210615,K13,ASO117_10,KQ426_10,36.8072023745081,29.0340633855593,7.773138988948801,,,-0.3013953305295054,1.232335714578355,0.9402641393589833
ASO97-120_WT_20210615,K14,ASO117_10,KQ426_10,38.0109793365434,29.2022057182444,8.808773618299,,,0.7342392988206932,0.6011349063513816,
ASO97-120_WT_20210615,K15,ASO117_10,KQ426_10,37.2455989810217,29.1526569446336,8.092942036388102,,,0.01840771690979537,0.9873217971472132,
ASO97-120_WT_20210615,K16,ASO117_10,KQ426_10,38.1714010888358,29.3335197545463,8.837881334289502,,,0.7633470148111954,0.5891279825312226,
