Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt,Exp,Exp_std,Exp_zscore,Test plate #,Avg_plate,Min_plate,Max_plate
ASO1-95_MT_1.2-6_20210630,F7,ASO10_3,KQ280_L20_5-10-5_3uM_P1.2-1,8.77612474,0.84,0.55864356903611,0.13019234821720146,0.7509772988374432,1.0,,,
ASO1-95_MT_1.2-6_20210630,F8,ASO10_3,KQ280_L20_5-10-5_3uM_P1.2-1,9.656065810000001,1.72,0.30354872109876174,0.13019234821720146,1.4452892080919075,1.0,,,
ASO1-95_MT_1.2-6_20210630,F9,ASO10_3,KQ280_L20_5-10-5_3uM_P1.2-1,9.010089410000003,1.07,0.47631899902196867,0.13019234821720146,0.0421950663408253,1.0,,,
ASO1-95_MT_1.2-6_20210630,F10,ASO10_3,KQ280_L20_5-10-5_3uM_P1.2-1,9.191226310000001,1.25,0.42044820762685725,0.12191915393114297,0.43883051629601755,1.0,,,
ASO1-95_MT_1.2-6_20210630,F11,ASO10_3,KQ280_L20_5-10-5_3uM_P1.2-1,9.146027480000004,1.21,0.4322686156539326,0.12191915393114297,0.33706144311394987,1.0,,,
ASO1-95_MT_1.2-6_20210630,F12,ASO10_3,KQ280_L20_5-10-5_3uM_P1.2-1,8.591464870000003,0.65,0.6372803136596311,0.12191915393114297,1.4280088023236026,1.0,,,
ASO1-95_total_1.2-6_20210630,A13,ASO11_10,KQ371_L20_5-10-5_10uM_P1.2-1,9.741863360000004,2.2,0.217637640824031,0.08585875800815353,0.03572215278372539,1.0,,,
ASO1-95_total_1.2-6_20210630,A14,ASO11_10,KQ371_L20_5-10-5_10uM_P1.2-1,8.927500299999998,1.39,0.38156480224013983,0.08585875800815353,1.3748411890019512,1.0,,,
ASO1-95_total_1.2-6_20210630,A15,ASO11_10,KQ371_L20_5-10-5_10uM_P1.2-1,9.077143150000001,1.54,0.3438854545349359,0.08585875800815353,1.050617270548044,1.0,,,
ASO1-95_total_1.2-6_20210630,A16,ASO11_10,KQ371_L20_5-10-5_10uM_P1.2-1,10.857080309999997,3.32,0.10013373469870276,0.026132097292222628,1.046821845264131,1.0,,,
ASO1-95_total_1.2-6_20210630,A17,ASO11_10,KQ371_L20_5-10-5_10uM_P1.2-1,10.41314014,2.87,0.13678671265759243,0.026132097292222628,0.7314296513808325,1.0,,,
ASO1-95_total_1.2-6_20210630,A18,ASO11_10,KQ371_L20_5-10-5_10uM_P1.2-1,10.264120400000003,2.73,0.15072597846134506,0.026132097292222628,0.611484810121305,1.0,,,
ASO1-95_WT_1.2-6_20210630,A13,ASO11_10,KQ371_L20_5-10-5_10uM_P1.2-1,9.577592329999998,1.15,0.45062523130541515,0.034726310935922426,0.8141077798976619,1.0,,,
ASO1-95_WT_1.2-6_20210630,A14,ASO11_10,KQ371_L20_5-10-5_10uM_P1.2-1,9.463368070000001,1.03,0.4897101487934634,0.034726310935922426,0.4419138776558805,1.0,,,
ASO1-95_WT_1.2-6_20210630,A15,ASO11_10,KQ371_L20_5-10-5_10uM_P1.2-1,9.678578469999998,1.25,0.42044820762685725,0.034726310935922426,1.1014744912230634,1.0,,,
ASO1-95_WT_1.2-6_20210630,A16,ASO11_10,KQ371_L20_5-10-5_10uM_P1.2-1,9.25134869,0.82,0.5664419426478994,0.07702841711737053,0.28877989416614064,1.0,,,
ASO1-95_WT_1.2-6_20210630,A17,ASO11_10,KQ371_L20_5-10-5_10uM_P1.2-1,9.209077820000001,0.78,0.5823667932342279,0.07702841711737053,0.44042745192689037,1.0,,,
ASO1-95_WT_1.2-6_20210630,A18,ASO11_10,KQ371_L20_5-10-5_10uM_P1.2-1,8.931829189999998,0.5,0.7071067811865476,0.07702841711737053,1.6282888026835771,1.0,,,
ASO1-95_MT_1.2-6_20210630,A13,ASO11_10,KQ371_L20_5-10-5_10uM_P1.2-1,10.528037089999998,2.59,0.16608572676206396,0.23320190697995666,0.5605213607054979,1.0,,,
ASO1-95_MT_1.2-6_20210630,A14,ASO11_10,KQ371_L20_5-10-5_10uM_P1.2-1,11.644903499999998,3.71,0.07641501735575429,0.23320190697995666,1.1605253122279475,1.0,,,
ASO1-95_MT_1.2-6_20210630,A15,ASO11_10,KQ371_L20_5-10-5_10uM_P1.2-1,8.884043609999999,0.95,0.5176324619206888,0.23320190697995666,1.7917454122074075,1.0,,,
ASO1-95_MT_1.2-6_20210630,A16,ASO11_10,KQ371_L20_5-10-5_10uM_P1.2-1,10.242073099999999,2.3,0.2030630990890589,0.03765716154851167,0.3130986553426619,1.0,,,
