Experiment Name,Position,SampleName,ASO Microsynth ID ,CrossingPoint,CrossingPoint.1,dCt,Avg,SD,ddCt,Exp,Avg.1,Unnamed: 12,Unnamed: 13
ASO121-144_MT_20210615,G1,Naïve_P11,Naïve_P11,30.046783993602,21.9115960587838,8.135187934818198,8.041325352082715,0.12628833111972773,0.09386258273548265,0.937010693255443,1.003640572371736,,
ASO121-144_MT_20210615,G2,Naïve_P11,Naïve_P11,30.1849244946577,21.9394992677198,8.2454252269379,,,0.204099874855185,0.8680801300919332,,,
ASO121-144_MT_20210615,G3,Naïve_P11,Naïve_P11,30.2434351491927,22.0123585157795,8.231076633413199,,,0.18975128133048358,0.8767568599818516,,,
ASO121-144_MT_20210615,G4,Naïve_P11,Naïve_P11,29.9679267216945,21.9675661283833,8.0003605933112,,,-0.04096475877151562,1.0288015766820395,,,
ASO121-144_MT_20210615,G5,Naïve_P11,Naïve_P11,29.8337602752679,21.9755504932367,7.858209782031199,,,-0.18311557005151613,1.1353330466905955,,,
ASO121-144_MT_20210615,G6,Naïve_P11,Naïve_P11,30.1016598951822,22.0671631741123,8.0344967210699,,,-0.006828631012815833,1.0047444658386209,,,
ASO121-144_MT_20210615,G7,Naïve_P11,Naïve_P11,29.4743998778831,21.6632918758296,7.811108002053501,,,-0.23021735002921417,1.173011656648521,,,
ASO121-144_MT_20210615,G8,Naïve_P11,Naïve_P11,29.6106171779505,21.7045607855265,7.906056392423999,,,-0.13526895965871688,1.0982975488086166,,,
ASO121-144_MT_20210615,G9,Naïve_P11,Naïve_P11,29.7051379969391,21.754480233556,7.950657763383102,,,-0.09066758869961333,1.0648628201299712,,,
ASO121-144_MT_20210615,H1,Naïve_P11,Naïve_P11,29.865112748221,21.9294185267213,7.935694221499702,,,-0.10563113058301354,1.0759649860269445,,,
ASO121-144_MT_20210615,H2,Naïve_P11,Naïve_P11,29.8912863405657,21.9902046084514,7.901081732114299,,,-0.14024361996841606,1.1020912042381152,,,
ASO121-144_MT_20210615,H3,Naïve_P11,Naïve_P11,30.0734423947783,22.0356229850778,8.0378194097005,,,-0.0035059423822154656,1.0024330892465896,,,
ASO121-144_MT_20210615,H4,Naïve_P11,Naïve_P11,30.0352426743897,21.9075625896462,8.1276800847435,,,0.08635473266078364,0.9418996493133036,,,
ASO121-144_MT_20210615,H5,Naïve_P11,Naïve_P11,29.9975797036435,21.9095604038083,8.0880192998352,,,0.04669394775248392,0.9681523882342834,,,
ASO121-144_MT_20210615,H6,Naïve_P11,Naïve_P11,30.1128188890858,21.9911429125632,8.121675976522603,,,0.0803506244398875,0.9458277501654945,,,
ASO121-144_MT_20210615,H7,Naïve_P11,Naïve_P11,29.7906434730409,21.6577181620811,8.132925310959802,,,0.0915999588770866,0.938481389467229,,,
ASO121-144_MT_20210615,H8,Naïve_P11,Naïve_P11,29.7527086386405,21.6855058974264,8.0672027412141,,,0.025877389131384376,0.9822230682793379,,,
ASO121-144_MT_20210615,H9,Naïve_P11,Naïve_P11,29.8866525978624,21.7274740864054,8.159178511457,,,0.11785315937428464,0.9215579795923624,,,
ASO121-144_MT_20210615,G10,Ionis1375651_10_P11,Ionis1375651_10_P11,40,28.515802952415,11.484197047584999,,,3.4428716955022836,0.09195859948930199,0.2075287889776867,,
ASO121-144_MT_20210615,G11,Ionis1375651_10_P11,Ionis1375651_10_P11,38.6669409545494,28.5077488404135,10.159192114135902,,,2.117866762053186,0.23038732264445533,,,
ASO121-144_MT_20210615,G12,Ionis1375651_10_P11,Ionis1375651_10_P11,38.3005337589995,28.523398644688,9.777135114311498,,,1.735809762228783,0.3002404447993028,,,
ASO121-144_MT_20210615,H10,Ionis1375651_10_P11,Ionis1375651_10_P11, ,30.5800461425751,,,,,,0.36631792967054655,,
ASO121-144_MT_20210615,H11,Ionis1375651_10_P11,Ionis1375651_10_P11,40,30.5098428694565,9.490157130543501,,,1.4488317784607858,0.36631792967054655,,,
ASO121-144_MT_20210615,H12,Ionis1375651_10_P11,Ionis1375651_10_P11, ,30.542233242063,,,,,,,,
ASO121-144_MT_20210615,G13,Ionis1375651_3_P11,Ionis1375651_3_P11,36.7582349277981,25.9271870537408,10.831047874057301,,,2.7897225219745856,0.14461383434220337,0.21217260811023117,,
ASO121-144_MT_20210615,G14,Ionis1375651_3_P11,Ionis1375651_3_P11,35.9245488936691,25.9605084542439,9.964040439425197,,,1.9227150873424819,0.26375766267662637,,,
ASO121-144_MT_20210615,G15,Ionis1375651_3_P11,Ionis1375651_3_P11,36.2123122801687,26.0390182627367,10.173294017432003,,,2.1319686653492873,0.22814632731186377,,,
ASO121-144_MT_20210615,H13,Ionis1375651_3_P11,Ionis1375651_3_P11,36.7054975045752,26.8072209914452,9.89827651313,,,1.8569511610472844,0.2760590569445595,0.21263404427929675,,
ASO121-144_MT_20210615,H14,Ionis1375651_3_P11,Ionis1375651_3_P11,36.8140062598978,26.9244154229557,9.889590836942102,,,1.848265484859386,0.27772607028694934,,,
ASO121-144_MT_20210615,H15,Ionis1375651_3_P11,Ionis1375651_3_P11,38.5455833387487,26.9327992908778,11.6127840478709,,,3.571458695788184,0.08411700560638133,,,
ASO121-144_MT_20210615,G16,Ionis676630_10_P11,Ionis676630_10_P11,37.8135380324832,29.3876848780299,8.4258531544533,,,0.3845278023705845,0.7660296809160232,1.1098917301447881,,
ASO121-144_MT_20210615,G17,Ionis676630_10_P11,Ionis676630_10_P11,37.4629344301318,29.5586271089087,7.904307321223104,,,-0.13701803085961117,1.099629892446504,,,
