ASO Short Description ,Exp,Unnamed: 2,Unnamed: 3,ID,N1,N2,N3,N4,N5,N6
KQJM073_L19_6-08-5_10uM_P28,0.5041613249084383,,,,,,,,,
KQJM073_L19_6-08-5_10uM_P28,,,,,,,,,,
KQJM073_L19_6-08-5_10uM_P28,,,,,,,,,,
KQJM073_L19_6-08-5_10uM_P28,1.442424291239135,,,,,,,,,
KQJM073_L19_6-08-5_10uM_P28,,,,,,,,,,
KQJM073_L19_6-08-5_10uM_P28,,,,,,,,,,
KQJM073_L19_6-08-5_3uM_P28,0.5581963077284787,,,,,,,,,
KQJM073_L19_6-08-5_3uM_P28,,,,,,,,,,
KQJM073_L19_6-08-5_3uM_P28,,,,,,,,,,
KQJM073_L19_6-08-5_3uM_P28,2.0798696008519353,,,,,,,,,
KQJM073_L19_6-08-5_3uM_P28,,,,,,,,,,
KQJM073_L19_6-08-5_3uM_P28,,,,,,,,,,
KQJM075_L19_5-10-4_10uM_P28,0.548428253608934,,,,,,,,,
KQJM075_L19_5-10-4_10uM_P28,,,,,,,,,,
KQJM075_L19_5-10-4_10uM_P28,,,,,,,,,,
KQJM075_L19_5-10-4_10uM_P28,1.207012740076136,,,,,,,,,
KQJM075_L19_5-10-4_10uM_P28,,,,,,,,,,
KQJM075_L19_5-10-4_10uM_P28,,,,,,,,,,
KQJM075_L19_5-10-4_3uM_P28,0.5707547846517139,,,,,,,,,
KQJM075_L19_5-10-4_3uM_P28,,,,,,,,,,
KQJM075_L19_5-10-4_3uM_P28,,,,,,,,,,
KQJM075_L19_5-10-4_3uM_P28,0.7389047287016447,,,,,,,,,
KQJM075_L19_5-10-4_3uM_P28,,,,,,,,,,
KQJM075_L19_5-10-4_3uM_P28,,,,,,,,,,
KQJM076_L18_4-10-4_10uM_P28,0.8279516328540838,,,,,,,,,
KQJM076_L18_4-10-4_10uM_P28,,,,,,,,,,
KQJM076_L18_4-10-4_10uM_P28,,,,,,,,,,
KQJM076_L18_4-10-4_10uM_P28,0.3006948287119461,,,,,,,,,
KQJM076_L18_4-10-4_10uM_P28,,,,,,,,,,
KQJM076_L18_4-10-4_10uM_P28,,,,,,,,,,
KQJM076_L18_4-10-4_3uM_P28,0.7211432952863238,,,,,,,,,
KQJM076_L18_4-10-4_3uM_P28,,,,,,,,,,
KQJM076_L18_4-10-4_3uM_P28,,,,,,,,,,
KQJM076_L18_4-10-4_3uM_P28,0.9285538446356691,,,,,,,,,
KQJM076_L18_4-10-4_3uM_P28,,,,,,,,,,
KQJM076_L18_4-10-4_3uM_P28,,,,,,,,,,
KQJM077_L17_5-08-4_10uM_P28,0.4326956424870445,,,,,,,,,
KQJM077_L17_5-08-4_10uM_P28,,,,,,,,,,
KQJM077_L17_5-08-4_10uM_P28,,,,,,,,,,
KQJM077_L17_5-08-4_10uM_P28,1.158842019737022,,,,,,,,,
KQJM077_L17_5-08-4_10uM_P28,,,,,,,,,,
KQJM077_L17_5-08-4_10uM_P28,,,,,,,,,,
KQJM077_L17_5-08-4_3uM_P28,1.0876387469323143,,,,,,,,,
KQJM077_L17_5-08-4_3uM_P28,,,,,,,,,,
KQJM077_L17_5-08-4_3uM_P28,,,,,,,,,,
KQJM077_L17_5-08-4_3uM_P28,0.6693838685476481,,,,,,,,,
KQJM077_L17_5-08-4_3uM_P28,,,,,,,,,,
KQJM077_L17_5-08-4_3uM_P28,,,,,,,,,,
KQJM078_L19_6-08-5_10uM_P28,0.2811830686798829,,,,,,,,,
KQJM078_L19_6-08-5_10uM_P28,,,,,,,,,,
KQJM078_L19_6-08-5_10uM_P28,,,,,,,,,,
KQJM078_L19_6-08-5_10uM_P28,0.4992124508881343,,,,,,,,,
KQJM078_L19_6-08-5_10uM_P28,,,,,,,,,,
KQJM078_L19_6-08-5_10uM_P28,,,,,,,,,,
KQJM078_L19_6-08-5_3uM_P28,0.9484662074609321,,,,,,,,,
KQJM078_L19_6-08-5_3uM_P28,,,,,,,,,,
KQJM078_L19_6-08-5_3uM_P28,,,,,,,,,,
KQJM078_L19_6-08-5_3uM_P28,0.8432547928961133,,,,,,,,,
KQJM078_L19_6-08-5_3uM_P28,,,,,,,,,,
KQJM078_L19_6-08-5_3uM_P28,,,,,,,,,,
KQJM079_L20_6-08-6_10uM_P28,1.5634181042867212,,,,,,,,,
KQJM079_L20_6-08-6_10uM_P28,,,,,,,,,,
KQJM079_L20_6-08-6_10uM_P28,,,,,,,,,,
KQJM079_L20_6-08-6_10uM_P28,1.7283232680689464,,,,,,,,,
KQJM079_L20_6-08-6_10uM_P28,,,,,,,,,,
KQJM079_L20_6-08-6_10uM_P28,,,,,,,,,,
KQJM079_L20_6-08-6_3uM_P28,0.9862638702289022,,,,,,,,,
KQJM079_L20_6-08-6_3uM_P28,,,,,,,,,,
KQJM079_L20_6-08-6_3uM_P28,,,,,,,,,,
KQJM079_L20_6-08-6_3uM_P28,1.0462300165741198,,,,,,,,,
KQJM079_L20_6-08-6_3uM_P28,,,,,,,,,,
KQJM079_L20_6-08-6_3uM_P28,,,,,,,,,,
KQJM080_L18_5-08-5_10uM_P28,0.7154130556791078,,,,,,,,,
KQJM080_L18_5-08-5_10uM_P28,,,,,,,,,,
KQJM080_L18_5-08-5_10uM_P28,,,,,,,,,,
KQJM080_L18_5-08-5_10uM_P28,1.937069805856886,,,,,,,,,
KQJM080_L18_5-08-5_10uM_P28,,,,,,,,,,
KQJM080_L18_5-08-5_10uM_P28,,,,,,,,,,
KQJM080_L18_5-08-5_3uM_P28,0.8373386972872826,,,,,,,,,
KQJM080_L18_5-08-5_3uM_P28,,,,,,,,,,
KQJM080_L18_5-08-5_3uM_P28,,,,,,,,,,
KQJM080_L18_5-08-5_3uM_P28,1.8316204224173522,,,,,,,,,
KQJM080_L18_5-08-5_3uM_P28,,,,,,,,,,
KQJM080_L18_5-08-5_3uM_P28,,,,,,,,,,
KQJM081_L17_5-08-4_10uM_P28,0.74777316841872,,,,,,,,,
KQJM081_L17_5-08-4_10uM_P28,,,,,,,,,,
KQJM081_L17_5-08-4_10uM_P28,,,,,,,,,,
KQJM081_L17_5-08-4_10uM_P28,0.8164600334648942,,,,,,,,,
