Unnamed: 0,10uM,Unnamed: 2,3uM,Unnamed: 4,Unnamed: 5,Unnamed: 6,10uM.1,Unnamed: 8,3uM.1,Unnamed: 10,Unnamed: 11,Unnamed: 12,10uM.2,Unnamed: 14,3uM.2,Unnamed: 16,Unnamed: 17,Unnamed: 18
ID,MT,,,,,,Total,,,,,,WT,,,,,
Naïve_P27,1.0936619024518357,1.0627243532673307,1.0269165077848865,0.8374264877295007,0.9755122864045668,1.0256087347690162,1.0846766760062294,1.124477238412897,1.0326273048029728,0.7778075262303732,0.9503477147915578,1.0741149198564945,1.0825047303156012,1.072152218045136,1.0027448185709005,0.8048427327270004,0.9740988302763648,1.0959967679952562
Ionis1375651_10uM_P27,0.4305895301125426,0.2652996022517533,,,,,0.531821848899872,0.1609008767536065,,,,,0.518387644602373,0.21303129301291052,,,,
Ionis1375651_3uM_P27,,,0.1507432949408213,0.2584396378430853,,,,,0.17462935330375265,0.163546875174126,,,,,0.13381363796602944,0.24349189545836666,,
Ionis676630_10uM_P27,1.1441018591280452,0.7395160441889349,,,,,0.6853596123895087,0.5381481183338783,,,,,1.123744449016448,0.9010162426738925,,,,
KQJM052_L17_4-10-3_10uM_P27,0.8046293256055401,2.3552584528096645,,,,,1.3339857599062608,1.7387313790083536,,,,,1.9510251154940281,1.89482236268099,,,,
KQJM052_L17_4-10-3_3uM_P27,,,1.1544219650104945,0.6713860488314627,,,,,0.6132328984816603,0.3574768053167359,,,,,1.2283332765044164,0.6944956687900555,,
KQJM053_L17_5-08-4_10uM_P27,1.621401512039204,1.5678283723679485,,,,,1.5757819507721917,1.3484664881109794,,,,,1.6739129629271425,1.7812659898232877,,,,
KQJM053_L17_5-08-4_3uM_P27,,,1.298156064532969,0.9773413434070947,,,,,1.1501493325628327,0.7552922123339106,,,,,1.3463436483245115,1.0445561960454322,,
KQJM054_L18_4-10-4_10uM_P27,0.6140815707897104,1.3556242211320952,,,,,0.4979879891177634,1.3601168360187428,,,,,0.7412071063204517,1.5959946142295052,,,,
KQJM054_L18_4-10-4_3uM_P27,,,0.9922956559053039,1.0172025271365663,,,,,1.0341538913349242,1.0973644103145275,,,,,1.1432725904108025,1.21673723303407,,
KQJM055_L18_5-08-5_10uM_P27,0.6419041021301821,1.0262383935799653,,,,,0.5160856156388639,1.1220661499108608,,,,,0.7784933693224015,1.2203898815094263,,,,
KQJM055_L18_5-08-5_3uM_P27,,,0.6338763240910409,1.2390758253276808,,,,,0.5990290179256428,1.1411821563978555,,,,,0.727933060483743,1.2420546064006317,,
KQJM056_L19_5-10-4_10uM_P27,0.4440853649383958,1.589372656959985,,,,,0.5301158894904598,1.544845372508416,,,,,0.5326212351551703,1.8016859334220459,,,,
KQJM056_L19_5-10-4_3uM_P27,,,0.6646562946809846,0.95984117275543,,,,,0.6606497242470674,0.9046444747823185,,,,,0.8082107265401158,1.0559907757462605,,
KQJM057_L19_6-08-5_10uM_P27,0.7779300541841088,0.7750076365180106,,,,,0.6975262222636097,0.7813603571492425,,,,,0.803544181784882,0.926368537534453,,,,
KQJM057_L19_6-08-5_3uM_P27,,,0.9167827737939931,1.0669609222856384,,,,,0.8537204185592595,0.8623353915556032,,,,,1.0243505104516302,1.0173841981203138,,
KQJM058_L17_4-10-3_10uM_P27,0.9304747631284145,0.8722345021523005,,,,,0.6680934915249409,0.7451541896857519,,,,,1.038444305311863,0.9379956337989178,,,,
