Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1,dCt,Unnamed: 7,Avg,SD,ddCt,Avg_ddCt,Exp
ASO433-456_MT_20210622,O1,Naïve_P38,Naïve_P38,28.9546922092181,21.3782802628398,7.576411946378297,,,,-0.7469334870016056,-0.7228746607279355,1.6504674205585146
ASO433-456_MT_20210622,O2,Naïve_P38,Naïve_P38,28.9248966999153,21.3262283406118,7.5986683593035025,,,,-0.7246770740763999,,
ASO433-456_MT_20210622,O3,Naïve_P38,Naïve_P38,29.0163351814951,21.390003169221,7.626332012274101,,,,-0.697013421105801,,
ASO433-456_MT_20210622,O4,Naïve_P38,Naïve_P38,28.9875871946648,21.2482914962324,7.7392956984324,,,,-0.5840497349475022,-0.6095806177168015,1.525815599584908
ASO433-456_MT_20210622,O5,Naïve_P38,Naïve_P38,28.8462303089469,21.1891507765606,7.657079532386302,,,,-0.6662659009936007,,
ASO433-456_MT_20210622,O6,Naïve_P38,Naïve_P38,29.0319021391786,21.286982923008,7.744919216170601,,,,-0.5784262172093015,,
ASO433-456_MT_20210622,O7,Naïve_P38,Naïve_P38,29.0146949854515,21.5025641176859,7.512130867765599,,,,-0.8112145656143035,-0.8538627931526683,1.8073335597026565
ASO433-456_MT_20210622,O8,Naïve_P38,Naïve_P38,28.9803110931972,21.4969859018662,7.4833251913310015,,,,-0.8400202420489009,,
ASO433-456_MT_20210622,O9,Naïve_P38,Naïve_P38,28.9800790399196,21.5670871783345,7.412991861585102,,,,-0.9103535717948006,,
ASO433-456_MT_20210622,P1,Naïve_P38,Naïve_P38,28.9278686206778,21.4035674486255,7.524301172052301,,,,-0.7990442613276016,-0.7797575106131683,1.7168422803390537
ASO433-456_MT_20210622,P2,Naïve_P38,Naïve_P38,28.943313210837,21.48325733089,7.460055879946999,,,,-0.863289553432903,,
ASO433-456_MT_20210622,P3,Naïve_P38,Naïve_P38,29.2392259971874,21.5928192808865,7.646406716300902,,,,-0.6769387170790004,,
ASO433-456_MT_20210622,P4,Naïve_P38,Naïve_P38,28.8342462934257,21.2954634762406,7.538782817185101,,,,-0.7845626161948012,-0.7847816846379357,1.7228315927618578
ASO433-456_MT_20210622,P5,Naïve_P38,Naïve_P38,28.8410181369816,21.2671058398283,7.573912297153299,,,,-0.7494331362266031,,
ASO433-456_MT_20210622,P6,Naïve_P38,Naïve_P38,28.9078437294165,21.404847597529,7.5029961318875,,,,-0.8203493014924028,,
ASO433-456_MT_20210622,P7,Naïve_P38,Naïve_P38,29.3501883468307,21.7461618164217,7.604026530408998,,,,-0.7193189029709046,-0.8825793230026697,1.843668560141651
ASO433-456_MT_20210622,P8,Naïve_P38,Naïve_P38,29.0297172717653,21.6575370895091,7.372180182256201,,,,-0.951165251123701,,
ASO433-456_MT_20210622,P9,Naïve_P38,Naïve_P38,29.0221133367941,21.6760217183276,7.346091618466499,,,,-0.9772538149134036,,
ASO433-456_MT_20210622,O10,Ionis1375651_10_P38,Ionis1375651_10uM_P38,36.5093035790469,25.5860499124874,10.9232536665595,,,,2.5999082331795975,2.3720108584595962,0.1931761834639223
ASO433-456_MT_20210622,O11,Ionis1375651_10_P38,Ionis1375651_10uM_P38,36.0788287781552,25.594977796257,10.483850981898197,,,,2.1605055485182945,,
ASO433-456_MT_20210622,O12,Ionis1375651_10_P38,Ionis1375651_10uM_P38,36.2864198923045,25.6074556652437,10.6789642270608,,,,2.3556187936808968,,
ASO433-456_MT_20210622,P10,Ionis1375651_10_P38,Ionis1375651_10uM_P38,40.0,27.299163003187,12.700836996812999,,,,4.377491563433097,3.666844881159198,0.07873533892999261
ASO433-456_MT_20210622,P11,Ionis1375651_10_P38,Ionis1375651_10uM_P38,40.0,27.3212752851216,12.678724714878399,,,,4.355379281498497,,
ASO433-456_MT_20210622,P12,Ionis1375651_10_P38,Ionis1375651_10uM_P38,38.0871536827047,27.4961444507788,10.591009231925902,,,,2.2676637985459998,,
ASO433-456_MT_20210622,O13,Ionis1375651_3_P38,Ionis1375651_3uM_P38,32.8978999734799,24.4141780503782,8.483721923101701,,,,0.16037648972179852,0.18416336556146481,0.8801593418638004
ASO433-456_MT_20210622,O14,Ionis1375651_3_P38,Ionis1375651_3uM_P38,33.1167945901788,24.3937858231256,8.723008767053198,,,,0.39966333367329554,,
ASO433-456_MT_20210622,O15,Ionis1375651_3_P38,Ionis1375651_3uM_P38,32.7500937613499,24.4342980546807,8.315795706669203,,,,-0.007549726710699645,,
ASO433-456_MT_20210622,P13,Ionis1375651_3_P38,Ionis1375651_3uM_P38,34.5967283154321,25.1637932443492,9.432935071082902,,,,1.1095896377029995,1.4311149085827306,0.37084419507777633
ASO433-456_MT_20210622,P14,Ionis1375651_3_P38,Ionis1375651_3uM_P38,34.9237504466283,25.2046442033419,9.719106243286397,,,,1.3957608099064949,,
ASO433-456_MT_20210622,P15,Ionis1375651_3_P38,Ionis1375651_3uM_P38,35.3690731059677,25.2577333944491,10.1113397115186,,,,1.7879942781386973,,
ASO433-456_MT_20210622,O16,Ionis676630_10_P38,Ionis676630_10uM_P38,33.6392474116656,25.489253228953,8.1499941827126,8.421825879915568,8.323345433379902,0.13927238311929813,-0.17335125066730228,0.09848044653566508,0.9340162488429633
