Experiment Name,Position,SampleName,ASO Microsynth ID ,CrossingPoint,CrossingPoint.1,dCt,Avg,SD,ddCt,Avg_ddCt,Exp
ASO361-384_WT_20210621,G1,Naïve_P31,Naïve_P31,28.7835327633962,21.5058578242759,7.277674939120299,7.341012001828956,0.06636755872325312,-0.06333706270865669,-0.062294063741290394,1.0441247291059423
ASO361-384_WT_20210621,G2,Naïve_P31,Naïve_P31,28.5877444403883,21.242470443253,7.345273997135298,,,0.004261995306341859,,
ASO361-384_WT_20210621,G3,Naïve_P31,Naïve_P31,28.2879957251073,21.0747908470999,7.213204878007399,,,-0.12780712382155635,,
ASO361-384_WT_20210621,G4,Naïve_P31,Naïve_P31,28.7313193573763,21.4118328347013,7.319486522675,,,-0.021525479153956084,-0.03725066524238881,1.0261564223787043
ASO361-384_WT_20210621,G5,Naïve_P31,Naïve_P31,28.5863929810975,21.3086924688055,7.277700512292,,,-0.06331148953695553,,
ASO361-384_WT_20210621,G6,Naïve_P31,Naïve_P31,28.5616923221475,21.2475953473548,7.314096974792701,,,-0.026915027036254813,,
ASO361-384_WT_20210621,G7,Naïve_P31,Naïve_P31,28.878602929683,21.533533586699,7.345069342984001,,,0.00405734115504508,0.00017754543944370482,0.9998769424514297
ASO361-384_WT_20210621,G8,Naïve_P31,Naïve_P31,28.7162393101518,21.3778943871051,7.338344923046698,,,-0.0026670787822578035,,
ASO361-384_WT_20210621,G9,Naïve_P31,Naïve_P31,28.6749207319966,21.3347663562221,7.3401543757745,,,-0.000857626054456162,,
ASO361-384_WT_20210621,H1,Naïve_P31,Naïve_P31,29.2077307419751,21.8858358386083,7.3218949033668,,,-0.01911709846215537,0.05053760549087668,0.9655764497285995
ASO361-384_WT_20210621,H2,Naïve_P31,Naïve_P31,29.2423250780858,21.7263530557383,7.515972022347498,,,0.17496002051854198,,
ASO361-384_WT_20210621,H3,Naïve_P31,Naïve_P31,28.7018153680851,21.3650334718399,7.336781896245199,,,-0.004230105583756583,,
ASO361-384_WT_20210621,H4,Naïve_P31,Naïve_P31,29.1567920261179,21.8067611687129,7.350030857404999,,,0.009018855576043094,0.027594270565677093,0.9810548674659652
ASO361-384_WT_20210621,H5,Naïve_P31,Naïve_P31,28.8774797734391,21.553629939834,7.323849833605099,,,-0.017162168223856966,,
ASO361-384_WT_20210621,H6,Naïve_P31,Naïve_P31,28.7331030552575,21.3011649290837,7.431938126173801,,,0.09092612434484515,,
ASO361-384_WT_20210621,H7,Naïve_P31,Naïve_P31,28.8793848907639,21.5736507908139,7.305734099950001,,,-0.03527790187895441,0.021235307487678174,0.985388604268521
ASO361-384_WT_20210621,H8,Naïve_P31,Naïve_P31,28.7463178935477,21.3139031577432,7.4324147358045,,,0.09140273397554388,,
ASO361-384_WT_20210621,H9,Naïve_P31,Naïve_P31,28.5584926173244,21.209899525129,7.348593092195401,,,0.0075810903664450535,,
ASO361-384_WT_20210621,G10,Ionis1375651_10_P31,Ionis1375651_10uM_P31,40,27.9105233623534,12.089476637646602,,,4.748464635817646,3.9118099725319446,0.06643973031329546
ASO361-384_WT_20210621,G11,Ionis1375651_10_P31,Ionis1375651_10uM_P31,38.1698260656449,27.7536587545697,10.416167311075199,,,3.0751553092462434,,
ASO361-384_WT_20210621,G12,Ionis1375651_10_P31,Ionis1375651_10uM_P31, ,27.5808693150205,,,,,,
ASO361-384_WT_20210621,H10,Ionis1375651_10_P31,Ionis1375651_10uM_P31,37.9704727953824,28.4032510073177,9.5672217880647,,,2.226209786235744,2.226209786235744,0.2137194646808631
ASO361-384_WT_20210621,H11,Ionis1375651_10_P31,Ionis1375651_10uM_P31, ,28.1644727198899,,,,,,
ASO361-384_WT_20210621,H12,Ionis1375651_10_P31,Ionis1375651_10uM_P31, ,28.0663000936909,,,,,,
ASO361-384_WT_20210621,G13,Ionis1375651_3_P31,Ionis1375651_3uM_P31,35.3893766808121,25.3675378957996,10.021838785012498,,,2.6808267831835426,2.879385091304709,0.1358997689757464
ASO361-384_WT_20210621,G14,Ionis1375651_3_P31,Ionis1375651_3uM_P31,35.1948975473885,25.1893264704868,10.005571076901699,,,2.6645590750727433,,
ASO361-384_WT_20210621,G15,Ionis1375651_3_P31,Ionis1375651_3uM_P31,35.7366147004986,25.1028332830118,10.633781417486798,,,3.292769415657842,,
ASO361-384_WT_20210621,H13,Ionis1375651_3_P31,Ionis1375651_3uM_P31,37.2450524317593,25.7040279089654,11.541024522793897,,,4.2000125209649415,3.754482007057842,0.07409489683647762
ASO361-384_WT_20210621,H14,Ionis1375651_3_P31,Ionis1375651_3uM_P31,36.1649771881989,25.5980610921696,10.566916096029296,,,3.22590409420034,,
ASO361-384_WT_20210621,H15,Ionis1375651_3_P31,Ionis1375651_3uM_P31,36.5458953113255,25.3673539034883,11.178541407837201,,,3.8375294060082457,,
ASO361-384_WT_20210621,G16,Ionis676630_10_P31,Ionis676630_10uM_P31,35.7502894587947,27.3473269540716,8.402962504723096,,,1.06195050289414,1.4933266055714107,0.3551925911583667
ASO361-384_WT_20210621,G17,Ionis676630_10_P31,Ionis676630_10uM_P31,35.9809243371509,27.2050382319368,8.775886105214102,,,1.4348741033851464,,
ASO361-384_WT_20210621,G18,Ionis676630_10_P31,Ionis676630_10uM_P31,36.479948493674,27.1557812814101,9.324167212263902,,,1.983155210434946,,
ASO361-384_WT_20210621,H16,Ionis676630_10_P31,Ionis676630_10uM_P31,36.9286881787954,28.3493288651504,8.579359313644996,,,1.2383473118160406,1.3535111779411089,0.3913384639097423
