Experiment Name,Position,SampleName,ASO Microsynth ID ,CrossingPoint,CrossingPoint.1,dCt,Avg,SD,ddCt,Avg_ddCt,Exp,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
ASO481-504_MT_20210623,G1,Naïve_P41,Naïve_P41,27.9382936176615,21.1077859134203,6.8305077042411995,7.258643651892438,0.2551378810243343,-0.4281359476512385,-0.49902439993153774,1.4132575457433316,,,,
ASO481-504_MT_20210623,G2,Naïve_P41,Naïve_P41,27.8512687468917,21.1372680218685,6.714000725023201,,,-0.544642926869237,,,,,,
ASO481-504_MT_20210623,G3,Naïve_P41,Naïve_P41,27.7078952223178,20.9735458956995,6.7343493266183,,,-0.5242943252741377,,,,,,
ASO481-504_MT_20210623,G4,Naïve_P41,Naïve_P41,28.5819790865792,21.3276819909597,7.254297095619499,,,-0.004346556272938784,-0.022476230648305062,1.015701326444296,,,,
ASO481-504_MT_20210623,G5,Naïve_P41,Naïve_P41,28.5782784843467,21.2997844600009,7.2784940243458,,,0.019850372453362297,,,,,,
ASO481-504_MT_20210623,G6,Naïve_P41,Naïve_P41,28.344825299615,21.1691141558479,7.175711143767099,,,-0.0829325081253387,,,,,,
ASO481-504_MT_20210623,G7,Naïve_P41,Naïve_P41,28.807910898491,21.2770745988794,7.5308362996116,,,0.2721926477191623,0.23714228642346194,0.8484242213730429,,,,
ASO481-504_MT_20210623,G8,Naïve_P41,Naïve_P41,28.7151809393271,21.2893445474198,7.4258363919073,,,0.16719274001486184,,,,,,
ASO481-504_MT_20210623,G9,Naïve_P41,Naïve_P41,28.6720864994014,21.1414013759726,7.5306851234288,,,0.2720414715363617,,,,,,
ASO481-504_MT_20210623,H1,Naïve_P41,Naïve_P41,28.9763598169341,21.6341149562416,7.3422448606924995,,,0.0836012088000615,0.12674633674772906,0.915894710335762,,,,
ASO481-504_MT_20210623,H2,Naïve_P41,Naïve_P41,29.0500796487953,21.6506753241853,7.39940432461,,,0.14076067271756187,,,,,,
ASO481-504_MT_20210623,H3,Naïve_P41,Naïve_P41,28.9091098530807,21.4945890724627,7.414520780618002,,,0.1558771287255638,,,,,,
ASO481-504_MT_20210623,H4,Naïve_P41,Naïve_P41,29.6604121480325,22.2870781967672,7.373333951265298,,,0.11469029937286024,0.010655029679594938,0.9926417020344384,,,,
ASO481-504_MT_20210623,H5,Naïve_P41,Naïve_P41,29.6196039572246,22.2783600891883,7.341243868036301,,,0.08260021614386304,,,,,,
ASO481-504_MT_20210623,H6,Naïve_P41,Naïve_P41,29.2770312881599,22.1837130627454,7.0933182254144995,,,-0.16532542647793846,,,,,,
ASO481-504_MT_20210623,H7,Naïve_P41,Naïve_P41,29.0889240006909,21.6798879722826,7.409036028408298,,,0.15039237651586035,0.14695697772906158,0.9031534424775407,,,,
ASO481-504_MT_20210623,H8,Naïve_P41,Naïve_P41,29.0436498649836,21.5885613022434,7.455088562740201,,,0.19644491084776305,,,,,,
ASO481-504_MT_20210623,H9,Naïve_P41,Naïve_P41,28.9159067224339,21.5632294247179,7.352677297715999,,,0.09403364582356133,,,,,,
ASO481-504_MT_20210623,G10,Ionis1375651_10_P41,Ionis1375651_10uM_P41,36.7566168682213,26.5709272896042,10.185689578617101,,,2.927045926724663,3.008646192422995,0.12425310485059694,,,,
ASO481-504_MT_20210623,G11,Ionis1375651_10_P41,Ionis1375651_10uM_P41,37.0627574303682,26.5427979270317,10.519959503336501,,,3.2613158514440634,,,,,,
ASO481-504_MT_20210623,G12,Ionis1375651_10_P41,Ionis1375651_10uM_P41,36.4944310351928,26.3982105842001,10.096220450992696,,,2.8375767991002583,,,,,,
ASO481-504_MT_20210623,H10,Ionis1375651_10_P41,Ionis1375651_10uM_P41,38.0251180394288,28.3074441523715,9.717673887057298,,,2.4590302351648603,2.4590302351648603,0.18186877391425654,,,,
ASO481-504_MT_20210623,H11,Ionis1375651_10_P41,Ionis1375651_10uM_P41, ,28.2741420172378,,,,,,,,,,
ASO481-504_MT_20210623,H12,Ionis1375651_10_P41,Ionis1375651_10uM_P41, ,28.2298322302677,,,,,,,,,,
ASO481-504_MT_20210623,G13,Ionis1375651_3_P41,Ionis1375651_3uM_P41,35.8507276997581,25.7765776697302,10.074150030027901,,,2.8155063781354635,2.957834739603694,0.12870725297207983,,,,
ASO481-504_MT_20210623,G14,Ionis1375651_3_P41,Ionis1375651_3uM_P41,36.1341512996505,25.7652792241503,10.368872075500196,,,3.110228423607758,,,,,,
ASO481-504_MT_20210623,G15,Ionis1375651_3_P41,Ionis1375651_3uM_P41,35.9417875064146,25.7353744374543,10.206413068960298,,,2.9477694170678603,,,,,,
ASO481-504_MT_20210623,H13,Ionis1375651_3_P41,Ionis1375651_3uM_P41,35.9898560714639,26.2308943663306,9.758961705133299,,,2.5003180532408606,2.9878262033392944,0.12605924188366893,,,,
ASO481-504_MT_20210623,H14,Ionis1375651_3_P41,Ionis1375651_3uM_P41,36.7062384261028,26.2047186758618,10.501519750241002,,,3.242876098348564,,,,,,
ASO481-504_MT_20210623,H15,Ionis1375651_3_P41,Ionis1375651_3uM_P41,36.5863210963404,26.1073929860195,10.478928110320897,,,3.220284458428459,,,,,,
ASO481-504_MT_20210623,G16,Ionis676630_10_P41,Ionis676630_10uM_P41,34.0659289971781,26.0814796528868,7.984449344291299,,,0.7258056923988612,0.8478259734841286,0.5556213826640818,,,,
ASO481-504_MT_20210623,G17,Ionis676630_10_P41,Ionis676630_10uM_P41,34.2595922861572,26.0157784298413,8.2438138563159,,,0.9851702044234614,,,,,,
