Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1,dCt,Unnamed: 7,Avg,SD,ddCt,Avg_ddCt,Exp
ASO433-456_MT_20210622,G1,Naïve_P37,Naïve_P37,28.85419099,21.23106974,7.623121253,,,,-0.662423739,-0.617736189,1.534465479
ASO433-456_MT_20210622,G2,Naïve_P37,Naïve_P37,28.89942021,21.23588666,7.663533553,,,,-0.622011438,,
ASO433-456_MT_20210622,G3,Naïve_P37,Naïve_P37,28.96629849,21.24952689,7.7167716,,,,-0.568773391,,
ASO433-456_MT_20210622,G4,Naïve_P37,Naïve_P37,29.17550303,21.141413,8.034090034,,,,-0.251454957,-0.341493765,1.267067836
ASO433-456_MT_20210622,G5,Naïve_P37,Naïve_P37,29.12958479,21.22096621,7.908618581,,,,-0.37692641,,
ASO433-456_MT_20210622,G6,Naïve_P37,Naïve_P37,29.15453095,21.26508588,7.889445064,,,,-0.396099928,,
ASO433-456_MT_20210622,G7,Naïve_P37,Naïve_P37,28.73072766,20.74045627,7.990271388,,,,-0.295273604,-0.390558416,1.310900709
ASO433-456_MT_20210622,G8,Naïve_P37,Naïve_P37,28.61736111,20.78003578,7.837325331,,,,-0.448219661,,
ASO433-456_MT_20210622,G9,Naïve_P37,Naïve_P37,28.66481695,20.80745394,7.857363008,,,,-0.428181984,,
ASO433-456_MT_20210622,H1,Naïve_P37,Naïve_P37,28.89196576,21.35083287,7.541132897,,,,-0.744412095,-0.795515979,1.735698034
ASO433-456_MT_20210622,H2,Naïve_P37,Naïve_P37,28.86601123,21.39097838,7.475032849,,,,-0.810512143,,
ASO433-456_MT_20210622,H3,Naïve_P37,Naïve_P37,28.94939264,21.49547134,7.453921293,,,,-0.831623698,,
ASO433-456_MT_20210622,H4,Naïve_P37,Naïve_P37,29.0469281,21.20419925,7.842728849,,,,-0.442816143,-0.482232944,1.396904064
ASO433-456_MT_20210622,H5,Naïve_P37,Naïve_P37,29.06492386,21.1728975,7.892026354,,,,-0.393518638,,
ASO433-456_MT_20210622,H6,Naïve_P37,Naïve_P37,28.92582842,21.25064748,7.675180941,,,,-0.610364051,,
ASO433-456_MT_20210622,H7,Naïve_P37,Naïve_P37,29.08763507,21.24787422,7.839760851,,,,-0.445784141,-0.447031622,1.363232488
ASO433-456_MT_20210622,H8,Naïve_P37,Naïve_P37,29.10375279,21.23632929,7.867423503,,,,-0.418121489,,
ASO433-456_MT_20210622,H9,Naïve_P37,Naïve_P37,29.09651172,21.28815596,7.808355754,,,,-0.477189238,,
ASO433-456_MT_20210622,G10,Ionis1375651_10_P37,Ionis1375651_10uM_P37,37.33793821,26.92507054,10.41286766,,,,2.127322672,1.882930236,0.271132463
ASO433-456_MT_20210622,G11,Ionis1375651_10_P37,Ionis1375651_10uM_P37,36.65864653,26.95164543,9.707001095,,,,1.421456103,,
ASO433-456_MT_20210622,G12,Ionis1375651_10_P37,Ionis1375651_10uM_P37,37.33902301,26.95346608,10.38555692,,,,2.100011933,,
ASO433-456_MT_20210622,H10,Ionis1375651_10_P37,Ionis1375651_10uM_P37,40,27.64383288,12.35616712,,,,4.070622129,3.54465146,0.085694626
ASO433-456_MT_20210622,H11,Ionis1375651_10_P37,Ionis1375651_10uM_P37,40,27.64858558,12.35141442,,,,4.065869426,,
ASO433-456_MT_20210622,H12,Ionis1375651_10_P37,Ionis1375651_10uM_P37,38.49415713,27.71114932,10.78300782,,,,2.497462824,,
ASO433-456_MT_20210622,G13,Ionis1375651_3_P37,Ionis1375651_3uM_P37,34.58757194,25.00510692,9.582465017,,,,1.296920025,0.919594896,0.528657445
ASO433-456_MT_20210622,G14,Ionis1375651_3_P37,Ionis1375651_3uM_P37,34.13739125,25.02419713,9.113194117,,,,0.827649125,,
