Experiment Name,Position,SampleName,ASO Microsynth ID ,FAM,HEX,dCt,Avg,SD,ddCt,Exp,Avg.1
ASO1-24_total_20210611,G1,Naïve_P1,Naïve_P1,28.6083229417193,22.489410118685,6.1189128230343,6.132710773891538,0.1969906689187265,-0.013797950857237673,1.0096098920379701,1.0087263359649485
ASO1-24_total_20210611,G2,Naïve_P1,Naïve_P1,28.5298522035068,22.4811695838325,6.048682619674299,,,-0.08402815421723897,1.0599734685949624,
ASO1-24_total_20210611,G3,Naïve_P1,Naïve_P1,28.696378577226,22.5032684255185,6.193110151707501,,,0.06039937781596283,0.958998605287026,
ASO1-24_total_20210611,G4,Naïve_P1,Naïve_P1,28.6224424706816,22.5008532093488,6.121589261332801,,,-0.011121512558736946,1.0077386347185544,
ASO1-24_total_20210611,G5,Naïve_P1,Naïve_P1,28.4854622458365,22.4062169132425,6.079245332594002,,,-0.0534654412975355,1.0377546822781338,
ASO1-24_total_20210611,G6,Naïve_P1,Naïve_P1,28.5339211440245,22.4131588154693,6.120762328555202,,,-0.0119484453363361,1.0083164220939278,
ASO1-24_total_20210611,G7,Naïve_P1,Naïve_P1,29.0214088193441,23.1914919708892,5.8299168484549,,,-0.30279392543663786,1.2335309596594073,
ASO1-24_total_20210611,G8,Naïve_P1,Naïve_P1,28.9468662879429,23.1375618065692,5.809304481373701,,,-0.3234062925178369,1.251281417013132,
ASO1-24_total_20210611,G9,Naïve_P1,Naïve_P1,29.0903299647336,23.1547147830771,5.935615181656498,,,-0.1970955922350397,1.1463881423035172,
ASO1-24_total_20210611,H1,Naïve_P1,Naïve_P1,29.0270559049045,22.8469604930768,6.1800954118277005,,,0.047384637936162655,0.9676889962567713,
ASO1-24_total_20210611,H2,Naïve_P1,Naïve_P1,29.1445326320113,22.8236456976596,6.320886934351698,,,0.18817616046016017,0.8777146176118121,
ASO1-24_total_20210611,H3,Naïve_P1,Naïve_P1,29.0893891074636,22.8254434071928,6.263945700270799,,,0.13123492637926137,0.9130495582330235,
ASO1-24_total_20210611,H4,Naïve_P1,Naïve_P1,28.9098134757395,22.5373233760382,6.372490099701302,,,0.23977932580976447,0.8468748401713869,
ASO1-24_total_20210611,H5,Naïve_P1,Naïve_P1,29.0242658102759,22.5135456325508,6.510720177725098,,,0.37800940383355996,0.7694985942870141,
ASO1-24_total_20210611,H6,Naïve_P1,Naïve_P1,28.9678234227645,22.5086741793904,6.4591492433741,,,0.3264384694825617,0.7975028228160552,
ASO1-24_total_20210611,H7,Naïve_P1,Naïve_P1,28.6673516198023,22.6893345996214,5.9780170201809,,,-0.15469375371063787,1.113185293127891,
ASO1-24_total_20210611,H8,Naïve_P1,Naïve_P1,28.7531564444655,22.7100804560125,6.043075988453001,,,-0.08963478543853665,1.0641007739641253,
ASO1-24_total_20210611,H9,Naïve_P1,Naïve_P1,28.7047746610887,22.7015003353088,6.003274325779898,,,-0.12943644811163946,1.0938663269143658,
ASO1-24_total_20210611,G10,Ionis1375651_10_P1,Ionis1375651_10_P1,34.5201104564934,27.1188858994748,7.4012245570185975,,,1.2685137831270596,0.4150871618392823,0.4087941896817336
ASO1-24_total_20210611,G11,Ionis1375651_10_P1,Ionis1375651_10_P1,34.9034650208314,27.1726288865319,7.730836134299498,,,1.59812536040796,0.3303058988266229,
ASO1-24_total_20210611,G12,Ionis1375651_10_P1,Ionis1375651_10_P1,34.338726231519,27.1500927881819,7.188633443337096,,,1.0559226694455583,0.4809895083792956,
ASO1-24_total_20210611,H10,Ionis1375651_10_P1,Ionis1375651_10_P1,37.4529065858649,28.3805560880946,9.072350497770302,,,2.9396397238787637,0.13034076530780578,0.10316811749046237
ASO1-24_total_20210611,H11,Ionis1375651_10_P1,Ionis1375651_10_P1, ,28.3708900998531,,,,,,
ASO1-24_total_20210611,H12,Ionis1375651_10_P1,Ionis1375651_10_P1,38.2742980025668,28.4236444564708,9.850653546096002,,,3.717942772204464,0.07599546967311895,
ASO1-24_total_20210611,G13,Ionis1375651_3_P1,Ionis1375651_3_P1,33.6321814114118,24.5447282881656,9.087453123246199,,,2.954742349354661,0.12898343048329755,0.12200784607638322
ASO1-24_total_20210611,G14,Ionis1375651_3_P1,Ionis1375651_3_P1,33.8926237992425,24.5965962986998,9.2960275005427,,,3.1633167266511615,0.11162122373309835,
ASO1-24_total_20210611,G15,Ionis1375651_3_P1,Ionis1375651_3_P1,33.7865109511215,24.6586266698799,9.127884281241599,,,2.995173507350061,0.12541888401275375,
ASO1-24_total_20210611,H13,Ionis1375651_3_P1,Ionis1375651_3_P1,32.888963679348,26.0406509045635,6.848312774784503,,,0.7156020008929653,0.6089509786607751,0.5649871896546859
ASO1-24_total_20210611,H14,Ionis1375651_3_P1,Ionis1375651_3_P1,32.9412735043913,26.0018025047106,6.939470999680697,,,0.8067602257891595,0.5716641697216118,
ASO1-24_total_20210611,H15,Ionis1375651_3_P1,Ionis1375651_3_P1,33.0826666276472,25.9907681239543,7.091898503692899,,,0.9591877298013616,0.5143464205816708,
ASO1-24_total_20210611,G16,Ionis676630_10_P1,Ionis676630_10_P1,34.2936390422212,27.8241616254855,6.4694774167357,,,0.3367666428441618,0.7918139320938083,0.9399707888195362
ASO1-24_total_20210611,G17,Ionis676630_10_P1,Ionis676630_10_P1,34.0963325445244,27.8122776178682,6.2840549266562,,,0.15134415276466218,0.9004111624779085,
ASO1-24_total_20210611,G18,Ionis676630_10_P1,Ionis676630_10_P1,33.890721656669,27.9313779205043,5.959343736164701,,,-0.1733670377268366,1.127687271886892,
ASO1-24_total_20210611,H16,Ionis676630_10_P1,Ionis676630_10_P1,33.9670930749658,27.1420882632714,6.825004811694402,,,0.6922940378028644,0.618868999961098,0.5040189402143403
ASO1-24_total_20210611,H17,Ionis676630_10_P1,Ionis676630_10_P1,34.0124571609421,27.0219949784757,6.990462182466398,,,0.8577514085748605,0.5518119447915663,
ASO1-24_total_20210611,H18,Ionis676630_10_P1,Ionis676630_10_P1,34.7409566662298,27.057678908063,7.683277758166799,,,1.5505669842752612,0.3413758758903569,
ASO1-24_total_20210611,A1,ASO1_10,KQ972_10,36.1157442134103,28.0979068898467,8.017837323563601,,,1.885126549672063,0.2707200134440612,0.27551570679178444
ASO1-24_total_20210611,A2,ASO1_10,KQ972_10,36.1331750343843,28.022610264124,8.1105647702603,,,1.9778539963687622,0.25386721578869575,
ASO1-24_total_20210611,A3,ASO1_10,KQ972_10,35.9088717084121,28.0485897709963,7.860281937415799,,,1.727571163524261,0.30195989114259636,
ASO1-24_total_20210611,A4,ASO1_10,KQ972_10,34.6469459444263,27.190275856085,7.456670088341298,,,1.32395931444976,0.3994372226245879,0.2954694239317482
ASO1-24_total_20210611,A5,ASO1_10,KQ972_10,35.2963487927395,27.1533976691951,8.1429511235444,,,2.010240349652862,0.24823176557696025,
ASO1-24_total_20210611,A6,ASO1_10,KQ972_10,35.3572156602785,27.1580127671476,8.199202893130899,,,2.066492119239361,0.2387392835936963,
ASO1-24_total_20210611,A7,ASO1_3,KQ972_3,32.4094084952876,24.5608964917841,7.848512003503501,,,1.7158012296119631,0.30443344574408193,0.34114331206584486
ASO1-24_total_20210611,A8,ASO1_3,KQ972_3,32.1270231339877,24.5455779216861,7.581445212301599,,,1.448734438410061,0.3663426463347008,
ASO1-24_total_20210611,A9,ASO1_3,KQ972_3,32.2130312201764,24.5766451173561,7.636386102820296,,,1.5036753289287583,0.3526538441187518,
ASO1-24_total_20210611,A10,ASO1_3,KQ972_3,31.7803058366606,23.9968106514483,7.783495185212299,,,1.6507844113207613,0.31846695528520463,0.28639556393666177
ASO1-24_total_20210611,A11,ASO1_3,KQ972_3,32.0256387521148,24.0647617942285,7.960876957886303,,,1.8281661839947647,0.28162236518479083,
ASO1-24_total_20210611,A12,ASO1_3,KQ972_3,32.183183861216,24.1020393712357,8.0811444899803,,,1.9484337160887621,0.25909737133998983,
ASO1-24_total_20210611,B1,ASO2_10,KQ380_10,35.1005870514935,28.2269527918361,6.873634259657397,,,0.7409234857658591,0.5983562149700836,0.6101891852987856
ASO1-24_total_20210611,B2,ASO2_10,KQ380_10,35.2096776511134,28.2759176826953,6.9337599684181015,,,0.8010491945265636,0.573931636071774,
ASO1-24_total_20210611,B3,ASO2_10,KQ380_10,34.9611996018561,28.2252614523935,6.735938149462601,,,0.6032273755710635,0.6582797048544992,
ASO1-24_total_20210611,B4,ASO2_10,KQ380_10,33.0307394823398,26.2154883638761,6.815251118463696,,,0.6825403445721578,0.6230671908936043,0.5120018386917133
ASO1-24_total_20210611,B5,ASO2_10,KQ380_10,33.1305512800329,26.1818375903868,6.948713689646098,,,0.8160029157545603,0.5680134844102045,
ASO1-24_total_20210611,B6,ASO2_10,KQ380_10,33.8887648886016,26.2204080522663,7.668356836335299,,,1.5356460624437611,0.34492484077133123,
ASO1-24_total_20210611,B7,ASO2_3,KQ380_3,30.7001412384239,24.1048523859367,6.595288852487201,,,0.462578078595663,0.7256883030661821,0.7595353246922909
ASO1-24_total_20210611,B8,ASO2_3,KQ380_3,30.5867248563153,24.0965998329215,6.4901250233938015,,,0.35741424950226364,0.780562332978681,
ASO1-24_total_20210611,B9,ASO2_3,KQ380_3,30.6549190576899,24.1495449307984,6.5053741268915,,,0.3726633529999619,0.7723553380320097,
ASO1-24_total_20210611,B10,ASO2_3,KQ380_3,30.7266087408308,24.545841423143,6.180767317687803,,,0.04805654379626478,0.9672384197283556,0.9787985149453262
ASO1-24_total_20210611,B11,ASO2_3,KQ380_3,30.6624785137216,24.5750438180126,6.087434695709,,,-0.04527607818253809,1.0318806239887248,
ASO1-24_total_20210611,B12,ASO2_3,KQ380_3,30.8022057433672,24.5760415873047,6.226164156062499,,,0.09345338217096089,0.9372765011188982,
ASO1-24_total_20210611,C1,ASO3_10,KQ379_10,33.747828686655,26.2801533952635,7.467675291391497,,,1.3349645174999596,0.39640181752735737,0.45512515345896515
ASO1-24_total_20210611,C2,ASO3_10,KQ379_10,33.0982182319252,26.1943517950612,6.9038664368640035,,,0.7711556629724656,0.5859479161987005,
ASO1-24_total_20210611,C3,ASO3_10,KQ379_10,33.6824284785026,26.1652309064825,7.517197572020102,,,1.384486798128564,0.38302572665083773,
ASO1-24_total_20210611,C4,ASO3_10,KQ379_10,32.1895747289189,27.2242016087266,4.9653731201923,,,-1.1673376536992377,2.245968437423729,2.0776675356695584
ASO1-24_total_20210611,C5,ASO3_10,KQ379_10,32.1612904046571,27.1322877906061,5.029002614051002,,,-1.1037081598405356,2.149063571571086,
ASO1-24_total_20210611,C6,ASO3_10,KQ379_10,32.4216160996863,27.1670190138369,5.254597085849397,,,-0.8781136880421405,1.8379705980138603,
ASO1-24_total_20210611,C7,ASO3_3,KQ379_3,30.5403914334551,24.3757106445226,6.1646807889325,,,0.03197001504096253,0.9780838017198614,0.9421486367047592
ASO1-24_total_20210611,C8,ASO3_3,KQ379_3,30.607648252047,24.3376607430448,6.269987509002199,,,0.13727673511066119,0.9092338275110308,
ASO1-24_total_20210611,C9,ASO3_3,KQ379_3,30.6461435643462,24.4228269328434,6.223316631502801,,,0.09060585761126294,0.9391282808833856,
ASO1-24_total_20210611,C10,ASO3_3,KQ379_3,30.5798035917271,24.3271044478351,6.2526991438919985,,,0.1199883700004607,0.9201950685647616,0.9325171273029701
ASO1-24_total_20210611,C11,ASO3_3,KQ379_3,30.6869486104947,24.2958259084065,6.3911227020882,,,0.25841192819666237,0.8360076631830249,
ASO1-24_total_20210611,C12,ASO3_3,KQ379_3,30.3710986473656,24.2968410464783,6.0742576008873,,,-0.05845317300423769,1.0413486501611238,
ASO1-24_total_20210611,D1,ASO4_10,KQ378_10,34.7992624707483,27.062977020633,7.736285450115304,,,1.603574676223766,0.3290606279727152,0.28445924103036496
ASO1-24_total_20210611,D2,ASO4_10,KQ378_10,34.8511682852249,27.0054000979442,7.845768187280701,,,1.713057413389163,0.30501298905132274,
ASO1-24_total_20210611,D3,ASO4_10,KQ378_10,35.344146846119,27.0224408014224,8.321706044696604,,,2.1889952708050666,0.21930410606705694,
ASO1-24_total_20210611,D4,ASO4_10,KQ378_10,32.0586300442744,25.1733210878136,6.8853089564608005,,,0.7525981825692627,0.5935336859921015,0.5765980377433407
ASO1-24_total_20210611,D5,ASO4_10,KQ378_10,31.9715510632434,25.1892265831016,6.782324480141799,,,0.6496137062502614,0.6374509736785529,
ASO1-24_total_20210611,D6,ASO4_10,KQ378_10,32.3979729117741,25.2618228507329,7.136150061041196,,,1.003439287149658,0.4988094535593676,
ASO1-24_total_20210611,D7,ASO4_3,KQ378_3,30.7616203692367,24.5715921704043,6.1900281988323975,,,0.057317424940859674,0.9610494529073389,0.8995255860969107
ASO1-24_total_20210611,D8,ASO4_3,KQ378_3,30.9391236401181,24.5476653937757,6.391458246342403,,,0.2587474724508647,0.8358132458315932,
ASO1-24_total_20210611,D9,ASO4_3,KQ378_3,30.8177330041423,24.5357641516965,6.2819688524458,,,0.14925807855426232,0.9017140595518,
ASO1-24_total_20210611,D10,ASO4_3,KQ378_3,30.8021807721136,23.8733708189973,6.9288099531163,,,0.796099179224762,0.5759042288168489,0.5950753184935733
