Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1,dCt,Avg,SD,ddCt,Avg_ddCt,Exp,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
ASO289-312_MT_20210617,G1,Naïve_P25,Naïve_P25,29.2096495196743,21.6158085652392,7.593840954435102,7.80637314685439,0.142984528108778,-0.212532192419288,-0.2531659950471896,1.1918196962665295,,,,
ASO289-312_MT_20210617,G2,Naïve_P25,Naïve_P25,29.1047388409524,21.643564542886,7.4611742980664,,,-0.34519884878799,,,,,,
ASO289-312_MT_20210617,G3,Naïve_P25,Naïve_P25,29.2762023395246,21.6715961366045,7.604606202920099,,,-0.20176694393429084,,,,,,
ASO289-312_MT_20210617,G4,Naïve_P25,Naïve_P25,29.4567189625331,21.6244444576853,7.832274504847799,,,0.025901357993409313,0.02231010439241003,0.984654770587965,,,,
ASO289-312_MT_20210617,G5,Naïve_P25,Naïve_P25,29.4749780041897,21.6424600651003,7.832517939089403,,,0.026144792235013092,,,,,,
ASO289-312_MT_20210617,G6,Naïve_P25,Naïve_P25,29.5182654668393,21.6970081570361,7.821257309803197,,,0.014884162948807678,,,,,,
ASO289-312_MT_20210617,G7,Naïve_P25,Naïve_P25,29.816777368949,21.8931115608995,7.923665808049503,,,0.11729266119511284,0.06012539326414501,0.9591807475602787,,,,
ASO289-312_MT_20210617,G8,Naïve_P25,Naïve_P25,29.6836104409447,21.816491189281,7.867119251663702,,,0.06074610480931231,,,,,,
ASO289-312_MT_20210617,G9,Naïve_P25,Naïve_P25,29.6602206473063,21.8515100866639,7.8087105606424,,,0.00233741378800989,,,,,,
ASO289-312_MT_20210617,H1,Naïve_P25,Naïve_P25,29.5014860067869,21.8058208165326,7.695665190254303,,,-0.11070795660008681,-0.05819380197638827,1.041161450937218,,,,
ASO289-312_MT_20210617,H2,Naïve_P25,Naïve_P25,29.6109967154946,21.8498618961118,7.7611348193828,,,-0.045238327471589734,,,,,,
ASO289-312_MT_20210617,H3,Naïve_P25,Naïve_P25,29.6736692306512,21.8859312056543,7.7877380249969015,,,-0.01863512185748828,,,,,,
ASO289-312_MT_20210617,H4,Naïve_P25,Naïve_P25,30.1105814142159,22.0605936969155,8.0499877173004,,,0.24361457044601043,0.16902237869821088,0.8894451965957553,,,,
ASO289-312_MT_20210617,H5,Naïve_P25,Naïve_P25,30.0482767667594,22.0691747910594,7.979101975700001,,,0.17272882884561103,,,,,,
ASO289-312_MT_20210617,H6,Naïve_P25,Naïve_P25,30.0109234510919,22.1138265674345,7.897096883657401,,,0.09072373680301116,,,,,,
ASO289-312_MT_20210617,H7,Naïve_P25,Naïve_P25,29.8501612577337,21.9702532902846,7.8799079674491,,,0.07353482059470995,0.059901920668810206,0.9593293355897824,,,,
ASO289-312_MT_20210617,H8,Naïve_P25,Naïve_P25,29.8774165410693,22.0041924138389,7.873224127230401,,,0.06685098037601112,,,,,,
ASO289-312_MT_20210617,H9,Naïve_P25,Naïve_P25,29.924134117506,22.0784410096159,7.845693107890099,,,0.03931996103570956,,,,,,
ASO289-312_MT_20210617,G10,Ionis1375651_10_P25,Ionis1375651_10uM_P25,36.5185598359762,27.3244177491553,9.194142086820897,,,1.3877689399665067,1.070329346922174,0.4762102745257066,,,,
ASO289-312_MT_20210617,G11,Ionis1375651_10_P25,Ionis1375651_10uM_P25,35.8891129636628,27.3150499604495,8.574063003213297,,,0.7676898563589072,,,,,,
ASO289-312_MT_20210617,G12,Ionis1375651_10_P25,Ionis1375651_10uM_P25,36.1736974993448,27.3117951080493,8.861902391295498,,,1.0555292444411082,,,,,,
ASO289-312_MT_20210617,H10,Ionis1375651_10_P25,Ionis1375651_10uM_P25,35.9901286122109,27.5192006907704,8.470927921440502,,,0.6645547745861125,1.1906292902203797,0.4381117186982092,,,,
ASO289-312_MT_20210617,H11,Ionis1375651_10_P25,Ionis1375651_10uM_P25,37.016217896237,27.5615349821406,9.454682914096402,,,1.6483097672420124,,,,,,
ASO289-312_MT_20210617,H12,Ionis1375651_10_P25,Ionis1375651_10uM_P25,36.6739262760366,27.6085298003492,9.065396475687404,,,1.2590233288330142,,,,,,
ASO289-312_MT_20210617,G13,Ionis1375651_3_P25,Ionis1375651_3uM_P25,34.8910467209867,24.924300312445,9.966746408541702,,,2.1603732616873126,2.1420237244349125,0.22656175883565402,,,,
ASO289-312_MT_20210617,G14,Ionis1375651_3_P25,Ionis1375651_3uM_P25,34.997890314209,24.9335605615255,10.064329752683502,,,2.2579566058291123,,,,,,
ASO289-312_MT_20210617,G15,Ionis1375651_3_P25,Ionis1375651_3uM_P25,34.7778435885602,24.9637291359175,9.814114452642702,,,2.0077413057883122,,,,,,
ASO289-312_MT_20210617,H13,Ionis1375651_3_P25,Ionis1375651_3uM_P25,36.5316144457366,26.8831972719288,9.6484171738078,,,1.8420440269534106,1.5964791773029765,0.3306830085494008,,,,
ASO289-312_MT_20210617,H14,Ionis1375651_3_P25,Ionis1375651_3uM_P25,36.5824958912204,26.9581288267397,9.624367064480698,,,1.8179939176263078,,,,,,
ASO289-312_MT_20210617,H15,Ionis1375651_3_P25,Ionis1375651_3uM_P25,35.9507689190384,27.0149961848548,8.935772734183601,,,1.1293995873292113,,,,,,
ASO289-312_MT_20210617,G16,Ionis676630_10_P25,Ionis676630_10uM_P25,34.6821956331638,26.5566088149975,8.125586818166301,,,0.31921367131191136,0.4364382300162773,0.7389567176012297,,,,
