Unnamed: 0,10uM,Unnamed: 2,3uM,Unnamed: 4,Unnamed: 5,Unnamed: 6,10uM.1,Unnamed: 8,3uM.1,Unnamed: 10,Unnamed: 11,Unnamed: 12,10uM.2,Unnamed: 14,3uM.2,Unnamed: 16,Unnamed: 17,Unnamed: 18
ID,MT,,,,,,Total,,,,,,WT,,,,,
Naïve_P33,1.2760773430672288,0.9984773287910024,1.1402953380695153,0.8228656715262636,0.9255402725033658,0.9037393234711295,1.3677211985416153,1.0624529191579786,1.1491918896356075,0.7688591154050338,0.88095448586941,0.8840970397699659,1.3776234312866713,1.051105702887618,1.0544574464315892,0.8198084155127437,0.912792653278587,0.8752044568144537
Ionis1375651_10uM_P33,0.6296128159210473,0.32401159338361196,,,,,0.5952509912627861,0.12,,,,,0.7761846014345318,0.34735378169623243,,,,
Ionis1375651_3uM_P33,,,0.7190449616486841,0.20952238477553337,,,,,0.6870643952244758,0.17512549565526908,,,,,0.795847075258854,0.11612431342324614,,
Ionis676630_10uM_P33,1.1681639975271434,0.9138809198095073,,,,,0.6837319745167656,0.5722860843728256,,,,,1.132589437446428,1.3280882809125307,,,,
KQJM130_L19_5-10-4_10uM_P33,0.6766965591458247,0.8557964107064244,,,,,0.34974823236969016,0.4857636967478435,,,,,0.731557243895045,0.8158903801352998,,,,
KQJM130_L19_5-10-4_3uM_P33,,,1.260667928156636,0.7224614293243478,,,,,0.9208615345217754,0.45433237724721315,,,,,1.107686588456468,0.7118254615051072,,
KQJM131_L18_4-10-4_10uM_P33,0.5643594722008353,0.48227502905607084,,,,,0.3957964434436392,0.3880766605730001,,,,,0.5880565193184555,0.5470135500946455,,,,
KQJM131_L18_4-10-4_3uM_P33,,,0.6536184330945258,2.305284799708228,,,,,0.43780144619946354,2.002691683483129,,,,,0.6521056410037227,2.3899615461436143,,
KQJM132_L19_5-10-4_10uM_P33,0.5502020112971246,0.8680947781186314,,,,,0.35936616880683225,0.6891347992313285,,,,,0.570378887154308,0.8762631405084953,,,,
KQJM132_L19_5-10-4_3uM_P33,,,0.9516781999298181,2.275870957572393,,,,,0.8741720016147928,2.3059491215233057,,,,,1.0638421906453432,2.2041616176814602,,
KQJM133_L18_4-10-4_10uM_P33,0.5464989642615574,0.7822177440639293,,,,,0.3355435684091326,0.524576118050018,,,,,0.5840151430040085,0.831986687140784,,,,
KQJM133_L18_4-10-4_3uM_P33,,,0.7874756614319139,0.859464880650642,,,,,0.621446311174963,0.6444584080892797,,,,,0.8480494449851828,0.87730569045045,,
KQJM134_L18_5-08-5_10uM_P33,0.6055843142382193,0.9502031733383545,,,,,0.42294163222741743,0.6267866149180306,,,,,0.6673154057817092,0.9260167624100402,,,,
