ASO Short Description ,Exp,Unnamed: 2,Unnamed: 3,ID,N1,N2,N3,N4,N5,N6
KQJM145_L18_4-10-4_10uM_P34,0.3670419334071891,,,,,,,,,
KQJM145_L18_4-10-4_10uM_P34,,,,,,,,,,
KQJM145_L18_4-10-4_10uM_P34,,,,,,,,,,
KQJM145_L18_4-10-4_10uM_P34,0.4128088731010506,,,,,,,,,
KQJM145_L18_4-10-4_10uM_P34,,,,,,,,,,
KQJM145_L18_4-10-4_10uM_P34,,,,,,,,,,
KQJM145_L18_4-10-4_3uM_P34,0.4666697624918677,,,,,,,,,
KQJM145_L18_4-10-4_3uM_P34,,,,,,,,,,
KQJM145_L18_4-10-4_3uM_P34,,,,,,,,,,
KQJM145_L18_4-10-4_3uM_P34,0.4938456190927316,,,,,,,,,
KQJM145_L18_4-10-4_3uM_P34,,,,,,,,,,
KQJM145_L18_4-10-4_3uM_P34,,,,,,,,,,
KQJM146_L18_5-08-5_10uM_P34,0.2966044133188239,,,,,,,,,
KQJM146_L18_5-08-5_10uM_P34,,,,,,,,,,
KQJM146_L18_5-08-5_10uM_P34,,,,,,,,,,
KQJM146_L18_5-08-5_10uM_P34,1.0575427189649698,,,,,,,,,
KQJM146_L18_5-08-5_10uM_P34,,,,,,,,,,
KQJM146_L18_5-08-5_10uM_P34,,,,,,,,,,
KQJM146_L18_5-08-5_3uM_P34,0.5073537129632518,,,,,,,,,
KQJM146_L18_5-08-5_3uM_P34,,,,,,,,,,
KQJM146_L18_5-08-5_3uM_P34,,,,,,,,,,
KQJM146_L18_5-08-5_3uM_P34,0.5518805745978754,,,,,,,,,
KQJM146_L18_5-08-5_3uM_P34,,,,,,,,,,
KQJM146_L18_5-08-5_3uM_P34,,,,,,,,,,
KQJM147_L17_4-10-3_10uM_P34,1.095593406415713,,,,,,,,,
KQJM147_L17_4-10-3_10uM_P34,,,,,,,,,,
KQJM147_L17_4-10-3_10uM_P34,,,,,,,,,,
KQJM147_L17_4-10-3_10uM_P34,0.7252531177063912,,,,,,,,,
KQJM147_L17_4-10-3_10uM_P34,,,,,,,,,,
KQJM147_L17_4-10-3_10uM_P34,,,,,,,,,,
KQJM147_L17_4-10-3_3uM_P34,1.8987177618339768,,,,,,,,,
KQJM147_L17_4-10-3_3uM_P34,,,,,,,,,,
KQJM147_L17_4-10-3_3uM_P34,,,,,,,,,,
KQJM147_L17_4-10-3_3uM_P34,0.5584700026804519,,,,,,,,,
KQJM147_L17_4-10-3_3uM_P34,,,,,,,,,,
KQJM147_L17_4-10-3_3uM_P34,,,,,,,,,,
KQJM148_L17_5-08-4_10uM_P34,0.2647712212686146,,,,,,,,,
KQJM148_L17_5-08-4_10uM_P34,,,,,,,,,,
KQJM148_L17_5-08-4_10uM_P34,,,,,,,,,,
KQJM148_L17_5-08-4_10uM_P34,0.27434134863927806,,,,,,,,,
KQJM148_L17_5-08-4_10uM_P34,,,,,,,,,,
KQJM148_L17_5-08-4_10uM_P34,,,,,,,,,,
KQJM148_L17_5-08-4_3uM_P34,0.6800077251695639,,,,,,,,,
KQJM148_L17_5-08-4_3uM_P34,,,,,,,,,,
KQJM148_L17_5-08-4_3uM_P34,,,,,,,,,,
KQJM148_L17_5-08-4_3uM_P34,0.5005419355100353,,,,,,,,,
KQJM148_L17_5-08-4_3uM_P34,,,,,,,,,,
KQJM148_L17_5-08-4_3uM_P34,,,,,,,,,,
KQJM150_L20_6-08-6_10uM_P34,0.3016102922124329,,,,,,,,,
KQJM150_L20_6-08-6_10uM_P34,,,,,,,,,,
KQJM150_L20_6-08-6_10uM_P34,,,,,,,,,,
KQJM150_L20_6-08-6_10uM_P34,0.1956558880650424,,,,,,,,,
KQJM150_L20_6-08-6_10uM_P34,,,,,,,,,,
KQJM150_L20_6-08-6_10uM_P34,,,,,,,,,,
KQJM150_L20_6-08-6_3uM_P34,0.3699583238743597,,,,,,,,,
KQJM150_L20_6-08-6_3uM_P34,,,,,,,,,,
KQJM150_L20_6-08-6_3uM_P34,,,,,,,,,,
KQJM150_L20_6-08-6_3uM_P34,1.2210456983640072,,,,,,,,,
KQJM150_L20_6-08-6_3uM_P34,,,,,,,,,,
KQJM150_L20_6-08-6_3uM_P34,,,,,,,,,,
KQJM151_L18_5-08-5_10uM_P34,0.21938034072054047,,,,,,,,,
KQJM151_L18_5-08-5_10uM_P34,,,,,,,,,,
KQJM151_L18_5-08-5_10uM_P34,,,,,,,,,,
KQJM151_L18_5-08-5_10uM_P34,0.2429995814623306,,,,,,,,,
KQJM151_L18_5-08-5_10uM_P34,,,,,,,,,,
KQJM151_L18_5-08-5_10uM_P34,,,,,,,,,,
KQJM151_L18_5-08-5_3uM_P34,1.0280820270478062,,,,,,,,,
KQJM151_L18_5-08-5_3uM_P34,,,,,,,,,,
KQJM151_L18_5-08-5_3uM_P34,,,,,,,,,,
KQJM151_L18_5-08-5_3uM_P34,1.0905708412707245,,,,,,,,,
KQJM151_L18_5-08-5_3uM_P34,,,,,,,,,,
KQJM151_L18_5-08-5_3uM_P34,,,,,,,,,,
KQJM152_L19_6-08-5_10uM_P34,0.40067933695655633,,,,,,,,,
KQJM152_L19_6-08-5_10uM_P34,,,,,,,,,,
KQJM152_L19_6-08-5_10uM_P34,,,,,,,,,,
KQJM152_L19_6-08-5_10uM_P34,0.36540786012937937,,,,,,,,,
KQJM152_L19_6-08-5_10uM_P34,,,,,,,,,,
KQJM152_L19_6-08-5_10uM_P34,,,,,,,,,,
KQJM152_L19_6-08-5_3uM_P34,0.48457587623785436,,,,,,,,,
KQJM152_L19_6-08-5_3uM_P34,,,,,,,,,,
KQJM152_L19_6-08-5_3uM_P34,,,,,,,,,,
KQJM152_L19_6-08-5_3uM_P34,1.8544040376759998,,,,,,,,,
KQJM152_L19_6-08-5_3uM_P34,,,,,,,,,,
KQJM152_L19_6-08-5_3uM_P34,,,,,,,,,,
KQJM153_L18_5-08-5_10uM_P34,0.2795926741467639,,,,,,,,,
KQJM153_L18_5-08-5_10uM_P34,,,,,,,,,,
KQJM153_L18_5-08-5_10uM_P34,,,,,,,,,,
KQJM153_L18_5-08-5_10uM_P34,0.24013912895707268,,,,,,,,,
KQJM153_L18_5-08-5_10uM_P34,,,,,,,,,,
KQJM153_L18_5-08-5_10uM_P34,,,,,,,,,,
KQJM153_L18_5-08-5_3uM_P34,0.5298799086802022,,,,,,,,,
KQJM153_L18_5-08-5_3uM_P34,,,,,,,,,,
KQJM153_L18_5-08-5_3uM_P34,,,,,,,,,,
KQJM153_L18_5-08-5_3uM_P34,0.5676919534631779,,,,,,,,,
KQJM153_L18_5-08-5_3uM_P34,,,,,,,,,,
KQJM153_L18_5-08-5_3uM_P34,,,,,,,,,,
KQJM154_L17_5-08-4_10uM_P34,0.34390125615766415,,,,,,,,,
KQJM154_L17_5-08-4_10uM_P34,,,,,,,,,,
KQJM154_L17_5-08-4_10uM_P34,,,,,,,,,,
KQJM154_L17_5-08-4_10uM_P34,0.38959881390471973,,,,,,,,,
KQJM154_L17_5-08-4_10uM_P34,,,,,,,,,,
KQJM154_L17_5-08-4_10uM_P34,,,,,,,,,,
KQJM154_L17_5-08-4_3uM_P34,0.5323444642525063,,,,,,,,,
KQJM154_L17_5-08-4_3uM_P34,,,,,,,,,,
KQJM154_L17_5-08-4_3uM_P34,,,,,,,,,,
KQJM154_L17_5-08-4_3uM_P34,0.621644935530064,,,,,,,,,
KQJM154_L17_5-08-4_3uM_P34,,,,,,,,,,
KQJM154_L17_5-08-4_3uM_P34,,,,,,,,,,
