Unnamed: 0,10uM,Unnamed: 2,3uM,Unnamed: 4,Unnamed: 5,Unnamed: 6,10uM.1,Unnamed: 8,3uM.1,Unnamed: 10,Unnamed: 11,Unnamed: 12,10uM.2,Unnamed: 14,3uM.2,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
ID,MT,,,,,,Total,,,,,,WT,,,,,,
Naïve_P25,1.1918196962665295,0.984654770587965,0.9591807475602787,1.041161450937218,0.8894451965957553,0.9593293355897824,1.1183303874292798,1.0643361322022973,1.0371140120124598,0.9773978940175501,0.8533564527703719,0.9712313463331349,1.1081242294873315,0.9995927533496243,1.0134415547468596,0.9801514902151895,0.9103400014499837,0.9983731919733324,
Ionis1375651_10uM_P25,0.48,0.4381117186982092,,,,,0.20125729884450577,0.11254589133272183,,,,,0.3158188814639258,0.31167941979872854,,,,,
Ionis1375651_3uM_P25,,,0.22656175883565402,0.3306830085494008,,,,,0.16281917062967668,0.31044563099189926,,,,,0.22044782110876807,0.29273664538936006,,,
Ionis676630_10uM_P25,0.7389567176012297,0.8830122730150332,,,,,0.49333212600954546,0.7812957733797282,,,,,0.5949441128931183,0.965816511900337,,,,,
KQJM028_L18_4-10-4_10uM_P25,0.6838190096204794,0.8081810342924594,,,,,0.41648898618333374,0.5060950114697594,,,,,0.7020972687708242,0.7734403596899077,,,,,
KQJM028_L18_4-10-4_3uM_P25,,,1.3436198175833851,1.7039850588836818,,,,,1.1230614954012965,1.2622292645797204,,,,,1.3411941835076195,1.7219131574672568,,,
KQJM029_L18_5-08-5_10uM_P25,0.6680234098800575,1.046911867772941,,,,,0.5423688060933433,0.9660693152038806,,,,,0.7247123284048923,1.0317891553557255,,,,,
KQJM029_L18_5-08-5_3uM_P25,,,1.1114971923460657,1.0364150830968852,,,,,1.029912618657855,0.9208097614945665,,,,,1.2378023169921022,1.0810687105186447,,,
KQJM031_L20_6-08-6_10uM_P25,0.8555454091729547,1.5524320570416612,,,,,0.5781593267632414,1.2708832298974675,,,,,0.9623700460093413,1.6253378473291884,,,,,
KQJM031_L20_6-08-6_3uM_P25,,,1.2661774839206172,1.0044665345255095,,,,,1.151614875472808,0.917291419762248,,,,,1.3245733561803332,1.1233798219813893,,,
KQJM032_L21_6-10-5_10uM_P25,0.8774847194144031,1.0178976951806862,,,,,0.649807371124313,0.8545135744729166,,,,,0.983926344254389,1.0158741311735657,,,,,
KQJM032_L21_6-10-5_3uM_P25,,,2.0256801580919617,1.4940979644989767,,,,,1.800548008585964,1.4355421401077122,,,,,2.1744340550555985,1.6478688201315521,,,
KQJM033_L21_7-08-6_10uM_P25,0.8499445991465046,1.4166345386034582,,,,,0.5013189209349984,0.981243710514294,,,,,0.7892447278811864,1.3833290232816635,,,,,
KQJM033_L21_7-08-6_3uM_P25,,,0.7606060903473696,1.2154226758399465,,,,,0.5538613318891457,0.9736168519018229,,,,,0.7915562058155831,1.280904548347969,,,
KQJM034_L22_6-10-6_10uM_P25,1.9872704767590912,1.0673907570896772,,,,,1.6445286584862495,0.8105065514314143,,,,,2.1343244186044843,1.1830094506496651,,,,,
KQJM034_L22_6-10-6_3uM_P25,,,0.8228665101074188,1.7751379443875832,,,,,0.5498696375669203,1.4625373519743479,,,,,0.8753664528717897,1.8636235865455162,,,
KQJM035_L22_7-08-7_10uM_P25,1.0119976630586665,1.4948603343573938,,,,,0.7421787756423318,0.9757126905840227,,,,,1.2118474220830295,1.5610213461496618,,,,,
KQJM035_L22_7-08-7_3uM_P25,,,1.7278720829460585,0.8854858659488053,,,,,2.316875291632787,0.6137707232926604,,,,,1.8383265467546908,0.9081611042768484,,,
KQJM036_L19_5-10-4_10uM_P25,0.8728787579126926,1.7627006710483384,,,,,0.6253718156604448,1.284556119143386,,,,,0.8975793602882852,1.8264138005174961,,,,,
KQJM036_L19_5-10-4_3uM_P25,,,0.7521989041014508,0.8771439717450558,,,,,0.524436931897569,0.7376712757413663,,,,,0.6759106236961976,0.9613975057488929,,,
KQJM037_L19_6-08-5_10uM_P25,0.7006054244827816,0.9482168313739567,,,,,0.4717258346583852,0.8090536884161114,,,,,0.6989534011323855,1.0259858019827237,,,,,
KQJM037_L19_6-08-5_3uM_P25,,,1.1439579192445255,0.6317687229325538,,,,,0.9398028576199696,0.4682438292078497,,,,,1.1844787878913867,0.6351344370966279,,,
KQJM039_L20_6-08-6_10uM_P25,1.8435085192617757,3.493120764106413,,,,,1.6705188549304988,2.919598549610771,,,,,2.1427722665868805,3.4544950488244517,,,,,
KQJM039_L20_6-08-6_3uM_P25,,,0.6988495206667097,2.163419691579002,,,,,0.5415126153424477,1.7696170824224944,,,,,0.7113162353047306,2.374668661540226,,,
KQJM040_L21_6-10-5_10uM_P25,0.9067182190403261,0.813900451910313,,,,,0.7537639784673535,0.5545169976217684,,,,,1.159653336532234,0.8967629712208768,,,,,
KQJM040_L21_6-10-5_3uM_P25,,,0.6486398450609105,0.8229955459970042,,,,,0.4395465827148995,0.5913494315681538,,,,,0.6759754501422317,0.9376189805632273,,,
KQJM041_L21_7-08-6_10uM_P25,1.3159046501753646,0.6714814298693069,,,,,0.9479268492299389,0.47560451922355007,,,,,1.2384362200850851,0.6564217170753167,,,,,
KQJM041_L21_7-08-6_3uM_P25,,,0.7710431532159697,0.6786117503567951,,,,,0.6310824136733675,0.4685540450603192,,,,,0.7641781820142728,0.717192217129304,,,
,,,,,,,,,,,,,,,,,,,
,10uM,,3uM,,,,10uM,,3uM,,,,10uM,,3uM,,,,
ID,MT,,,,,,Total,,,,,,WT,,,,,,
Naïve_P26,0.9416502420501989,1.2285799479154094,0.8214497884784695,0.8445834231931634,1.1122824159236566,1.1201296882021765,0.9766048272146459,1.3188668610924519,0.8182733234012339,0.8083660079516569,1.1166579214802033,1.0511231239725731,0.9612832803379964,1.280845442273652,0.7945644516728296,0.8371019990170344,1.103840687948506,1.1062110076365013,
Ionis1375651_10uM_P26,0.8638403451661775,0.37316724420668923,,,,,0.3292780053057507,0.21223440986076406,,,,,0.9175643668667997,0.409995029553364,,,,,
Ionis1375651_3uM_P26,,,1.331442640250956,0.7747574236004913,,,,,1.0403215685025327,0.5454098386743029,,,,,1.3589815030126766,0.8614181993104129,,,
Ionis676630_10uM_P26,3.4982257075932837,1.526641484581424,,,,,1.9534331975157864,0.8697354030730674,,,,,3.8377139450313336,1.2191209799579936,,,,,
KQJM043_L23_7-10-6_10uM_P26,0.5247476587854499,3.917987365532093,,,,,0.5833960417293402,2.338459962116089,,,,,0.5970330483261395,3.471758047459867,,,,,
KQJM043_L23_7-10-6_3uM_P26,,,2.152087417862115,0.5487007684033586,,,,,1.857466941484849,0.3814282565100514,,,,,2.081157373267621,0.5021917606458595,,,
KQJM044_L20_6-08-6_10uM_P26,0.3238894618596894,3.7097144248548,,,,,0.2562292397249233,3.123420784599816,,,,,0.33844231136235825,3.7876847352815552,,,,,
KQJM044_L20_6-08-6_3uM_P26,,,1.7577750731177932,1.4284212122188555,,,,,1.3965382077304178,1.0446557135894672,,,,,1.6212485072237104,1.2579416059576782,,,
KQJM045_L21_6-10-5_10uM_P26,0.3025766945681533,5.553530441775638,,,,,0.17479341226283135,4.294548620395735,,,,,0.34239044129927054,5.541072606682224,,,,,
KQJM045_L21_6-10-5_3uM_P26,,,1.925282150048035,2.202282984644607,,,,,1.6033358407132987,1.624569584970026,,,,,1.5699541256117309,1.9489520829118436,,,
KQJM046_L21_7-08-6_10uM_P26,0.36055790272840155,4.381144964392809,,,,,0.2425788820653898,3.9067370482191297,,,,,0.3629777736882911,4.309945442231296,,,,,
KQJM046_L21_7-08-6_3uM_P26,,,1.6538287658838136,1.4398247403730744,,,,,1.2949148344473502,1.0257653067114458,,,,,1.5846714925989762,1.2978953516299976,,,
KQJM047_L20_6-08-6_10uM_P26,0.2969279500971438,2.812096468023474,,,,,0.19844555929787694,1.5526868077890443,,,,,0.319546635084473,2.6494658745738247,,,,,
KQJM047_L20_6-08-6_3uM_P26,,,1.760836967826888,2.253827357121617,,,,,1.483242258031801,1.7531003417757458,,,,,1.787301957133104,2.0653624106063013,,,
KQJM048_L21_6-10-5_10uM_P26,0.4393677222731764,2.5169099978959575,,,,,0.20319792298422792,1.6667159457229783,,,,,0.5115989268694451,2.950352655470496,,,,,
KQJM048_L21_6-10-5_3uM_P26,,,3.151586916478838,1.257934307222276,,,,,1.8077200247993892,0.747583345978413,,,,,2.9138259027845033,1.2879350913291965,,,
KQJM049_L18_5-08-5_10uM_P26,0.7058472072935479,1.1970640278605325,,,,,0.4648624133251473,0.8530663626411127,,,,,0.7344740027997523,1.26124471173758,,,,,
KQJM049_L18_5-08-5_3uM_P26,,,1.6466896191552047,2.2287676733497213,,,,,2.114011541674965,1.5618462464323957,,,,,1.456546842227154,2.2613896538061202,,,
KQJM050_L19_5-10-4_10uM_P26,2.629469773903236,2.3586765081677927,,,,,2.0720078887018794,1.6963561195302723,,,,,2.784413032070933,2.5011859591424117,,,,,
KQJM050_L19_5-10-4_3uM_P26,,,0.4710782323437843,1.9516881758937463,,,,,0.33151326294009537,1.6529454635720773,,,,,0.48860024627033966,2.028541857331775,,,
KQJM051_L19_6-08-5_10uM_P26,1.5737328555835386,1.5755688882277579,,,,,1.214471177111813,1.2577119106770622,,,,,1.5844084914169645,1.6335230946470123,,,,,
KQJM051_L19_6-08-5_3uM_P26,,,1.2870970080581428,2.1426952626435614,,,,,1.0410113106809142,1.620776554621817,,,,,1.1800490883154071,2.1329605764539203,,,
KQJM181_L17_4-10-3_10uM_P26,2.380031299661658,2.02124318116588,,,,,2.7442584325739245,2.1096182942489645,,,,,1.0464178757425997,1.7753210525412315,,,,,
KQJM181_L17_4-10-3_3uM_P26,,,1.5450532953781306,0.9454853241619211,,,,,1.029385908253041,0.5134785824460572,,,,,1.4045207982713888,0.888854742878475,,,
KQJM182_L18_4-10-4_10uM_P26,1.4817906221664396,2.7091229533754433,,,,,1.4725373983800645,1.8379547980939464,,,,,1.9629699565345093,0.9209072650564896,,,,,
KQJM182_L18_4-10-4_3uM_P26,,,1.740980201824247,1.6844449999912403,,,,,1.296381130208611,1.3712752681136693,,,,,1.6628308956780973,1.6315057175867373,,,
KQJM183_L18_4-10-4_10uM_P26,2.260375004395055,1.797470107702577,,,,,2.5646170490725355,2.0367674992537785,,,,,2.191286681888571,1.6485281505143468,,,,,
KQJM183_L18_4-10-4_3uM_P26,,,1.747241688705732,0.979069345687538,,,,,2.0426630223426026,1.1213108331888655,,,,,1.742942068854337,0.9287510598414179,,,
