Experiment Name,Position,SampleName,ASO Microsynth ID ,FAM,HEX,dCt,Avg,SD,ddCt,Exp,Avg.1
ASO1-24_MT_20210611,O1,Naïve_P2,Naïve_P2,29.3335101456626,22.1454602012928,7.188049944369801,7.216970777681272,0.268645102414409,-0.028920833311470773,1.0202486724163775,1.0173325582889736
ASO1-24_MT_20210611,O2,Naïve_P2,Naïve_P2,29.4928828467034,22.1266361709788,7.3662466757246,,,0.14927589804332797,0.9017029220735826,
ASO1-24_MT_20210611,O3,Naïve_P2,Naïve_P2,29.5547921469653,22.2730245717689,7.281767575196401,,,0.0647967975151289,0.9560799712378502,
ASO1-24_MT_20210611,O4,Naïve_P2,Naïve_P2,29.2849107283292,22.0232259997276,7.261684728601601,,,0.044713950920328926,0.9694820210677534,
ASO1-24_MT_20210611,O5,Naïve_P2,Naïve_P2,29.1668797599542,21.9956692039672,7.171210555986999,,,-0.045760221694273184,1.0322269633945775,
ASO1-24_MT_20210611,O6,Naïve_P2,Naïve_P2,29.4816439022338,22.082502877544,7.399141024689797,,,0.1821702470085249,0.8813761438906988,
ASO1-24_MT_20210611,O7,Naïve_P2,Naïve_P2,29.7143383995283,22.946230776432,6.768107623096302,,,-0.44886315458496995,1.3649642394079577,
ASO1-24_MT_20210611,O8,Naïve_P2,Naïve_P2,29.5788734541913,22.9596207119299,6.6192527422613985,,,-0.5977180354198737,1.513320996139387,
ASO1-24_MT_20210611,O9,Naïve_P2,Naïve_P2,29.7729526082223,22.9637726564198,6.809179951802502,,,-0.40779082587877014,1.3266527773192471,
ASO1-24_MT_20210611,P1,Naïve_P2,Naïve_P2,29.7367502308477,22.1822891621137,7.554461068734,,,0.33749029105272754,0.7914168620022779,
ASO1-24_MT_20210611,P2,Naïve_P2,Naïve_P2,29.5569336302331,22.0915155926157,7.4654180376174,,,0.24844725993612826,0.8418019402696619,
ASO1-24_MT_20210611,P3,Naïve_P2,Naïve_P2,29.5739626342537,22.1021884197126,7.4717742145410995,,,0.2548034368598273,0.8381013158355518,
ASO1-24_MT_20210611,P4,Naïve_P2,Naïve_P2,29.6601366052228,22.2441798689117,7.415956736311099,,,0.1989859586298266,0.8711626708974122,
ASO1-24_MT_20210611,P5,Naïve_P2,Naïve_P2,29.677330133632,22.2418251049169,7.435505028715102,,,0.21853425103383017,0.859438164808763,
ASO1-24_MT_20210611,P6,Naïve_P2,Naïve_P2,29.6978666985322,22.2493488912007,7.448517807331498,,,0.23154702965022622,0.8517210850024168,
ASO1-24_MT_20210611,P7,Naïve_P2,Naïve_P2,29.6864601724923,22.6112362179544,7.0752239545379005,,,-0.14174682314337161,1.1032401167420252,
ASO1-24_MT_20210611,P8,Naïve_P2,Naïve_P2,29.7651365023023,22.6476775864519,7.117458915850403,,,-0.09951186183086946,1.071410887617422,
ASO1-24_MT_20210611,P9,Naïve_P2,Naïve_P2,29.7150268946255,22.6585094817305,7.056517412894998,,,-0.16045336478627448,1.117638299078565,
ASO1-24_MT_20210611,O10,Ionis1375651_10_P2,Ionis1375651_10_P2,35.5093644085577,27.8126876444841,7.696676764073601,,,0.47970598639232875,0.7171237551398715,0.6421888764057501
ASO1-24_MT_20210611,O11,Ionis1375651_10_P2,Ionis1375651_10_P2,35.3842590207144,27.8299674594894,7.5542915612250034,,,0.3373207835437313,0.7915098539224783,
ASO1-24_MT_20210611,O12,Ionis1375651_10_P2,Ionis1375651_10_P2,36.2878041530751,27.8121770284747,8.4756271246004,,,1.2586563469191283,0.41793302015490025,
ASO1-24_MT_20210611,P10,Ionis1375651_10_P2,Ionis1375651_10_P2,36.8238251907068,27.815580592044,9.008244598662799,,,1.7912738209815267,0.2889168355272193,0.18678433173858644
ASO1-24_MT_20210611,P11,Ionis1375651_10_P2,Ionis1375651_10_P2,37.8337341676377,27.8354662701354,9.998267897502302,,,2.78129711982103,0.14546085637678635,
ASO1-24_MT_20210611,P12,Ionis1375651_10_P2,Ionis1375651_10_P2,38.083140954827,27.8773830121587,10.205757942668303,,,2.9887871649870306,0.1259753033117537,
ASO1-24_MT_20210611,O13,Ionis1375651_3_P2,Ionis1375651_3_P2,33.4513131329405,26.5961946128449,6.855118520095598,,,-0.3618522575856744,1.2850747297770764,1.0848036932865364
ASO1-24_MT_20210611,O14,Ionis1375651_3_P2,Ionis1375651_3_P2,33.7726476297992,26.6082601969325,7.164387432866704,,,-0.05258334481456828,1.0371203694549662,
ASO1-24_MT_20210611,O15,Ionis1375651_3_P2,Ionis1375651_3_P2,33.9606848904268,26.6424502625249,7.318234627901898,,,0.10126385022062578,0.9322159806275659,
