Experiment Name,Position,SampleName,ASO Microsynth ID ,CrossingPoint,CrossingPoint.1,dCt,Avg,SD,ddCt,Avg_ddCt,Exp,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
ASO361-384_MT_20210621,G1,Naïve_P31,Naïve_P31,27.715084840613,20.8194138653478,6.8956709752651975,6.94860532689164,0.06296158537901285,-0.05293435162644222,-0.0548335037410741,1.0387392192133427,,,,
ASO361-384_MT_20210621,G2,Naïve_P31,Naïve_P31,27.781984346591,20.8850492871055,6.8969350594855,,,-0.05167026740613956,,,,,,
ASO361-384_MT_20210621,G3,Naïve_P31,Naïve_P31,27.7903473342972,20.9016378995962,6.888709434700999,,,-0.05989589219064051,,,,,,
ASO361-384_MT_20210621,G4,Naïve_P31,Naïve_P31,28.0567532662635,21.0589294479166,6.997823818346898,,,0.04921849145525847,-0.023631090667140715,1.016514708641059,,,,
ASO361-384_MT_20210621,G5,Naïve_P31,Naïve_P31,27.9322553968167,21.0497286090267,6.882526787789999,,,-0.06607853910164074,,,,,,
ASO361-384_MT_20210621,G6,Naïve_P31,Naïve_P31,27.9040660586251,21.0094939560885,6.8945721025366,,,-0.05403322435503988,,,,,,
ASO361-384_MT_20210621,G7,Naïve_P31,Naïve_P31,28.1630141091002,21.1384514961353,7.0245626129649,,,0.07595728607326002,0.026489926517660578,0.9818061259398176,,,,
ASO361-384_MT_20210621,G8,Naïve_P31,Naïve_P31,28.179253362864,21.173676731487,7.005576631377,,,0.05697130448536036,,,,,,
ASO361-384_MT_20210621,G9,Naïve_P31,Naïve_P31,28.0758506739859,21.1807041580999,6.895146515886001,,,-0.05345881100563865,,,,,,
ASO361-384_MT_20210621,H1,Naïve_P31,Naïve_P31,27.8062648583463,20.8917075029163,6.914557355429999,,,-0.03404797146164107,-0.0326469619595399,1.0228871311348848,,,,
ASO361-384_MT_20210621,H2,Naïve_P31,Naïve_P31,27.8822582238094,20.9382731060095,6.943985117799901,,,-0.0046202090917386585,,,,,,
ASO361-384_MT_20210621,H3,Naïve_P31,Naïve_P31,27.8097606152893,20.9204279937229,6.8893326215664,,,-0.05927270532523998,,,,,,
ASO361-384_MT_20210621,H4,Naïve_P31,Naïve_P31,28.1339487484292,21.0785495269317,7.0553992214975025,,,0.10679389460586286,0.05432214497685983,0.9630468275444316,,,,
ASO361-384_MT_20210621,H5,Naïve_P31,Naïve_P31,28.1018904654919,21.0687685946571,7.033121870834798,,,0.08451654394315788,,,,,,
ASO361-384_MT_20210621,H6,Naïve_P31,Naïve_P31,27.9276328999118,21.0073715766386,6.920261323273198,,,-0.02834400361844125,,,,,,
ASO361-384_MT_20210621,H7,Naïve_P31,Naïve_P31,27.954369629867,20.8941261986398,7.0602434312271996,,,0.11163810433555987,0.0302994848732272,0.9792170036734057,,,,
ASO361-384_MT_20210621,H8,Naïve_P31,Naïve_P31,27.836605586783,20.8947304941702,6.941875092612801,,,-0.00673023427883912,,,,,,
ASO361-384_MT_20210621,H9,Naïve_P31,Naïve_P31,27.848398007164,20.9138020957094,6.9345959114546005,,,-0.014009415437039152,,,,,,
ASO361-384_MT_20210621,G10,Ionis1375651_10_P31,Ionis1375651_10uM_P31,37.6666077241284,27.385089994213,10.281517729915397,,,3.332912403023757,4.0555764320158945,0.06013811957335661,,,,
ASO361-384_MT_20210621,G11,Ionis1375651_10_P31,Ionis1375651_10uM_P31,38.0140464755325,27.3724788114909,10.641567664041602,,,3.6929623371499627,,,,,,
ASO361-384_MT_20210621,G12,Ionis1375651_10_P31,Ionis1375651_10uM_P31,39.4428981550041,27.3534382722385,12.089459882765603,,,5.140854555873963,,,,,,
ASO361-384_MT_20210621,H10,Ionis1375651_10_P31,Ionis1375651_10uM_P31,37.9990439372907,27.9049341249652,10.094109812325499,,,3.145504485433859,4.53099529746006,0.04325481961772577,,,,
ASO361-384_MT_20210621,H11,Ionis1375651_10_P31,Ionis1375651_10uM_P31,40.0,27.8158939180638,12.1841060819362,,,5.23550075504456,,,,,,
ASO361-384_MT_20210621,H12,Ionis1375651_10_P31,Ionis1375651_10uM_P31,40.0,27.8394140212066,12.1605859787934,,,5.21198065190176,,,,,,
ASO361-384_MT_20210621,G13,Ionis1375651_3_P31,Ionis1375651_3uM_P31,35.7688124989064,24.8712272820697,10.8975852168367,,,3.9489798899450594,3.153074580767828,0.11241647744798403,,,,
ASO361-384_MT_20210621,G14,Ionis1375651_3_P31,Ionis1375651_3uM_P31,34.4886647158088,24.890600579327,9.598064136481803,,,2.649458809590163,,,,,,
ASO361-384_MT_20210621,G15,Ionis1375651_3_P31,Ionis1375651_3uM_P31,34.7697627148953,24.9603723452354,9.809390369659901,,,2.8607850427682617,,,,,,
ASO361-384_MT_20210621,H13,Ionis1375651_3_P31,Ionis1375651_3uM_P31,35.9481313913037,25.0462858678598,10.901845523443896,,,3.9532401965522563,3.478610641307092,0.08970855344895702,,,,
ASO361-384_MT_20210621,H14,Ionis1375651_3_P31,Ionis1375651_3uM_P31,35.3302444070798,25.0704360818384,10.259808325241401,,,3.3112029983497617,,,,,,
ASO361-384_MT_20210621,H15,Ionis1375651_3_P31,Ionis1375651_3uM_P31,35.1924659290685,25.0724718731576,10.119994055910897,,,3.1713887290192577,,,,,,
ASO361-384_MT_20210621,G16,Ionis676630_10_P31,Ionis676630_10uM_P31,35.1140754325128,27.0029295055569,8.1111459269559,,,1.1625406000642595,1.0161717632829923,0.4944265896233368,,,,
