ASO Microsynth ID ,Exp,Unnamed: 2,Unnamed: 3,ID,N1,N2,N3,N4,N5,N6
KQJM100_L22_6-10-6_10uM_P31,0.3092780691451634,,,,,,,,,
KQJM100_L22_6-10-6_10uM_P31,,,,,,,,,,
KQJM100_L22_6-10-6_10uM_P31,,,,,,,,,,
KQJM100_L22_6-10-6_10uM_P31,0.2522403047420958,,,,,,,,,
KQJM100_L22_6-10-6_10uM_P31,,,,,,,,,,
KQJM100_L22_6-10-6_10uM_P31,,,,,,,,,,
KQJM100_L22_6-10-6_3uM_P31,0.20503237958115253,,,,,,,,,
KQJM100_L22_6-10-6_3uM_P31,,,,,,,,,,
KQJM100_L22_6-10-6_3uM_P31,,,,,,,,,,
KQJM100_L22_6-10-6_3uM_P31,0.0864321217252091,,,,,,,,,
KQJM100_L22_6-10-6_3uM_P31,,,,,,,,,,
KQJM100_L22_6-10-6_3uM_P31,,,,,,,,,,
KQJM101_L21_7-08-6_10uM_P31,0.0907214044383316,,,,,,,,,
KQJM101_L21_7-08-6_10uM_P31,,,,,,,,,,
KQJM101_L21_7-08-6_10uM_P31,,,,,,,,,,
KQJM101_L21_7-08-6_10uM_P31,0.08328141523995689,,,,,,,,,
KQJM101_L21_7-08-6_10uM_P31,,,,,,,,,,
KQJM101_L21_7-08-6_10uM_P31,,,,,,,,,,
KQJM101_L21_7-08-6_3uM_P31,0.18554405661703344,,,,,,,,,
KQJM101_L21_7-08-6_3uM_P31,,,,,,,,,,
KQJM101_L21_7-08-6_3uM_P31,,,,,,,,,,
KQJM101_L21_7-08-6_3uM_P31,0.2663224158285647,,,,,,,,,
KQJM101_L21_7-08-6_3uM_P31,,,,,,,,,,
KQJM101_L21_7-08-6_3uM_P31,,,,,,,,,,
KQJM102_L21_6-10-5_10uM_P31,0.187699951408745,,,,,,,,,
KQJM102_L21_6-10-5_10uM_P31,,,,,,,,,,
KQJM102_L21_6-10-5_10uM_P31,,,,,,,,,,
KQJM102_L21_6-10-5_10uM_P31,0.32032370618832884,,,,,,,,,
KQJM102_L21_6-10-5_10uM_P31,,,,,,,,,,
KQJM102_L21_6-10-5_10uM_P31,,,,,,,,,,
KQJM102_L21_6-10-5_3uM_P31,0.1575976178014894,,,,,,,,,
KQJM102_L21_6-10-5_3uM_P31,,,,,,,,,,
KQJM102_L21_6-10-5_3uM_P31,,,,,,,,,,
KQJM102_L21_6-10-5_3uM_P31,0.10321795316292097,,,,,,,,,
KQJM102_L21_6-10-5_3uM_P31,,,,,,,,,,
KQJM102_L21_6-10-5_3uM_P31,,,,,,,,,,
KQJM103_L21_7-08-6_10uM_P31,0.23354644137185698,,,,,,,,,
KQJM103_L21_7-08-6_10uM_P31,,,,,,,,,,
KQJM103_L21_7-08-6_10uM_P31,,,,,,,,,,
KQJM103_L21_7-08-6_10uM_P31,0.047709572266067035,,,,,,,,,
KQJM103_L21_7-08-6_10uM_P31,,,,,,,,,,
KQJM103_L21_7-08-6_10uM_P31,,,,,,,,,,
KQJM103_L21_7-08-6_3uM_P31,0.16048931701237346,,,,,,,,,
KQJM103_L21_7-08-6_3uM_P31,,,,,,,,,,
KQJM103_L21_7-08-6_3uM_P31,,,,,,,,,,
KQJM103_L21_7-08-6_3uM_P31,0.1887788155157317,,,,,,,,,
KQJM103_L21_7-08-6_3uM_P31,,,,,,,,,,
KQJM103_L21_7-08-6_3uM_P31,,,,,,,,,,
KQJM105_L19_6-08-5_10uM_P31,0.18321740598956637,,,,,,,,,
KQJM105_L19_6-08-5_10uM_P31,,,,,,,,,,
KQJM105_L19_6-08-5_10uM_P31,,,,,,,,,,
KQJM105_L19_6-08-5_10uM_P31,0.16122103328933388,,,,,,,,,
