SampleName,ASO Microsynth ID,Test plate #,MT Avg Exp,MT zscore range,WT Avg Exp,WT zscore range,Tier
ASO590_10_R3.1P4-1,KQ2243_L20_6-09-5_10uM_R3.1P4-1,4-1,0.2263873194912426,0.9899137661916336,0.3663885344987527,0.1908459061380293,020030
ASO595_10_R3.1P5-1,KQ2248_L20_5-09-6_10uM_R3.1P5-1,5-1,0.23745942311980614,0.5010672139753447,0.3600172581659485,0.7057966706678964,020030
ASO185_10_R3.1P3-1,KQ353_L20_5-10-5_10uM_R3.1P3-1,3-1,0.25208546089973133,0.2805133087423676,0.41951602870613663,1.6587873717608927,020040
ASO187-2nd_10_R3.1P3-1,KQ995_2nd batch_L20_5-10-5_10uM_R3.1P3-1,3-1,0.22736720880957625,0.2539928635346077,0.4462504988479266,0.9482418504345428,020040
ASO193_10_R3.1P5-1,KQ954_L20_5-10-5_10uM_R3.1P5-1,5-1,0.27065930888070405,1.365163956617435,0.4110945046328358,1.651741959254935,020040
ASO573_10_R3.1P1-2,KQ2210_L19_5-09-5_10uM_R3.1P1-2,1-2,0.22571654008797568,0.0439243998773301,0.42170454756776915,1.488634082792912,020040
ASO581_10_R3.1P3-1,KQ2225_L20_6-09-5_10uM_R3.1P3-1,3-1,0.2966395609157796,0.9291060006366376,0.44685323105945585,0.8236153329250254,020040
ASO592_10_R3.1P5-1,KQ2245_L20_5-09-6_10uM_R3.1P5-1,5-1,0.26382848812910215,0.5507372015377499,0.4380111649664948,0.7749479229057954,020040
ASO594_10_R3.1P5-1,KQ2247_L20_6-08-6_10uM_R3.1P5-1,5-1,0.2860041188979117,1.207540363537123,0.4416444271062188,1.7904490539083118,020040
ASO8-2nd_10_R3.1P1-2,KQ373_2nd batch_L20_5-10-5_10uM_R3.1P1-2,1-2,0.23234461739637013,1.2914171269446053,0.45168036237683723,0.5809595850914112,020040
ASO564_10_R3.1P1-2,KQ2201_L20_6-08-6_10uM_R3.1P1-2,1-2,0.29576438530024907,0.271522903673175,0.5141939464894422,1.6367596659445005,020050
ASO568_10_R3.1P1-2,KQ2205_L20_5-09-6_10uM_R3.1P1-2,1-2,0.20570683057103148,0.1475949694631596,0.5395815302233169,0.2538909594251376,020050
ASO571_10_R3.1P1-2,KQ2208_L20_5-09-6_10uM_R3.1P1-2,1-2,0.2199428387185643,0.1251502607268666,0.5754447273991626,0.2063313765115351,020050
ASO575_10_R3.1P2-1,KQ2212_L19_5-09-5_10uM_R3.1P2-1,2-1,0.2282361528282709,0.4940079914934038,0.5516728694002409,0.7568247470097271,020050
ASO575_10_R3.1P2-2,KQ2212_L19_5-09-5_10uM_R3.1P2-2,2-2,0.24061996566975355,1.4680794680306242,0.593375818078532,0.6371923072670179,020050
ASO583_10_R3.1P4-1,KQ2227_L20_5-09-6_10uM_R3.1P4-1,4-1,0.2987923547959551,1.2169991306148622,0.5911543189378993,1.268131289303443,020050
ASO585_10_R3.1P3-1,KQ2231_L19_5-09-5_10uM_R3.1P3-1,3-1,0.2584541137147835,0.2268258537645149,0.5605870756379107,0.5902406698235223,020050
ASO585_10_R3.1P3-2,KQ2231_L19_5-09-5_10uM_R3.1P3-2,3-2,0.29789418824848424,1.660978317704946,0.5768230778197235,1.5048314987893328,020050
ASO599_10_R3.1P5-1,KQ2252_L19_5-09-5_10uM_R3.1P5-1,5-1,0.26390526635164774,1.0781674779200483,0.5371501764081713,1.2255628352312478,020050
ASO571_10_R3.1P1-1,KQ2208_L20_5-09-6_10uM_R3.1P1-1,1-1,0.2515895526856863,1.0339013760171984,0.6141631158463997,1.5005502641165636,020060
ASO568_10_R3.1P1-1,KQ2205_L20_5-09-6_10uM_R3.1P1-1,1-1,0.283889885061466,1.4227345405404224,0.7969059427119544,1.7597133977706334,020070
ASO183_10_R3.1P2-1,KQ354_L20_5-10-5_10uM_R3.1P2-1,2-1,0.3433014383733064,1.0597543708003916,0.3342682732218906,1.1438659531404345,030030
ASO150_10_R3.1P2-1,KQ292_L20_5-10-5_10uM_R3.1P2-1,2-1,0.39157501815721196,1.2352013370437922,0.4377774670101848,0.5553597591757112,030040
ASO573_10_R3.1P1-1,KQ2210_L19_5-09-5_10uM_R3.1P1-1,1-1,0.32603849766224346,1.994724717204364,0.4337695640656436,0.7296864105323078,030040
ASO581_10_R3.1P3-2,KQ2225_L20_6-09-5_10uM_R3.1P3-2,3-2,0.3246425476166692,1.6464694701388798,0.4288061411671928,1.50881043341777,030040
ASO591_10_R3.1P5-1,KQ2244_L20_6-08-6_10uM_R3.1P5-1,5-1,0.30485420476063546,1.7290809988170477,0.49956969775703275,1.0608945396914296,030040
ASO188_10_R3.1P3-1,KQ480_L20_5-10-5_10uM_R3.1P3-1,3-1,0.357527773925419,1.3878523953239488,0.5056932908409293,1.5961844161299796,030050
ASO189_10_R3.1P3-1,KQ479_L20_5-10-5_10uM_R3.1P3-1,3-1,0.3619925032503792,1.6716035535745015,0.5163430371218317,1.7319190473528696,030050
ASO189_10_R3.1P3-2,KQ479_L20_5-10-5_10uM_R3.1P3-2,3-2,0.37916278885019067,1.0564613075553957,0.5062174907722646,1.4879548329248058,030050
ASO197_10_R3.1P4-1,KQ958_L20_5-10-5_10uM_R3.1P4-1,4-1,0.3607756744724138,1.639041547067006,0.5449492962200574,0.336894655000574,030050
ASO198_10_R3.1P4-1,KQ959_L20_5-10-5_10uM_R3.1P4-1,4-1,0.36567563699900196,0.8959221461897084,0.5405651354173343,0.7457116493025029,030050
ASO578_10_R3.1P3-1,KQ2222_L20_5-09-6_10uM_R3.1P3-1,3-1,0.36184061849879373,1.5484870988821189,0.5636414376575095,0.7321734395028868,030050
ASO578_10_R3.1P3-2,KQ2222_L20_5-09-6_10uM_R3.1P3-2,3-2,0.3827444567052119,0.1610618462791393,0.574035657283038,1.318334630838652,030050
ASO580_10_R3.1P3-1,KQ2224_L20_5-09-6_10uM_R3.1P3-1,3-1,0.35277774570139037,1.5437372893924095,0.5129848439663361,1.4409595545721292,030050
ASO588_10_R3.1P4-1,KQ2241_L20_6-08-6_10uM_R3.1P4-1,4-1,0.39382122973038225,1.6282371422633468,0.5859141417362044,1.438706256949401,030050
ASO598_10_R3.1P5-1,KQ2251_L19_5-09-5_10uM_R3.1P5-1,5-1,0.31350186704754585,0.2376676827186663,0.560298785544468,0.0702683616169693,030050
ASO564_10_R3.1P1-1,KQ2201_L20_6-08-6_10uM_R3.1P1-1,1-1,0.3270009748419438,1.610948725577007,0.6075087418930449,1.7604263714225712,030060
ASO570_10_R3.1P1-2,KQ2207_L20_6-08-6_10uM_R3.1P1-2,1-2,0.31643550393322123,0.516426440476943,0.6120354340864336,1.3100395601240598,030060
ASO577_10_R3.1P3-1,KQ2221_L20_6-08-6_10uM_R3.1P3-1,3-1,0.37959805914375094,0.9917090710032196,0.6072992701661809,0.7763353787615291,030060
ASO579_10_R3.1P3-1,KQ2223_L20_6-08-6_10uM_R3.1P3-1,3-1,0.37616595660963764,1.8119046171547488,0.6047700140654821,1.7817178059589884,030060
ASO579_10_R3.1P3-2,KQ2223_L20_6-08-6_10uM_R3.1P3-2,3-2,0.3891477580890123,1.666313364642099,0.6107577304371311,1.6827318876444108,030060
