Unnamed: 0,WT,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,MT,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Total,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,10uM,,,,3uM,,,,10uM,,,,3uM,,,,10uM,,,,3uM,
ID,N1,N2,N3,N4,,,,,N1,N2,N3,N4,,,,,N1,N2,N3,N4,,
Naïve_P2.3-9,1.0556762472507615,0.8331818611428424,1.0274463249268408,1.1065481091105271,,,,,1.2087258237113294,0.8710887261533565,0.9346793931827088,1.0161250042730272,,,,,1.2586252385714993,0.9139184633299559,0.9167543123228797,0.948294323990613,,
Ionis1375651_10uM_P2.3-9,0.18280875168403632,0.0969262674534335,,,,,,,0.1887645874672798,0.1825473610191679,,,,,,,0.1490992905787368,0.08927672638085202,,,,
Ionis1375651_3uM_P2.3-9,,,,,0.32264199391500753,0.48154755928339354,,,,,,,0.3543505119977714,0.40675025629674755,,,,,,,0.316548869073271,0.3672714284690499
Ionis676630_10uM_P2.3-9,0.5501119969165186,0.8316921128071489,,,,,,,0.5889119266893369,0.9305369092086879,,,,,,,0.5212187355622818,0.6314428860145085,,,,
Ionis676630_3uM_P2.3-9,,,,,0.7166810555673422,0.63,,,,,,,0.7334241149197541,0.8,,,,,,,0.8157278280915369,0.5986900307306892
KQ2004_L21_6-10-5_10uM_P2.3-9,0.4369634111315478,0.24109329262300516,,,,,,,0.23254488719481112,0.165280988594876,,,,,,,0.24445053645353976,0.1465402963702113,,,,
KQ2004_L21_6-10-5_3uM_P2.3-9,,,,,0.50645901575377,0.33278287749684343,,,,,,,0.30899251685721896,0.21257635247238932,,,,,,,0.3312591112829923,0.21050369956777687
KQ2048_L21_7-08-6_10uM_P2.3-9,0.3759400189793691,0.2759228451816601,,,,,,,0.20531886438603691,0.17077355653529117,,,,,,,0.26677493093885324,0.15641836290816002,,,,
KQ2048_L21_7-08-6_3uM_P2.3-9,,,,,0.4868827229101031,0.3787815440763643,,,,,,,0.3182220125405696,0.2686040804067895,,,,,,,0.3548315690103031,0.18109729807254887
KQ2065_L20_6-08-6_10uM_P2.3-9,0.44249934371817995,0.4187927234306567,,,,,,,0.22126747321878443,0.22257112817965446,,,,,,,0.299884459757372,0.26308456414668846,,,,
KQ2065_L20_6-08-6_3uM_P2.3-9,,,,,0.6300169443770438,0.5174967184544338,,,,,,,0.38331041547256867,0.3113733647529702,,,,,,,0.5035770762366271,0.3194856397303939
KQ2086_L19_6-08-5_10uM_P2.3-9,0.42274986925411695,0.6381967311333341,,,,,,,0.18948077036549016,0.29022847243255007,,,,,,,0.2327088951172928,0.3216316993331674,,,,
KQ2086_L19_6-08-5_3uM_P2.3-9,,,,,0.6698599652305958,0.6977665851448285,,,,,,,0.37971646679948867,0.4005990688458228,,,,,,,0.4553588263520114,0.330986562898744
KQ501_L20_5-10-5_10uM_P2.3-9,0.870068740103351,0.565248244882355,,,,,,,0.7375103767615441,0.3327051745023352,,,,,,,0.329242514184809,0.38039787167142214,,,,
KQ501_L20_5-10-5_3uM_P2.3-9,,,,,0.7941230050722768,0.5238769329616205,,,,,,,0.4746723328001098,0.38096771064878593,,,,,,,0.5270197222047232,0.3932064449415273
KQ957_L20_5-10-5_10uM_P2.3-9,0.41311896894507966,0.39393829279806547,,,,,,,0.2813607812974837,0.2506786644531248,,,,,,,0.26545043320847805,0.23073677307933663,,,,
KQ957_L20_5-10-5_3uM_P2.3-9,,,,,0.4943295773171165,0.3334667938400962,,,,,,,0.31392005264784595,0.250386898485873,,,,,,,0.40072464952026743,0.20248593698345796
KQ372_L20_5-10-5_10uM_P2.3-9,0.6265980543115608,0.5550788507290549,,,,,,,0.24923477380000594,0.25531508322348967,,,,,,,0.3524060311054801,0.32633380672982115,,,,
KQ372_L20_5-10-5_3uM_P2.3-9,,,,,0.6305615337187678,0.7001138009580316,,,,,,,0.33268735986189907,0.38940212798404505,,,,,,,0.4111095101954029,0.4954610645749448
