Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1,dCt,Avg,SD,ddCt,Avg_ddCt,Exp,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
ASO241-264_MT_20210617,G1,Naïve_P21,Naïve_P21,29.1277976055881,21.681914527646,7.445883077942099,7.298525734342039,0.22696021352306595,0.14735734360005992,0.16921549215279322,0.8893261469460322,,,,
ASO241-264_MT_20210617,G2,Naïve_P21,Naïve_P21,29.1694710286971,21.7079948266942,7.461476202002899,,,0.16295046766085974,,,,,,
ASO241-264_MT_20210617,G3,Naïve_P21,Naïve_P21,29.2426767718149,21.7468123722754,7.495864399539499,,,0.19733866519746002,,,,,,
ASO241-264_MT_20210617,G4,Naïve_P21,Naïve_P21,28.683247075286,21.2014527066347,7.4817943686513,,,0.1832686343092611,0.13609463583876055,0.909979130618054,,,,
ASO241-264_MT_20210617,G5,Naïve_P21,Naïve_P21,28.6769920046054,21.2101986381772,7.466793366428199,,,0.16826763208615958,,,,,,
ASO241-264_MT_20210617,G6,Naïve_P21,Naïve_P21,28.6318179768195,21.2765446013566,7.3552733754629,,,0.05674764112086095,,,,,,
ASO241-264_MT_20210617,G7,Naïve_P21,Naïve_P21,28.7831678012396,21.2661050251458,7.517062776093798,,,0.21853704175175892,0.20270976675886013,0.8689169713781354,,,,
ASO241-264_MT_20210617,G8,Naïve_P21,Naïve_P21,28.7671806641006,21.291361127624,7.4758195364766,,,0.17729380213456025,,,,,,
ASO241-264_MT_20210617,G9,Naïve_P21,Naïve_P21,28.8532563694733,21.342432178741,7.510824190732301,,,0.21229845639026124,,,,,,
ASO241-264_MT_20210617,H1,Naïve_P21,Naïve_P21,29.7524514667706,22.8620658090883,6.890385657682302,,,-0.4081400766597376,-0.43930974605850537,1.3559554186459164,,,,
ASO241-264_MT_20210617,H2,Naïve_P21,Naïve_P21,29.7301435408807,22.902953373354,6.827190167526702,,,-0.4713355668153376,,,,,,
ASO241-264_MT_20210617,H3,Naïve_P21,Naïve_P21,29.7504158547298,22.8903437150882,6.8600721396415985,,,-0.4384535947004409,,,,,,
ASO241-264_MT_20210617,H4,Naïve_P21,Naïve_P21,29.304960600103,22.0112558674846,7.2937047326184015,,,-0.004821001723637863,-0.03377706490220452,1.0236887008312783,,,,
ASO241-264_MT_20210617,H5,Naïve_P21,Naïve_P21,29.3209288388561,22.0518093420231,7.269119496833003,,,-0.02940623750903626,,,,,,
ASO241-264_MT_20210617,H6,Naïve_P21,Naïve_P21,29.319539262374,22.0881174835059,7.2314217788681,,,-0.06710395547393944,,,,,,
ASO241-264_MT_20210617,H7,Naïve_P21,Naïve_P21,28.9858044785823,21.6537288245189,7.332075654063399,,,0.033549919721359345,-0.034933083789707574,1.0245093023386014,,,,
ASO241-264_MT_20210617,H8,Naïve_P21,Naïve_P21,28.9199627480531,21.6587629801195,7.261199767933597,,,-0.03732596640844221,,,,,,
ASO241-264_MT_20210617,H9,Naïve_P21,Naïve_P21,28.902283465822,21.704780936162,7.1975025296599995,,,-0.10102320468203985,,,,,,
ASO241-264_MT_20210617,G10,Ionis1375651_10_P21,Ionis1375651_10uM_P21,36.4019057613902,26.0039129613943,10.397992799995905,,,3.099467065653865,2.949822065113062,0.12942407702282158,,,,
ASO241-264_MT_20210617,G11,Ionis1375651_10_P21,Ionis1375651_10uM_P21,35.8524802731401,26.0138368660097,9.838643407130402,,,2.5401176727883623,,,,,,
ASO241-264_MT_20210617,G12,Ionis1375651_10_P21,Ionis1375651_10uM_P21,36.5506390466961,26.0422318554571,10.508407191238998,,,3.2098814568969587,,,,,,
ASO241-264_MT_20210617,H10,Ionis1375651_10_P21,Ionis1375651_10uM_P21,36.7756873573508,26.5994974522443,10.176189905106497,,,2.877664170764458,2.8121007160297595,0.14238798155384075,,,,
ASO241-264_MT_20210617,H11,Ionis1375651_10_P21,Ionis1375651_10uM_P21,35.93854075216,26.5852486108026,9.3532921413574,,,2.054766407015361,,,,,,
ASO241-264_MT_20210617,H12,Ionis1375651_10_P21,Ionis1375651_10uM_P21,37.4446272440985,26.642229939447,10.8023973046515,,,3.5038715703094603,,,,,,
ASO241-264_MT_20210617,G13,Ionis1375651_3_P21,Ionis1375651_3uM_P21,33.6955479230013,23.394526195892,10.301021727109301,,,3.002495992767262,2.78931122387146,0.1446550681950721,,,,
ASO241-264_MT_20210617,G14,Ionis1375651_3_P21,Ionis1375651_3uM_P21,33.6097902733719,23.4243745984592,10.1854156749127,,,2.8868899405706614,,,,,,
ASO241-264_MT_20210617,G15,Ionis1375651_3_P21,Ionis1375651_3uM_P21,33.311292179803,23.5342187071845,9.777073472618497,,,2.4785477382764576,,,,,,
ASO241-264_MT_20210617,H13,Ionis1375651_3_P21,Ionis1375651_3uM_P21,34.5784396767011,24.7117923167763,9.866647359924801,,,2.568121625582762,2.776132351337793,0.14598253142720383,,,,
ASO241-264_MT_20210617,H14,Ionis1375651_3_P21,Ionis1375651_3uM_P21,35.0052942297826,24.771304279247,10.233989950535598,,,2.9354642161935587,,,,,,
ASO241-264_MT_20210617,H15,Ionis1375651_3_P21,Ionis1375651_3uM_P21,34.9584743583928,24.8351374118137,10.123336946579098,,,2.8248112122370586,,,,,,
ASO241-264_MT_20210617,G16,Ionis676630_10_P21,Ionis676630_10uM_P21,33.2007628077585,25.864238455966,7.336524351792502,,,0.03799861745046229,-0.04921318993617163,1.0347004699834554,,,,
