Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1,dCt,Unnamed: 7,Avg,SD,ddCt,Avg_ddCt,Exp
ASO529-551_MT_20210623,G1,Naïve_P45,Naïve_P45,30.1287316599717,22.2663423563854,7.862389303586298,,,,-0.9061767170927162,-0.920603374891814,1.892906793801021
ASO529-551_MT_20210623,G2,Naïve_P45,Naïve_P45,30.1541918866842,22.2865254855877,7.8676664010965,,,,-0.9008996195825141,,
ASO529-551_MT_20210623,G3,Naïve_P45,Naïve_P45,30.1458143117407,22.3319820790619,7.813832232678802,,,,-0.9547337880002118,,
ASO529-551_MT_20210623,G4,Naïve_P45,Naïve_P45,30.1757892891084,22.257507063462,7.918282225646401,,,,-0.8502837950326132,-0.8095546749005808,1.752670352137488
ASO529-551_MT_20210623,G5,Naïve_P45,Naïve_P45,30.1343919576714,22.2624497951506,7.871942162520799,,,,-0.8966238581582147,,
ASO529-551_MT_20210623,G6,Naïve_P45,Naïve_P45,30.3803740736447,22.2935644244766,8.0868096491681,,,,-0.6817563715109145,,
ASO529-551_MT_20210623,G7,Naïve_P45,Naïve_P45,30.562625434489,22.4469999451408,8.1156254893482,,,,-0.6529405313308132,-0.7288274617234146,1.6572915942966213
ASO529-551_MT_20210623,G8,Naïve_P45,Naïve_P45,30.6280057838902,22.4843883226268,8.1436174612634,,,,-0.6249485594156141,,
ASO529-551_MT_20210623,G9,Naïve_P45,Naïve_P45,30.3759670447141,22.5159943184589,7.859972726255197,,,,-0.9085932944238166,,
ASO529-551_MT_20210623,H1,Naïve_P45,Naïve_P45,30.3994348481843,22.6409405190806,7.758494329103698,,,,-1.010071691575316,-0.9522617519931819,1.9349036820976973
ASO529-551_MT_20210623,H2,Naïve_P45,Naïve_P45,30.5748584179799,22.679823029089,7.8950353888909,,,,-0.873530631788114,,
ASO529-551_MT_20210623,H3,Naïve_P45,Naïve_P45,30.5406048608467,22.7452217727838,7.7953830880628985,,,,-0.9731829326161154,,
ASO529-551_MT_20210623,H4,Naïve_P45,Naïve_P45,30.5074395754506,22.1041356121569,8.403303963293702,,,,-0.36526205738531203,-0.4028212518277125,1.3220907895432292
ASO529-551_MT_20210623,H5,Naïve_P45,Naïve_P45,30.4502403273618,22.1116428734798,8.338597453882002,,,,-0.4299685667970117,,
