Unnamed: 0,WT,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,MT,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Total,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,10uM,,,,3uM,,,,10uM,,,,3uM,,,,10uM,,,,3uM,
ID,N1,N2,N3,N4,,,,,N1,N2,N3,N4,,,,,N1,N2,N3,N4,,
Naïve_P2.3-5,0.9890122071695396,0.9928640818363748,1.0180849072851579,1.0002868255955764,,,,,0.9714281795959362,1.0027802999745004,1.0574778509753593,0.9707607962526921,,,,,0.9676763860576174,1.0120279080503565,1.0382488241410541,0.983503522980578,,
Ionis1375651_10uM_P2.3-5,0.3030575631213125,0.1238153668538762,,,,,,,0.24910903943104787,0.1325969426333515,,,,,,,0.2886509816858911,0.07780244546299528,,,,
Ionis1375651_3uM_P2.3-5,,,,,0.2872622949256287,0.3068344842460653,,,,,,,0.35883540457240287,0.31893918592557374,,,,,,,0.29667471323367184,0.2597703914602792
Ionis676630_10uM_P2.3-5,0.8122402665837968,0.5230343613012742,,,,,,,0.8197034900559491,0.4653768649282651,,,,,,,0.7363862975733012,0.5170198856005326,,,,
Ionis676630_3uM_P2.3-5,,,,,0.6153610976127127,0.6162372294920109,,,,,,,0.6427554240531895,0.6410245998011231,,,,,,,0.5864550290292149,0.5724644121270804
KQ473_L20_5-10-5_10uM_P2.3-5,0.6385409273336125,0.38873067277495776,,,,,,,0.27650187202014975,0.18982511421722847,,,,,,,0.36979997122014985,0.12003297351625919,,,,
KQ473_L20_5-10-5_3uM_P2.3-5,,,,,0.4811289447036107,0.5743068751761423,,,,,,,0.242020461425328,0.3434194372044171,,,,,,,0.26648226242325035,0.31393857356130894
KQ993_L20_5-10-5_10uM_P2.3-5,0.5602525511727336,0.38578759381951977,,,,,,,0.2628094186036941,0.1787554979688949,,,,,,,0.35486090540870185,0.217999510846349,,,,
KQ993_L20_5-10-5_3uM_P2.3-5,,,,,0.5018829893919527,0.5498694341303018,,,,,,,0.2746167667754683,0.33253242808337735,,,,,,,0.34839729545936715,0.3553946415623353
KQJM156_L18_5-08-5_10uM_P2.3-5,0.4793503963861888,0.5242645975045226,,,,,,,0.2653722855966996,0.4076822448823398,,,,,,,0.27263412070898596,0.3675971015137539,,,,
KQJM156_L18_5-08-5_3uM_P2.3-5,,,,,0.6590892301631367,0.617729744931276,,,,,,,0.49996623229715853,0.5155852747160915,,,,,,,0.4973034964203477,0.5649267433761914
KQ297_L20_5-10-5_10uM_P2.3-5,0.3922562154000662,0.45342828781663974,,,,,,,0.21488901593648313,0.2650742789341084,,,,,,,0.20279542479573717,0.28153938445436355,,,,
KQ297_L20_5-10-5_3uM_P2.3-5,,,,,0.6386371962246432,0.5730728736893269,,,,,,,0.4163032589413017,0.42335427148532295,,,,,,,0.4791503735349738,0.40645089542735807
KQ484_L20_5-10-5_10uM_P2.3-5,0.47732363972971353,0.5443804826124231,,,,,,,0.27943395566970575,0.34269997527370244,,,,,,,0.20826804108790317,0.3576968223911836,,,,
KQ484_L20_5-10-5_3uM_P2.3-5,,,,,0.6820464238378031,0.6282340049724385,,,,,,,0.4798454211560347,0.5080188740233894,,,,,,,0.5018328029788857,0.5126407508933413
KQJM064_L19_6-08-5_10uM_P2.3-5,0.3764722479373705,0.4428221377871386,,,,,,,0.2199825704792307,0.2613698746193731,,,,,,,0.16986228491617947,0.2715914129962468,,,,
KQJM064_L19_6-08-5_3uM_P2.3-5,,,,,0.6125500447571057,0.5930750888915609,,,,,,,0.38341826334477486,0.41393936415011395,,,,,,,0.43936432385908986,0.414760582713082
KQJM172_L19_5-10-4_10uM_P2.3-5,0.4537751541934973,0.4757464109606666,,,,,,,0.17797743612011538,0.15968259767502133,,,,,,,0.24939464658083105,0.21394734612808852,,,,
KQJM172_L19_5-10-4_3uM_P2.3-5,,,,,0.5960723350092272,0.6263025874040462,,,,,,,0.24511897245245332,0.29123504449033155,,,,,,,0.36015460620535367,0.43101295982013776
KQJM173_L17_5-08-4_10uM_P2.3-5,0.538999226491706,0.6043432868752074,,,,,,,0.5167175361975019,0.5667626586502318,,,,,,,0.37281857832093035,0.45511187144376103,,,,
KQJM173_L17_5-08-4_3uM_P2.3-5,,,,,0.7024302688635679,0.6873080949543345,,,,,,,0.6685579605073787,0.6912383751078192,,,,,,,0.641689273909667,0.6908447405650893
KQJM174_L18_4-10-4_10uM_P2.3-5,0.4001744681057976,0.4220125917820081,,,,,,,0.15799921063092845,0.1851502450474405,,,,,,,0.1507473313145222,0.2348064789755937,,,,
KQJM174_L18_4-10-4_3uM_P2.3-5,,,,,0.6057173695297686,0.6142843648621499,,,,,,,0.3336694432067889,0.3556201189515707,,,,,,,0.41851544939154295,0.4446218411621772
KQ2021_L21_6-10-5_10uM_P2.3-5,0.2549079823863501,0.25906996828396694,,,,,,,0.21241788580567414,0.22818764859752375,,,,,,,0.17451565661038385,0.19172291290101642,,,,
KQ2021_L21_6-10-5_3uM_P2.3-5,,,,,0.38283219054290496,0.4156317691186506,,,,,,,0.3575677389687366,0.3699775329810306,,,,,,,0.3251663540806708,0.36499476167454065
