Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt from Naive,Exp from Naive,Avg dCt Ionis676630,ddCt,Exp,Exp_std,Exp_zscore
Rd2.1_P1+2_WT_20210723,G5,Naive_P2.1-1,Naive_P2.1-1,5.962216519999998,-0.335328598,1.261664741419706,6.999587453333333,-1.0373709333333343,2.0524839398463657,0.14812567069458032,1.9482857667328226
Rd2.1_P1+2_WT_20210723,F12,Ionis77_10_P2.1-1,Ionis77_10uM_P2.1-1,9.108496670000001,,,6.999587453333333,2.1089092166666683,0.23182222384419854,0.46644221070340175,1.8031455124515139
Rd2.1_P1+2_WT_20210723,A20,KQ288_10_P2.1-1,KQ288_L20_5-10-5_10uM_P2.1-1,6.946180219999999,0.648635117,0.6378835074193876,6.999587453333333,-0.05340723333333397,1.0377128131601858,0.08107162132598475,2.0014121620128726
Rd2.1_P1+2_WT_20210723,D8,KQ479_10_P2.1-1,KQ479_L20_5-10-5_10uM_P2.1-1,7.4238616900000025,1.126316584,0.45808378971830643,6.999587453333333,0.42427423666666986,0.7452135249997084,0.05440819108346557,1.800171459231861
Rd2.1_P1+2_WT_20210723,F20,KQ957_10_P2.1-1,KQ957_L20_5-10-5_10uM_P2.1-1,7.71255017,1.415005056,0.3750084330825431,6.999587453333333,0.7129627166666674,0.610066020769363,0.06262240209816697,1.9313009827121748
Rd2.1_P1+2_WT_20210723,B8,KQ995_10_P2.1-1,KQ995_L20_5-10-5_10uM_P2.1-1,7.242637000000002,0.945091895,0.5193964667229745,6.999587453333333,0.24304954666666934,0.8449573654316194,0.11777608035797381,1.8489026759618183
Rd2.1_P1+2_WT_20210723,O3,Naive_P2.1-2,Naive_P2.1-2,5.4463900199999955,-0.916949023,1.8881181212915357,6.838603568333332,-1.3922135483333369,2.6248110060715737,0.871161733092662,2.9207879283311335
Rd2.1_P1+2_WT_20210723,K8,KQ480_10_P2.1-2,KQ480_L20_5-10-5_10uM_P2.1-2,7.076931700000003,0.713592657,0.6097996988565354,6.838603568333332,0.23832813166667055,0.847727132645116,0.14792697231691354,1.904374603442326
Rd2.1_P1+2_Total_20210723,P3,Naive_P2.1-2,Naive_P2.1-2,5.187584089999998,-0.419524499,1.3374866569922115,6.703978085,-1.5163939950000023,2.860751127240415,0.30979092213412457,1.9400998794747601
Rd2.1_P1+2_Total_20210723,L18,KQ106_10_P2.1-2,KQ106_L20_5-10-5_10uM_P2.1-2,7.193742109999999,1.586633518,0.3329474698699235,6.703978085,0.4897640249999986,0.7121415699978438,0.09605725391817503,1.8112183511245503
Rd2.1_P1+2_Total_20210723,L11,KQ500_10_P2.1-2,KQ500_L20_5-10-5_10uM_P2.1-2,8.41712737,2.810018782,0.1425936080894401,6.703978085,1.7131492849999992,0.3049935662754584,0.03538984938173795,1.9496606464251998
Rd2.1_P1+2_Total_20210723,N3,KQ920_10_P2.1-2,KQ920_L20_5-10-5_10uM_P2.1-2,7.435644919999998,1.828536338,0.2815501182638079,6.703978085,0.7316668349999977,0.6022077438269303,0.05795144008625933,1.816660995141376
Rd2.1_P1+2_Total_20210723,H15,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,5.894065250000001,0.455857878,0.7290765082646433,6.31395852,-0.4198932699999993,1.3378285791038134,0.267772241240895,1.8335132413414523
Rd2.1_P1+2_Total_20210723,C7,KQ480_10_P2.1-1,KQ480_L20_5-10-5_10uM_P2.1-1,7.747726840000002,2.309519467,0.20172762007138503,6.31395852,1.4337683200000022,0.37016276355055605,0.043030736664807244,1.9169822014784048
Rd2.1_P1+2_Total_20210723,F7,KQ957_10_P2.1-1,KQ957_L20_5-10-5_10uM_P2.1-1,8.311563079999999,2.873355704,0.13646891694544444,6.31395852,1.9976045599999992,0.2504154429242597,0.0475211354140427,1.8831958649730696
Rd2.1_P1+2_MT_20210723,O1,Naive_P2.1-2,Naive_P2.1-2,5.349972570000002,-0.934600644,1.9113614732315662,6.895752041666668,-1.5457794716666662,2.9196176985457867,0.8558187708951934,2.4384218852104818
Rd2.1_P1+2_MT_20210723,N11,Ionis77_10_P2.1-2,Ionis77_10uM_P2.1-2,7.269653989999998,0.985080778,0.5051974359201374,6.895752041666668,0.3739019483333301,0.7716925332409121,0.08992869247306963,1.8706148474553979
Rd2.1_P1+2_MT_20210723,G3,Naive_P2.1-1,Naive_P2.1-1,5.729084329999999,-0.392295745,1.3124802786659282,7.370136318333334,-1.6410519883333352,3.1189317608936737,0.3271769411952417,2.3582288306043053
Rd2.1_P1+2_MT_20210723,D13,KQ371_10_P2.1-1,KQ371_L20_5-10-5_10uM_P2.1-1,8.827795690000002,2.706415622,0.15321021324422812,7.370136318333334,1.4576593716666677,0.3640833392064233,0.036353919707447155,1.9670739870179472
Rd2.1_P1+2_MT_20210723,A13,KQ373_10_P2.1-1,KQ373_L20_5-10-5_10uM_P2.1-1,8.779344599999998,2.657964527,0.15844296100350796,7.370136318333334,1.4092082816666638,0.3765182548504656,0.04487525624965745,1.9059853906163902
Rd2.1_P1+2_MT_20210723,D7,KQ479_10_P2.1-1,KQ479_L20_5-10-5_10uM_P2.1-1,7.742467689999998,1.621087625,0.3250902910214221,7.370136318333334,0.37233137166666364,0.7725330866560176,0.10020289903981244,1.9749156188253862
