Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp
ASO204-238_MT_1.2-9_20210701,I3,ASO205_10,KQ997_L20_5-10-5_10uM_P1.2-8,31.88219777,23.9717582,7.91,,,,0.55,,
ASO204-238_MT_1.2-9_20210701,I4,ASO205_10,KQ997_L20_5-10-5_10uM_P1.2-8,31.06338468,23.12590095,7.94,,,,0.57,0.58,0.67
ASO204-238_MT_1.2-9_20210701,I5,ASO205_10,KQ997_L20_5-10-5_10uM_P1.2-8,31.13011505,23.19984185,7.93,,,,0.57,,
ASO204-238_MT_1.2-9_20210701,I6,ASO205_10,KQ997_L20_5-10-5_10uM_P1.2-8,31.19644125,23.22493375,7.97,,,,0.61,,
ASO204-238_MT_1.2-9_20210701,I7,ASO205_3,KQ997_L20_5-10-5_3uM_P1.2-8,30.67485219,22.98644581,7.69,,,,0.32,0.31,0.81
ASO204-238_MT_1.2-9_20210701,I8,ASO205_3,KQ997_L20_5-10-5_3uM_P1.2-8,30.66309673,22.94449299,7.72,,,,0.35,,
ASO204-238_MT_1.2-9_20210701,I9,ASO205_3,KQ997_L20_5-10-5_3uM_P1.2-8,30.60694508,23.00427373,7.60,,,,0.24,,
ASO204-238_MT_1.2-9_20210701,I10,ASO205_3,KQ997_L20_5-10-5_3uM_P1.2-8,30.3416804,22.86221377,7.48,,,,0.11,0.18,0.88
ASO204-238_MT_1.2-9_20210701,I11,ASO205_3,KQ997_L20_5-10-5_3uM_P1.2-8,30.51715555,22.89263084,7.62,,,,0.26,,
ASO204-238_MT_1.2-9_20210701,I12,ASO205_3,KQ997_L20_5-10-5_3uM_P1.2-8,30.36518336,22.83172417,7.53,,,,0.17,,
ASO204-238_MT_1.2-9_20210701,I13,ASO232_10,KQ236_L20_5-10-5_10uM_P1.2-8,31.50319435,23.82806823,7.68,,,,0.31,0.21,0.87
ASO204-238_MT_1.2-9_20210701,I14,ASO232_10,KQ236_L20_5-10-5_10uM_P1.2-8,31.56052694,23.86684249,7.69,,,,0.33,,
