Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp
ASO1-95_total_1.2-6_20210630,G1,Na夫e_P1.2-1,Na夫e_P1.2-1,31.23284264,23.74683548,7.49,,,,-0.05,-0.14,1.11
ASO1-95_total_1.2-6_20210630,G2,Na夫e_P1.2-1,Na夫e_P1.2-1,31.25822926,23.78333716,7.47,,,,-0.06,,
ASO1-95_total_1.2-6_20210630,G3,Na夫e_P1.2-1,Na夫e_P1.2-1,31.00440642,23.78074616,7.22,,,,-0.32,,
ASO1-95_total_1.2-6_20210630,G4,Na夫e_P1.2-1,Na夫e_P1.2-1,30.72696919,23.60195347,7.13,,,,-0.41,-0.39,1.31
ASO1-95_total_1.2-6_20210630,G5,Na夫e_P1.2-1,Na夫e_P1.2-1,30.76310973,23.62918282,7.13,,,,-0.41,,
ASO1-95_total_1.2-6_20210630,G6,Na夫e_P1.2-1,Na夫e_P1.2-1,30.79680395,23.59859933,7.20,,,,-0.34,,
ASO1-95_total_1.2-6_20210630,G7,Na夫e_P1.2-1,Na夫e_P1.2-1,31.24643152,24.29390615,6.95,,,,-0.59,-0.53,1.45
ASO1-95_total_1.2-6_20210630,G8,Na夫e_P1.2-1,Na夫e_P1.2-1,31.22091149,24.28729766,6.93,,,,-0.61,,
ASO1-95_total_1.2-6_20210630,G9,Na夫e_P1.2-1,Na夫e_P1.2-1,31.37653036,24.24855404,7.13,,,,-0.41,,
ASO1-95_total_1.2-6_20210630,H1,Na夫e_P1.2-1,Na夫e_P1.2-1,31.35983467,24.07019542,7.29,,,,-0.25,-0.09,1.07
ASO1-95_total_1.2-6_20210630,H2,Na夫e_P1.2-1,Na夫e_P1.2-1,31.48504446,24.08127876,7.40,,,,-0.14,,
ASO1-95_total_1.2-6_20210630,H3,Na夫e_P1.2-1,Na夫e_P1.2-1,31.68230005,24.03223101,7.65,,,,0.11,,
ASO1-95_total_1.2-6_20210630,H4,Na夫e_P1.2-1,Na夫e_P1.2-1,31.02985147,23.83729798,7.19,,,,-0.35,-0.12,1.09
ASO1-95_total_1.2-6_20210630,H5,Na夫e_P1.2-1,Na夫e_P1.2-1,31.28778932,23.8408775,7.45,,,,-0.09,,
ASO1-95_total_1.2-6_20210630,H6,Na夫e_P1.2-1,Na夫e_P1.2-1,31.40902485,23.80621287,7.60,,,,0.06,,
ASO1-95_total_1.2-6_20210630,H7,Na夫e_P1.2-1,Na夫e_P1.2-1,31.50999575,24.08171093,7.43,,,,-0.11,-0.20,1.15
ASO1-95_total_1.2-6_20210630,H8,Na夫e_P1.2-1,Na夫e_P1.2-1,31.31905563,24.04798357,7.27,,,,-0.27,,
ASO1-95_total_1.2-6_20210630,H9,Na夫e_P1.2-1,Na夫e_P1.2-1,31.36737421,24.04368373,7.32,,,,-0.22,,
ASO1-95_total_1.2-6_20210630,G10,Ionis1375651_10_P1.2-1,Ionis1375651_10_P1.2-1,40,29.63899023,10.36,,,,2.82,2.82,0.14
ASO1-95_total_1.2-6_20210630,G11,Ionis1375651_10_P1.2-1,Ionis1375651_10_P1.2-1,40,29.61037803,10.39,,,,2.85,,
ASO1-95_total_1.2-6_20210630,G12,Ionis1375651_10_P1.2-1,Ionis1375651_10_P1.2-1,40,29.66155585,10.34,,,,2.80,,
ASO1-95_total_1.2-6_20210630,H10,Ionis1375651_10_P1.2-1,Ionis1375651_10_P1.2-1,40,31.10705644,8.89,,,,1.35,1.35,0.39
ASO1-95_total_1.2-6_20210630,H11,Ionis1375651_10_P1.2-1,Ionis1375651_10_P1.2-1,40,31.21248862,8.79,,,,1.25,,
ASO1-95_total_1.2-6_20210630,H12,Ionis1375651_10_P1.2-1,Ionis1375651_10_P1.2-1,40,31.01437231,8.99,,,,1.45,,
ASO1-95_total_1.2-6_20210630,G13,Ionis676630_10_P1.2-1,Ionis676630_10_P1.2-1,35.92640689,28.00888674,7.92,7.62,7.54,0.24,0.38,0.08,0.95
ASO1-95_total_1.2-6_20210630,G14,Ionis676630_10_P1.2-1,Ionis676630_10_P1.2-1,35.12688434,27.88590803,7.24,,,,-0.30,,
ASO1-95_total_1.2-6_20210630,G15,Ionis676630_10_P1.2-1,Ionis676630_10_P1.2-1,35.74837721,28.06177536,7.69,,,,0.15,,
ASO1-95_total_1.2-6_20210630,G16,Ionis676630_10_P1.2-1,Ionis676630_10_P1.2-1,35.37351441,27.63055381,7.74,7.74,,,0.20,0.21,0.87
ASO1-95_total_1.2-6_20210630,G17,Ionis676630_10_P1.2-1,Ionis676630_10_P1.2-1,35.82106691,27.58592693,8.24,,,,0.70,,
ASO1-95_total_1.2-6_20210630,G18,Ionis676630_10_P1.2-1,Ionis676630_10_P1.2-1,34.81367835,27.55727533,7.26,,,,-0.28,,
ASO1-95_total_1.2-6_20210630,H13,Ionis676630_10_P1.2-1,Ionis676630_10_P1.2-1,36.69041775,30.04661508,6.64,7.61,,,-0.90,0.07,0.95
ASO1-95_total_1.2-6_20210630,H14,Ionis676630_10_P1.2-1,Ionis676630_10_P1.2-1,38.24980928,30.03969749,8.21,,,,0.67,,
ASO1-95_total_1.2-6_20210630,H15,Ionis676630_10_P1.2-1,Ionis676630_10_P1.2-1,38.10422572,30.12295166,7.98,,,,0.44,,
ASO1-95_total_1.2-6_20210630,H16,Ionis676630_10_P1.2-1,Ionis676630_10_P1.2-1,37.02182082,30.63430142,6.39,7.18,,,-1.15,-0.35,1.28
ASO1-95_total_1.2-6_20210630,H17,Ionis676630_10_P1.2-1,Ionis676630_10_P1.2-1,36.12072885,30.42866104,5.69,,,,-1.85,,
ASO1-95_total_1.2-6_20210630,H18,Ionis676630_10_P1.2-1,Ionis676630_10_P1.2-1,40,30.52590919,9.47,,,,1.94,,
ASO1-95_total_1.2-6_20210630,A1,ASO1_10,KQ972_L20_5-10-5_10uM_P1.2-1,34.89534902,27.11181063,7.78,,,,0.24,0.16,0.90
ASO1-95_total_1.2-6_20210630,A2,ASO1_10,KQ972_L20_5-10-5_10uM_P1.2-1,35.10480598,27.03050743,8.07,,,,0.54,,
ASO1-95_total_1.2-6_20210630,A3,ASO1_10,KQ972_L20_5-10-5_10uM_P1.2-1,34.25539653,27.0222605,7.23,,,,-0.31,,
ASO1-95_total_1.2-6_20210630,A4,ASO1_10,KQ972_L20_5-10-5_10uM_P1.2-1,35.0251851,27.57770596,7.45,,,,-0.09,-0.14,1.10
ASO1-95_total_1.2-6_20210630,A5,ASO1_10,KQ972_L20_5-10-5_10uM_P1.2-1,35.21251726,27.49427779,7.72,,,,0.18,,
ASO1-95_total_1.2-6_20210630,A6,ASO1_10,KQ972_L20_5-10-5_10uM_P1.2-1,34.62274632,27.57932448,7.04,,,,-0.50,,
ASO1-95_total_1.2-6_20210630,A7,ASO1_3,KQ972_L20_5-10-5_3uM_P1.2-1,33.71655028,25.68985042,8.03,,,,0.49,0.44,0.74
ASO1-95_total_1.2-6_20210630,A8,ASO1_3,KQ972_L20_5-10-5_3uM_P1.2-1,33.35420964,25.65737802,7.70,,,,0.16,,
ASO1-95_total_1.2-6_20210630,A9,ASO1_3,KQ972_L20_5-10-5_3uM_P1.2-1,33.86509309,25.66416729,8.20,,,,0.66,,
ASO1-95_total_1.2-6_20210630,A10,ASO1_3,KQ972_L20_5-10-5_3uM_P1.2-1,34.16205594,25.95028089,8.21,,,,0.67,0.55,0.68
ASO1-95_total_1.2-6_20210630,A11,ASO1_3,KQ972_L20_5-10-5_3uM_P1.2-1,33.94561301,25.89782883,8.05,,,,0.51,,
ASO1-95_total_1.2-6_20210630,A12,ASO1_3,KQ972_L20_5-10-5_3uM_P1.2-1,33.98154341,25.96059182,8.02,,,,0.48,,
ASO1-95_total_1.2-6_20210630,A13,ASO11_10,KQ371_L20_5-10-5_10uM_P1.2-1,36.71826363,26.97640027,9.74,,,,2.20,1.71,0.31
ASO1-95_total_1.2-6_20210630,A14,ASO11_10,KQ371_L20_5-10-5_10uM_P1.2-1,36.06888211,27.14138181,8.93,,,,1.39,,
ASO1-95_total_1.2-6_20210630,A15,ASO11_10,KQ371_L20_5-10-5_10uM_P1.2-1,36.22319962,27.14605647,9.08,,,,1.54,,
ASO1-95_total_1.2-6_20210630,A16,ASO11_10,KQ371_L20_5-10-5_10uM_P1.2-1,37.44061341,26.5835331,10.86,,,,3.32,2.97,0.13
ASO1-95_total_1.2-6_20210630,A17,ASO11_10,KQ371_L20_5-10-5_10uM_P1.2-1,36.98673754,26.5735974,10.41,,,,2.87,,
ASO1-95_total_1.2-6_20210630,A18,ASO11_10,KQ371_L20_5-10-5_10uM_P1.2-1,36.87496481,26.61084441,10.26,,,,2.73,,
ASO1-95_total_1.2-6_20210630,A19,ASO11_3,KQ371_L20_5-10-5_3uM_P1.2-1,34.71481955,25.76706752,8.95,,,,1.41,1.78,0.29
ASO1-95_total_1.2-6_20210630,A20,ASO11_3,KQ371_L20_5-10-5_3uM_P1.2-1,34.75596425,25.68698583,9.07,,,,1.53,,
ASO1-95_total_1.2-6_20210630,A21,ASO11_3,KQ371_L20_5-10-5_3uM_P1.2-1,35.59690844,25.67103949,9.93,,,,2.39,,
ASO1-95_total_1.2-6_20210630,A22,ASO11_3,KQ371_L20_5-10-5_3uM_P1.2-1,34.84955981,25.78084159,9.07,,,,1.53,2.10,0.23
ASO1-95_total_1.2-6_20210630,A23,ASO11_3,KQ371_L20_5-10-5_3uM_P1.2-1,35.86197767,25.75037205,10.11,,,,2.57,,
ASO1-95_total_1.2-6_20210630,A24,ASO11_3,KQ371_L20_5-10-5_3uM_P1.2-1,35.50842607,25.78112266,9.73,,,,2.19,,
ASO1-95_total_1.2-6_20210630,B1,ASO3_10,KQ379_L20_5-10-5_10uM_P1.2-1,34.47499685,25.95529089,8.52,,,,0.98,1.17,0.44
ASO1-95_total_1.2-6_20210630,B2,ASO3_10,KQ379_L20_5-10-5_10uM_P1.2-1,34.63810635,25.97629898,8.66,,,,1.12,,
ASO1-95_total_1.2-6_20210630,B3,ASO3_10,KQ379_L20_5-10-5_10uM_P1.2-1,34.86263622,25.91121911,8.95,,,,1.41,,
ASO1-95_total_1.2-6_20210630,B4,ASO3_10,KQ379_L20_5-10-5_10uM_P1.2-1,34.50161274,25.94511821,8.56,,,,1.02,0.59,0.66
ASO1-95_total_1.2-6_20210630,B5,ASO3_10,KQ379_L20_5-10-5_10uM_P1.2-1,33.84920818,25.90755881,7.94,,,,0.40,,
ASO1-95_total_1.2-6_20210630,B6,ASO3_10,KQ379_L20_5-10-5_10uM_P1.2-1,33.78636452,25.89431433,7.89,,,,0.35,,
ASO1-95_total_1.2-6_20210630,B7,ASO3_3,KQ379_L20_5-10-5_3uM_P1.2-1,33.01900325,25.0642938,7.95,,,,0.42,0.76,0.59
ASO1-95_total_1.2-6_20210630,B8,ASO3_3,KQ379_L20_5-10-5_3uM_P1.2-1,33.24671989,25.00562438,8.24,,,,0.70,,
ASO1-95_total_1.2-6_20210630,B9,ASO3_3,KQ379_L20_5-10-5_3uM_P1.2-1,33.72908856,25.03785933,8.69,,,,1.15,,
ASO1-95_total_1.2-6_20210630,B10,ASO3_3,KQ379_L20_5-10-5_3uM_P1.2-1,33.95625415,25.49640312,8.46,,,,0.92,0.87,0.55
