Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp,,,
ASO42-266_MT_1.2-7_20210701,A1,ASO42_10,KQ316_L20_5-10-5_10uM_P1.2-3,36.78903513,31.09840641,5.69,,,,-1.90,-1.31,2.48,,,
ASO42-266_MT_1.2-7_20210701,A2,ASO42_10,KQ316_L20_5-10-5_10uM_P1.2-3,38.42569851,30.64761995,7.78,,,,0.18,,,,,
ASO42-266_MT_1.2-7_20210701,A3,ASO42_10,KQ316_L20_5-10-5_10uM_P1.2-3,36.13142163,30.74487395,5.39,,,,-2.21,,,,,
ASO42-266_MT_1.2-7_20210701,A4,ASO42_10,KQ316_L20_5-10-5_10uM_P1.2-3,36.85943594,30.57191948,6.29,,,,-1.31,-2.11,4.32,,,
ASO42-266_MT_1.2-7_20210701,A5,ASO42_10,KQ316_L20_5-10-5_10uM_P1.2-3,35.69930075,30.76478451,4.93,,,,-2.66,,,,,
ASO42-266_MT_1.2-7_20210701,A6,ASO42_10,KQ316_L20_5-10-5_10uM_P1.2-3,35.89284471,30.66548248,5.23,,,,-2.37,,,,,
ASO42-266_MT_1.2-7_20210701,A7,ASO42_3,KQ316_L20_5-10-5_3uM_P1.2-3,31.14362582,24.8831762,6.26,,,,-1.33,-1.40,2.64,,,
ASO42-266_MT_1.2-7_20210701,A8,ASO42_3,KQ316_L20_5-10-5_3uM_P1.2-3,30.98290934,24.84148329,6.14,,,,-1.45,,,,,
ASO42-266_MT_1.2-7_20210701,A9,ASO42_3,KQ316_L20_5-10-5_3uM_P1.2-3,31.04310088,24.86772309,6.18,,,,-1.42,,,,,
ASO42-266_MT_1.2-7_20210701,A10,ASO42_3,KQ316_L20_5-10-5_3uM_P1.2-3,31.49006754,25.52124997,5.97,,,,-1.63,-1.60,3.02,,,
ASO42-266_MT_1.2-7_20210701,A11,ASO42_3,KQ316_L20_5-10-5_3uM_P1.2-3,31.53684776,25.56854922,5.97,,,,-1.63,,,,,
ASO42-266_MT_1.2-7_20210701,A12,ASO42_3,KQ316_L20_5-10-5_3uM_P1.2-3,31.61368984,25.55906504,6.05,,,,-1.54,,,,,
ASO42-266_MT_1.2-7_20210701,A13,ASO68_10,KQ104_L20_5-10-5_10uM_P1.2-3,32.26340767,23.71990705,8.54,,,,0.95,1.02,0.49,,,
ASO42-266_MT_1.2-7_20210701,A14,ASO68_10,KQ104_L20_5-10-5_10uM_P1.2-3,32.34265966,23.75550885,8.59,,,,0.99,,,,,
ASO42-266_MT_1.2-7_20210701,A15,ASO68_10,KQ104_L20_5-10-5_10uM_P1.2-3,32.49497567,23.77815278,8.72,,,,1.12,,,,,
ASO42-266_MT_1.2-7_20210701,A16,ASO68_10,KQ104_L20_5-10-5_10uM_P1.2-3,31.41369216,22.9066006,8.51,,,,0.91,0.88,0.55,,,
ASO42-266_MT_1.2-7_20210701,A17,ASO68_10,KQ104_L20_5-10-5_10uM_P1.2-3,31.3447269,22.88519421,8.46,,,,0.87,,,,,
ASO42-266_MT_1.2-7_20210701,A18,ASO68_10,KQ104_L20_5-10-5_10uM_P1.2-3,31.40260868,22.96153121,8.44,,,,0.85,,,,,
ASO42-266_MT_1.2-7_20210701,A19,ASO68_3,KQ104_L20_5-10-5_3uM_P1.2-3,30.75724963,22.86321692,7.89,,,,0.30,0.32,0.80,,,
ASO42-266_MT_1.2-7_20210701,A20,ASO68_3,KQ104_L20_5-10-5_3uM_P1.2-3,30.76417523,22.83326123,7.93,,,,0.34,,,,,
ASO42-266_MT_1.2-7_20210701,A21,ASO68_3,KQ104_L20_5-10-5_3uM_P1.2-3,30.79465071,22.86346135,7.93,,,,0.34,,,,,
ASO42-266_MT_1.2-7_20210701,A22,ASO68_3,KQ104_L20_5-10-5_3uM_P1.2-3,30.82215534,22.68252473,8.14,,,,0.55,0.34,0.79,,,
ASO42-266_MT_1.2-7_20210701,A23,ASO68_3,KQ104_L20_5-10-5_3uM_P1.2-3,30.52505641,22.74423921,7.78,,,,0.19,,,,,
ASO42-266_MT_1.2-7_20210701,A24,ASO68_3,KQ104_L20_5-10-5_3uM_P1.2-3,30.65437793,22.77564708,7.88,,,,0.28,,,,,
