Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp
ASO1-95_WT_1.2-6_20210630,O1,Na夫e_P1.2-2,Na夫e_P1.2-2,32.29470409,23.98584398,8.31,,,,-0.02,-0.12,1.09
ASO1-95_WT_1.2-6_20210630,O2,Na夫e_P1.2-2,Na夫e_P1.2-2,32.21523445,23.99387175,8.22,,,,-0.10,,
ASO1-95_WT_1.2-6_20210630,O3,Na夫e_P1.2-2,Na夫e_P1.2-2,32.19432363,24.10817226,8.09,,,,-0.24,,
ASO1-95_WT_1.2-6_20210630,O4,Na夫e_P1.2-2,Na夫e_P1.2-2,32.06182114,23.85461644,8.21,,,,-0.12,-0.30,1.23
ASO1-95_WT_1.2-6_20210630,O5,Na夫e_P1.2-2,Na夫e_P1.2-2,32.04613879,23.87324819,8.17,,,,-0.15,,
ASO1-95_WT_1.2-6_20210630,O6,Na夫e_P1.2-2,Na夫e_P1.2-2,31.54443113,23.84265672,7.70,,,,-0.62,,
ASO1-95_WT_1.2-6_20210630,O7,Na夫e_P1.2-2,Na夫e_P1.2-2,32.12563442,24.12530469,8.00,,,,-0.32,-0.50,1.42
ASO1-95_WT_1.2-6_20210630,O8,Na夫e_P1.2-2,Na夫e_P1.2-2,31.77071731,24.1133251,7.66,,,,-0.67,,
ASO1-95_WT_1.2-6_20210630,O9,Na夫e_P1.2-2,Na夫e_P1.2-2,31.93971585,24.13181937,7.81,,,,-0.52,,
ASO1-95_WT_1.2-6_20210630,P1,Na夫e_P1.2-2,Na夫e_P1.2-2,32.13047985,23.91926359,8.21,,,,-0.11,-0.21,1.16
ASO1-95_WT_1.2-6_20210630,P2,Na夫e_P1.2-2,Na夫e_P1.2-2,32.08955211,23.92878221,8.16,,,,-0.16,,
ASO1-95_WT_1.2-6_20210630,P3,Na夫e_P1.2-2,Na夫e_P1.2-2,31.95217276,23.98520575,7.97,,,,-0.36,,
ASO1-95_WT_1.2-6_20210630,P4,Na夫e_P1.2-2,Na夫e_P1.2-2,31.94773086,23.60326119,8.34,,,,0.02,-0.05,1.03
ASO1-95_WT_1.2-6_20210630,P5,Na夫e_P1.2-2,Na夫e_P1.2-2,31.68157385,23.59665808,8.08,,,,-0.24,,
ASO1-95_WT_1.2-6_20210630,P6,Na夫e_P1.2-2,Na夫e_P1.2-2,32.07944199,23.67775325,8.40,,,,0.08,,
ASO1-95_WT_1.2-6_20210630,P7,Na夫e_P1.2-2,Na夫e_P1.2-2,31.92469908,23.85641405,8.07,,,,-0.26,-0.13,1.09
ASO1-95_WT_1.2-6_20210630,P8,Na夫e_P1.2-2,Na夫e_P1.2-2,32.05709216,23.84668769,8.21,,,,-0.11,,
ASO1-95_WT_1.2-6_20210630,P9,Na夫e_P1.2-2,Na夫e_P1.2-2,32.18087249,23.86887081,8.31,,,,-0.01,,
ASO1-95_WT_1.2-6_20210630,O10,Ionis1375651_10_P1.2-2,Ionis1375651_10_P1.2-2,37.33101669,27.87584405,9.46,,,,1.13,1.43,0.37
ASO1-95_WT_1.2-6_20210630,O11,Ionis1375651_10_P1.2-2,Ionis1375651_10_P1.2-2,36.43323251,28.00276616,8.43,,,,0.11,,
ASO1-95_WT_1.2-6_20210630,O12,Ionis1375651_10_P1.2-2,Ionis1375651_10_P1.2-2,39.35379419,27.96022339,11.39,,,,3.07,,
ASO1-95_WT_1.2-6_20210630,P10,Ionis1375651_10_P1.2-2,Ionis1375651_10_P1.2-2,37.04906764,28.11152347,8.94,,,,0.61,2.05,0.24
ASO1-95_WT_1.2-6_20210630,P11,Ionis1375651_10_P1.2-2,Ionis1375651_10_P1.2-2,40,28.04788644,11.95,,,,3.63,,
