Experiment Name,Position,SampleName,ASO Short Description ,Target SNP ID,CrossingPoint,CrossingPoint.1,dCt,Unnamed: 8,Avg,SD,ddCt,Avg_ddCt,Exp
Rd2.3_P3+4_WT_20210726,G1,Naïve_P2.3-3,Naïve_P2.3-3,,30.5988385400859,24.3886537070269,6.2101848330589995,6.1281684388203,6.336550905080376,0.17557951808249583,-0.1263660720213764,-0.20838246626007617,1.1553920446376973
Rd2.3_P3+4_WT_20210726,G2,Naïve_P2.3-3,Naïve_P2.3-3,,30.4374440796271,24.4324478564311,6.004996223195999,,,,-0.3315546818843771,,
Rd2.3_P3+4_WT_20210726,G3,Naïve_P2.3-3,Naïve_P2.3-3,,30.6445375364099,24.475213276204,6.169324260205901,,,,-0.16722664487447503,,
Rd2.3_P3+4_WT_20210726,G4,Naïve_P2.3-3,Naïve_P2.3-3,,30.2737591756866,24.0396955545471,6.234063621139498,6.2593617225040665,,,-0.10248728394087792,-0.07718918257630965,1.0549606464324126
Rd2.3_P3+4_WT_20210726,G5,Naïve_P2.3-3,Naïve_P2.3-3,,30.5373177626389,24.1170754258856,6.420242336753301,,,,0.08369143167292492,,
Rd2.3_P3+4_WT_20210726,G6,Naïve_P2.3-3,Naïve_P2.3-3,,30.2547242879978,24.1309450783784,6.1237792096194,,,,-0.21277169546097596,,
Rd2.3_P3+4_WT_20210726,H1,Naïve_P2.3-3,Naïve_P2.3-3,,30.2093402214782,24.3068627419099,5.902477479568301,6.445222978244501,,,-0.43407342551207506,0.10867207316412457,0.9274413313417007
Rd2.3_P3+4_WT_20210726,H2,Naïve_P2.3-3,Naïve_P2.3-3,,31.0864416669356,24.3720502796014,6.714391387334199,,,,0.3778404822538235,,
Rd2.3_P3+4_WT_20210726,H3,Naïve_P2.3-3,Naïve_P2.3-3,,31.1164949398112,24.3976948719802,6.718800067831001,,,,0.38224916275062526,,
Rd2.3_P3+4_WT_20210726,H4,Naïve_P2.3-3,Naïve_P2.3-3,,30.6924590792989,24.1473417623787,6.545117316920198,6.513450480752634,,,0.20856641183982205,0.1768995756722577,0.8846020093078751
Rd2.3_P3+4_WT_20210726,H5,Naïve_P2.3-3,Naïve_P2.3-3,,30.6941890440116,24.2222018330385,6.471987210973101,,,,0.13543630589272482,,
Rd2.3_P3+4_WT_20210726,H6,Naïve_P2.3-3,Naïve_P2.3-3,,30.745710257609,24.2224633432444,6.523246914364602,,,,0.18669600928422625,,
Rd2.3_P3+4_WT_20210726,G7,Ionis1375651_10_P2.3-3,Ionis1375651_10uM_P2.3-3,,33.8621947638957,24.5535869366334,9.3086078272623,,,,2.972056922181924,2.9646852118265925,0.12809755001537682
Rd2.3_P3+4_WT_20210726,G8,Ionis1375651_10_P2.3-3,Ionis1375651_10uM_P2.3-3,,33.9450055537593,24.5862261319799,9.358779421779403,,,,3.022228516699027,,
Rd2.3_P3+4_WT_20210726,G9,Ionis1375651_10_P2.3-3,Ionis1375651_10uM_P2.3-3,,33.8967955920585,24.6604744903793,9.236321101679202,,,,2.8997701965988263,,
Rd2.3_P3+4_WT_20210726,H7,Ionis1375651_10_P2.3-3,Ionis1375651_10uM_P2.3-3,,35.1781103541281,25.4086167145873,9.769493639540801,,,,3.4329427344604255,3.627628508677091,0.08090493359498001
Rd2.3_P3+4_WT_20210726,H8,Ionis1375651_10_P2.3-3,Ionis1375651_10uM_P2.3-3,,35.5084617792645,25.5264064126708,9.982055366593702,,,,3.645504461513326,,
Rd2.3_P3+4_WT_20210726,H9,Ionis1375651_10_P2.3-3,Ionis1375651_10uM_P2.3-3,,35.724044930979,25.5830556958411,10.140989235137898,,,,3.804438330057522,,
Rd2.3_P3+4_WT_20210726,G10,Ionis1375651_3_P2.3-3,Ionis1375651_3uM_P2.3-3,,31.1272282218858,23.1345095828713,7.992718639014502,,,,1.6561677339341259,1.6510959768882252,0.3183981863344383
Rd2.3_P3+4_WT_20210726,G11,Ionis1375651_3_P2.3-3,Ionis1375651_3uM_P2.3-3,,31.2875154307294,23.1923281976385,8.0951872330909,,,,1.7586363280105246,,
Rd2.3_P3+4_WT_20210726,G12,Ionis1375651_3_P2.3-3,Ionis1375651_3uM_P2.3-3,,31.1310830736766,23.2560482998762,7.875034773800401,,,,1.538483868720025,,
Rd2.3_P3+4_WT_20210726,H10,Ionis1375651_3_P2.3-3,Ionis1375651_3uM_P2.3-3,,32.1057911865226,23.5241477809382,8.581643405584401,,,,2.2450925005040254,2.200344605011292,0.2175856616717822
Rd2.3_P3+4_WT_20210726,H11,Ionis1375651_3_P2.3-3,Ionis1375651_3uM_P2.3-3,,31.9391757510473,23.5693485434137,8.369827207633602,,,,2.033276302553226,,
Rd2.3_P3+4_WT_20210726,H12,Ionis1375651_3_P2.3-3,Ionis1375651_3uM_P2.3-3,,32.2872125122053,23.6279965951483,8.659215917057,,,,2.322665011976625,,
Rd2.3_P3+4_WT_20210726,G13,Ionis676630_10_P2.3-3,Ionis676630_10uM_P2.3-3,,30.6630443378697,23.5258940565739,7.137150281295799,,,,0.8005993762154233,0.8044355506664248,0.5725860587519971
Rd2.3_P3+4_WT_20210726,G14,Ionis676630_10_P2.3-3,Ionis676630_10uM_P2.3-3,,30.7783917957797,23.5919591679937,7.186432627786001,,,,0.849881722705625,,
Rd2.3_P3+4_WT_20210726,G15,Ionis676630_10_P2.3-3,Ionis676630_10uM_P2.3-3,,30.7272702977769,23.6278938396183,7.099376458158602,,,,0.7628255530782262,,
Rd2.3_P3+4_WT_20210726,H13,Ionis676630_10_P2.3-3,Ionis676630_10uM_P2.3-3,,33.7941570010374,26.2738691401476,7.520287860889798,,,,1.1837369558094224,0.9620213617972245,0.5133371718872035
Rd2.3_P3+4_WT_20210726,H14,Ionis676630_10_P2.3-3,Ionis676630_10uM_P2.3-3,,33.5946731619361,26.3576240040201,7.237049157916001,,,,0.9004982528356251,,
Rd2.3_P3+4_WT_20210726,H15,Ionis676630_10_P2.3-3,Ionis676630_10uM_P2.3-3,,33.5137586698913,26.3753788880643,7.138379781827002,,,,0.801828876746626,,
Rd2.3_P3+4_WT_20210726,G16,Ionis676630_3_P2.3-3,Ionis676630_3uM_P2.3-3,,29.7043466237474,22.9494933328136,6.754853290933802,,,,0.4183023858534263,0.40521270907059065,0.7551249499381549
Rd2.3_P3+4_WT_20210726,G17,Ionis676630_3_P2.3-3,Ionis676630_3uM_P2.3-3,,29.6916568249654,22.9908876132122,6.700769211753197,,,,0.3642183066728215,,
Rd2.3_P3+4_WT_20210726,G18,Ionis676630_3_P2.3-3,Ionis676630_3uM_P2.3-3,,29.7711909519791,23.0015226122132,6.7696683397659,,,,0.4331174346855242,,
Rd2.3_P3+4_WT_20210726,H16,Ionis676630_3_P2.3-3,Ionis676630_3uM_P2.3-3,,29.9387833152836,22.9559452154452,6.9828380998384,,,,0.646287194758024,0.6706385020102914,0.6282285869129114
