Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1,dCt,Avg,SD,ddCt,Avg_ddCt,Exp,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
ASO409-432_MT_20210621,G1,Naïve_P35,Naïve_P35,28.306512660272,21.1476185710488,7.1588940892232,7.350479160278971,0.1514478165611552,-0.19158507105577183,-0.21282101467553863,1.1589521597026802,,,,
ASO409-432_MT_20210621,G2,Naïve_P35,Naïve_P35,28.2390622003705,21.1065907251137,7.1324714752568,,,-0.2180076850221715,,,,,,
ASO409-432_MT_20210621,G3,Naïve_P35,Naïve_P35,28.1687358996731,21.0471270273428,7.121608872330299,,,-0.2288702879486726,,,,,,
ASO409-432_MT_20210621,G4,Naïve_P35,Naïve_P35,28.6243649170844,21.3985651557387,7.225799761345698,,,-0.12467939893327351,-0.11893725923937293,1.0859346295389276,,,,
ASO409-432_MT_20210621,G5,Naïve_P35,Naïve_P35,28.5827156418593,21.3403835146844,7.2423321271748975,,,-0.10814703310407392,,,,,,
ASO409-432_MT_20210621,G6,Naïve_P35,Naïve_P35,28.543424714488,21.3169308998898,7.2264938145982,,,-0.12398534568077135,,,,,,
ASO409-432_MT_20210621,G7,Naïve_P35,Naïve_P35,28.6293987283122,21.3050861823644,7.324312545947802,,,-0.026166614331169846,-0.07119391532193742,1.05058574570372,,,,
ASO409-432_MT_20210621,G8,Naïve_P35,Naïve_P35,28.5312491193927,21.239258390589,7.2919907288037,,,-0.05848843147527116,,,,,,
ASO409-432_MT_20210621,G9,Naïve_P35,Naïve_P35,28.3889300244061,21.1673775642865,7.2215524601196,,,-0.12892670015937124,,,,,,
ASO409-432_MT_20210621,H1,Naïve_P35,Naïve_P35,28.552209436956,20.9675762339081,7.5846332030479005,,,0.23415404276892904,0.15986441528322803,0.8951091894837392,,,,
ASO409-432_MT_20210621,H2,Naïve_P35,Naïve_P35,28.3571229041434,20.9051303699985,7.4519925341449,,,0.10151337386592818,,,,,,
ASO409-432_MT_20210621,H3,Naïve_P35,Naïve_P35,28.3689258433317,20.8745208538379,7.494404989493798,,,0.14392582921482688,,,,,,
ASO409-432_MT_20210621,H4,Naïve_P35,Naïve_P35,28.8959748063434,21.5014752671213,7.3944995392221,,,0.04402037894312816,0.11837563350539515,0.9212242964401073,,,,
ASO409-432_MT_20210621,H5,Naïve_P35,Naïve_P35,28.9745246096204,21.4121580525704,7.562366557049998,,,0.21188739677102664,,,,,,
ASO409-432_MT_20210621,H6,Naïve_P35,Naïve_P35,28.7989732686447,21.3492749835637,7.449698285081002,,,0.09921912480203066,,,,,,
ASO409-432_MT_20210621,H7,Naïve_P35,Naïve_P35,28.9337912200828,21.436913635091,7.4968775849918,,,0.14639842471282893,0.12471214044822876,0.9171870303930904,,,,
ASO409-432_MT_20210621,H8,Naïve_P35,Naïve_P35,28.844853408728,21.3865839054125,7.458269503315499,,,0.10779034303652768,,,,,,
ASO409-432_MT_20210621,H9,Naïve_P35,Naïve_P35,28.8385286199505,21.3681018060762,7.470426813874301,,,0.11994765359532966,,,,,,
ASO409-432_MT_20210621,G10,Ionis1375651_10_P35,Ionis1375651_10uM_P35,34.6473571436592,25.71817253764,8.929184606019199,,,1.5787054457402272,1.5854722989702295,0.3332155657357121,,,,
ASO409-432_MT_20210621,G11,Ionis1375651_10_P35,Ionis1375651_10uM_P35,34.7351798492924,25.6905743223202,9.044605526972202,,,1.6941263666932302,,,,,,
ASO409-432_MT_20210621,G12,Ionis1375651_10_P35,Ionis1375651_10uM_P35,34.5284800490314,25.6944158042752,8.834064244756203,,,1.4835850844772311,,,,,,
ASO409-432_MT_20210621,H10,Ionis1375651_10_P35,Ionis1375651_10uM_P35,33.950427268926,26.867685968549,7.082741300376998,,,-0.2677378599019731,0.049379612015494644,0.9663517903631123,,,,
ASO409-432_MT_20210621,H11,Ionis1375651_10_P35,Ionis1375651_10uM_P35,34.7283470984398,26.8123353835747,7.9160117148651,,,0.5655325545861283,,,,,,
ASO409-432_MT_20210621,H12,Ionis1375651_10_P35,Ionis1375651_10uM_P35,33.9861374824837,26.7853141808424,7.2008233016413,,,-0.14965585863767128,,,,,,
ASO409-432_MT_20210621,G13,Ionis1375651_3_P35,Ionis1375651_3uM_P35,32.8923917558722,24.8273933887876,8.064998367084598,,,0.714519206805627,0.8689143716236277,0.5475587337229098,,,,
ASO409-432_MT_20210621,G14,Ionis1375651_3_P35,Ionis1375651_3uM_P35,33.1300177059891,24.8048973528154,8.325120353173698,,,0.974641192894727,,,,,,
ASO409-432_MT_20210621,G15,Ionis1375651_3_P35,Ionis1375651_3uM_P35,32.9983354101698,24.7302735347203,8.2680618754495,,,0.9175827151705294,,,,,,
ASO409-432_MT_20210621,H13,Ionis1375651_3_P35,Ionis1375651_3uM_P35,33.9159034843298,25.2336619680618,8.682241516268004,,,1.3317623559890324,1.2323925438059289,0.4256110333431591,,,,
ASO409-432_MT_20210621,H14,Ionis1375651_3_P35,Ionis1375651_3uM_P35,33.7607241068415,25.2143563909848,8.5463677158567,,,1.1958885555777288,,,,,,
ASO409-432_MT_20210621,H15,Ionis1375651_3_P35,Ionis1375651_3uM_P35,33.7468856484348,25.2268797683048,8.520005880129997,,,1.1695267198510253,,,,,,
ASO409-432_MT_20210621,G16,Ionis676630_10_P35,Ionis676630_10uM_P35,31.8753059114066,25.6930695074594,6.182236403947201,,,-1.1682427563317708,-1.2823900138892712,2.432416049616206,,,,
