Experiment Name,Position,SampleName,ASO Microsynth ID ,CrossingPoint,CrossingPoint.1,dCt,Unnamed: 7,Avg,SD,ddCt,Avg_ddCt,Exp,Unnamed: 13,Unnamed: 14,Unnamed: 15
ASO469-516_MT_1.2-4_20210630,G1,Naïve_P40,Naïve_P40,28.5471744773089,20.9013106447448,7.6458638325641,,,,-1.2181559507755573,-1.1752924613481237,2.2583865805359835,,,
ASO469-516_MT_1.2-4_20210630,G2,Naïve_P40,Naïve_P40,28.6046207518599,20.8686768012656,7.735943950594301,,,,-1.1280758327453562,,,,,
ASO469-516_MT_1.2-4_20210630,G3,Naïve_P40,Naïve_P40,28.5688994352836,20.8845252524674,7.6843741828161995,,,,-1.1796456005234575,,,,,
ASO469-516_MT_1.2-4_20210630,G4,Naïve_P40,Naïve_P40,28.8013204625401,20.9102521158926,7.891068346647501,,,,-0.9729514366921563,-0.9627616734558906,1.949037263251553,,,
ASO469-516_MT_1.2-4_20210630,G5,Naïve_P40,Naïve_P40,28.765243794805,20.8663406792703,7.898903115534697,,,,-0.9651166678049599,,,,,
ASO469-516_MT_1.2-4_20210630,G6,Naïve_P40,Naïve_P40,28.7886383663866,20.8748354989175,7.913802867469101,,,,-0.9502169158705556,,,,,
ASO469-516_MT_1.2-4_20210630,G7,Naïve_P40,Naïve_P40,28.1885635071456,20.55104761064,7.637515896505597,,,,-1.2265038868340596,-1.2194440948004253,2.328569745955604,,,
ASO469-516_MT_1.2-4_20210630,G8,Naïve_P40,Naïve_P40,28.1331628094139,20.49390948755,7.639253321863901,,,,-1.224766461475756,,,,,
ASO469-516_MT_1.2-4_20210630,G9,Naïve_P40,Naïve_P40,28.1859846499592,20.529026802711,7.656957847248197,,,,-1.2070619360914598,,,,,
ASO469-516_MT_1.2-4_20210630,H1,Naïve_P40,Naïve_P40,28.7026550218651,20.8493050920563,7.8533499298088,,,,-1.0106698535308567,-0.9977173298107237,1.9968380493088946,,,
ASO469-516_MT_1.2-4_20210630,H2,Naïve_P40,Naïve_P40,28.655453706554,20.8084465270635,7.8470071794905,,,,-1.0170126038491567,,,,,
ASO469-516_MT_1.2-4_20210630,H3,Naïve_P40,Naïve_P40,28.6797023785402,20.7811521272527,7.898550251287499,,,,-0.9654695320521576,,,,,
ASO469-516_MT_1.2-4_20210630,H4,Naïve_P40,Naïve_P40,28.6091932025298,20.4450333866821,8.1641598158477,,,,-0.6998599674919568,-0.7471894064578564,1.6785196268027758,,,
ASO469-516_MT_1.2-4_20210630,H5,Naïve_P40,Naïve_P40,28.5009935561446,20.4158989073215,8.085094648823102,,,,-0.7789251345165553,,,,,
ASO469-516_MT_1.2-4_20210630,H6,Naïve_P40,Naïve_P40,28.5234708671301,20.4222342011555,8.1012366659746,,,,-0.762783117365057,,,,,
ASO469-516_MT_1.2-4_20210630,H7,Naïve_P40,Naïve_P40,28.7585670355891,20.9434921335482,7.815074902040898,,,,-1.048944881298759,-1.064865471713624,2.0919747982279127,,,
ASO469-516_MT_1.2-4_20210630,H8,Naïve_P40,Naïve_P40,28.6492681054706,20.9005504644278,7.748717641042802,,,,-1.115302142296855,,,,,
ASO469-516_MT_1.2-4_20210630,H9,Naïve_P40,Naïve_P40,28.7763425581025,20.9426721663081,7.833670391794399,,,,-1.0303493915452577,,,,,
ASO469-516_MT_1.2-4_20210630,G10,Ionis1375651_10_P40,Ionis1375651_10_P40,35.8680607677937,24.9332423407846,10.934818427009102,,,,2.0707986436694448,1.983911801169911,0.252803474822805,,,
ASO469-516_MT_1.2-4_20210630,G11,Ionis1375651_10_P40,Ionis1375651_10_P40,36.2292250863822,24.9526106133176,11.276614473064601,,,,2.412594689724944,,,,,
ASO469-516_MT_1.2-4_20210630,G12,Ionis1375651_10_P40,Ionis1375651_10_P40,35.243525155316,24.911163301861,10.332361853455001,,,,1.4683420701153445,,,,,
ASO469-516_MT_1.2-4_20210630,H10,Ionis1375651_10_P40,Ionis1375651_10_P40,40.0,26.536764946008,13.463235053992001,,,,4.599215270652344,3.7159876186445424,0.07609852924894589,,,
ASO469-516_MT_1.2-4_20210630,H11,Ionis1375651_10_P40,Ionis1375651_10_P40,40.0,26.5086637821554,13.491336217844601,,,,4.6273164345049445,,,,,
ASO469-516_MT_1.2-4_20210630,H12,Ionis1375651_10_P40,Ionis1375651_10_P40,37.3266996668121,26.5412487326961,10.785450934115996,,,,1.921431150776339,,,,,
ASO469-516_MT_1.2-4_20210630,G13,Ionis676630_10_P40,Ionis676630_10_P40,33.6460017690673,25.2138364656404,8.432165303426896,8.388987083636664,8.864019783339657,0.5757131091980229,-0.4318544799127615,-0.475032699702993,1.3899497236783982,,,
ASO469-516_MT_1.2-4_20210630,G14,Ionis676630_10_P40,Ionis676630_10_P40,33.6267795008943,25.2482249038873,8.378554597007,,,,-0.48546518633265734,,,,,
ASO469-516_MT_1.2-4_20210630,G15,Ionis676630_10_P40,Ionis676630_10_P40,33.566686867608,25.2104455171319,8.356241350476097,,,,-0.5077784328635602,,,,,
