ASO Microsynth ID ,Exp,Unnamed: 2,Unnamed: 3,ID,N1,N2,N3,N4,N5,N6
KQ2052_L21_7-08-6_10uM_P40,,,,,,,,,,
KQ2052_L21_7-08-6_10uM_P40,,,,,,,,,,
KQ2052_L21_7-08-6_10uM_P40,1.662638235685115,,,,,,,,,
KQ2052_L21_7-08-6_10uM_P40,,,,,,,,,,
KQ2052_L21_7-08-6_10uM_P40,,,,,,,,,,
KQ2052_L21_7-08-6_3uM_P40,0.945022039478686,,,,,,,,,
KQ2052_L21_7-08-6_3uM_P40,,,,,,,,,,
KQ2052_L21_7-08-6_3uM_P40,,,,,,,,,,
KQ2052_L21_7-08-6_3uM_P40,1.253638934526403,,,,,,,,,
KQ2052_L21_7-08-6_3uM_P40,,,,,,,,,,
KQ2052_L21_7-08-6_3uM_P40,,,,,,,,,,
KQ2053_L21_7-08-6_10uM_P40,0.5338521635288971,,,,,,,,,
KQ2053_L21_7-08-6_10uM_P40,,,,,,,,,,
KQ2053_L21_7-08-6_10uM_P40,,,,,,,,,,
KQ2053_L21_7-08-6_10uM_P40,0.8124753937879049,,,,,,,,,
KQ2053_L21_7-08-6_10uM_P40,,,,,,,,,,
KQ2053_L21_7-08-6_10uM_P40,,,,,,,,,,
KQ2053_L21_7-08-6_3uM_P40,0.5747532586950359,,,,,,,,,
KQ2053_L21_7-08-6_3uM_P40,,,,,,,,,,
KQ2053_L21_7-08-6_3uM_P40,,,,,,,,,,
KQ2053_L21_7-08-6_3uM_P40,1.173389122084678,,,,,,,,,
KQ2053_L21_7-08-6_3uM_P40,,,,,,,,,,
KQ2053_L21_7-08-6_3uM_P40,,,,,,,,,,
KQ2054_L21_7-08-6_10uM_P40,1.0024280248774324,,,,,,,,,
KQ2054_L21_7-08-6_10uM_P40,,,,,,,,,,
KQ2054_L21_7-08-6_10uM_P40,,,,,,,,,,
KQ2054_L21_7-08-6_10uM_P40,0.8186000165618154,,,,,,,,,
KQ2054_L21_7-08-6_10uM_P40,,,,,,,,,,
KQ2054_L21_7-08-6_10uM_P40,,,,,,,,,,
KQ2054_L21_7-08-6_3uM_P40,1.123808462610227,,,,,,,,,
KQ2054_L21_7-08-6_3uM_P40,,,,,,,,,,
KQ2054_L21_7-08-6_3uM_P40,,,,,,,,,,
KQ2054_L21_7-08-6_3uM_P40,0.5284909016894288,,,,,,,,,
KQ2054_L21_7-08-6_3uM_P40,,,,,,,,,,
