Experiment Name,Position,SampleName,ASO Short Description ,Target SNP ID,CrossingPoint,CrossingPoint.1,dCt,Unnamed: 8,Avg,SD,ddCt,Avg_ddCt,Exp
Rd2.3_P7+8_Total_20210726,P13,Ionis676630_10_P2.3-8,Ionis676630_10uM_P2.3-8,,30.7728829215849,24.0279102539935,6.744972667591398,,,,0.7254320351616474,0.7650359318203149,0.5884387127487906
Rd2.3_P7+8_Total_20210726,P14,Ionis676630_10_P2.3-8,Ionis676630_10uM_P2.3-8,,30.6455248815463,24.0964559332079,6.549068948338402,,,,0.5295283159086512,,
Rd2.3_P7+8_Total_20210726,P15,Ionis676630_10_P2.3-8,Ionis676630_10uM_P2.3-8,,31.1210928936024,24.061404816782,7.059688076820397,,,,1.0401474443906462,,
Rd2.3_P7+8_Total_20210726,O16,Ionis676630_3_P2.3-8,Ionis676630_3uM_P2.3-8,,29.4092928210069,22.8038390100936,6.6054538109133,,,,0.5859131784835494,0.48280690634608153,0.715584029030226
Rd2.3_P7+8_Total_20210726,O17,Ionis676630_3_P2.3-8,Ionis676630_3uM_P2.3-8,,29.3397011595107,22.913792398316,6.425908761194698,,,,0.40636812876494766,,
Rd2.3_P7+8_Total_20210726,O18,Ionis676630_3_P2.3-8,Ionis676630_3uM_P2.3-8,,29.3768502949332,22.9011702507137,6.475680044219498,,,,0.4561394117897475,,
Rd2.3_P7+8_Total_20210726,P16,Ionis676630_3_P2.3-8,Ionis676630_3uM_P2.3-8,,30.2702803805975,23.4422423669966,6.828038013600903,,,,0.8084973811711524,0.8919231703142175,0.5388952702373474
Rd2.3_P7+8_Total_20210726,P17,Ionis676630_3_P2.3-8,Ionis676630_3uM_P2.3-8,,30.4800289991492,23.5244172537679,6.955611745381301,,,,0.9360711129515504,,
Rd2.3_P7+8_Total_20210726,P18,Ionis676630_3_P2.3-8,Ionis676630_3uM_P2.3-8,,30.5813930860826,23.6306514368329,6.9507416492497,,,,0.9312010168199496,,
Rd2.3_P7+8_Total_20210726,I1,BS189_10_P2.3-8,BS189_TMO_10uM_P2.3-8,rs112267440,28.6961723329171,22.927931994163,5.768240338754101,,,,-0.25130029367564966,-0.21343556200615113,1.1594459457437611
