,Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt from Naive,Exp from Naive,Avg dCt Ionis676630,ddCt,Exp,Exp_std,Exp_zscore
0,Rd2.3_P1+2_MT_20210723,C7,KQ2007_3_P2.3-1,KQ2007_L21_6-10-5_3uM_P2.3-1,7.960398650334501,1.6069837212323073,0.32828398555438676,7.195706072926993,0.7646925774075077,0.5885787749708813,0.05995698878727286,1.8756917243325006
1,Rd2.3_P1+2_MT_20210723,A17,KQJM085_10_P2.3-1,KQJM085_L18_5-08-5_10uM_P2.3-1,7.425241632440699,1.0718267033385054,0.47571627781722814,7.195706072926993,0.22953555951370586,0.8529094209652959,0.08600107843562954,1.9425297153141163
2,Rd2.3_P1+2_Total_20210723,B12,KQ2070_3_P2.3-1,KQ2070_L20_6-08-6_3uM_P2.3-1,6.411772827391399,0.8265843658835408,0.5638626290263478,6.815801062002908,-0.40402823461150916,1.3231973356075462,0.08686812367893053,1.9221324264102928
3,Rd2.3_P1+2_Total_20210723,F6,KQ2071_10_P2.3-1,KQ2071_L20_6-08-6_10uM_P2.3-1,8.4906156933843,2.905427231876441,0.13346864547307583,6.815801062002908,1.6748146313813912,0.3132063502454067,0.3445024677422058,1.871847273334437
4,Rd2.3_P1+2_Total_20210723,D7,KQ258_3_P2.3-1,KQ258_L20_5-10-5_3uM_P2.3-1,6.730156147151799,1.144967685643941,0.45219981731210696,6.815801062002908,-0.08564491485110892,1.061161996961568,0.0561323161817768,1.8035184339597194
5,Rd2.3_P1+2_Total_20210723,B2,KQ380_10_P2.3-1,KQ380_L20_5-10-5_10uM_P2.3-1,6.677131519208402,1.0919430577005436,0.4691291141269217,6.815801062002908,-0.13866954279450638,1.1008894044646205,0.20914651375496893,1.803647939137765
6,Rd2.3_P1+2_Total_20210723,B20,KQ380_3_P2.3-1,KQ380_L20_5-10-5_3uM_P2.3-1,6.854596443803199,1.2694079822953412,0.41482996570274616,6.815801062002908,0.038795381800291295,0.9734674317676669,0.24924455072428084,1.8070532908758847
7,Rd2.3_P1+2_WT_20210723,D4,KQ2019_10_P2.3-1,KQ2019_L21_6-10-5_10uM_P2.3-1,7.528898176129999,1.051203985922449,0.48256527661353815,7.2467528528975835,0.2821453232324158,0.8223672271696593,0.07815825790018727,1.8771308587294881
8,Rd2.3_P1+2_WT_20210723,B8,KQ380_3_P2.3-1,KQ380_L20_5-10-5_3uM_P2.3-1,7.069585580359,0.5918913901514493,0.6634725163614189,7.2467528528975835,-0.17716727253858355,1.130661653512161,0.04417216128073114,1.8283141539316647
9,Rd2.3_P1+2_MT_20210723,M14,KQ279_10_P2.3-2,KQ279_L20_5-10-5_10uM_P2.3-2,8.3750166059855,2.296174799783317,0.20360222042548834,6.946710318883919,1.4283062871015817,0.371566853332207,0.06526713626294688,1.9002065882614323
