,Experiment Name,SampleName,ASO Microsynth ID,Exp_zscore,Exp,Test plate #,Avg Exp,Avg Exp_zscore,Avg Exp_zscore range,Exp t_stat,Exp p_value,Exp dof,Tier
672,ASO217-240_MT_20210616,ASO219_10,KQ500_L20_5-10-5_10uM_P19,0.2802621133061233,0.1233713003727802,19.0,0.1728657315191521,0.3828988915223199,0.6381648192038658,0.6809036629537163,0.550365460464328,3.848026114022773,1A
673,ASO217-240_WT_20210616,ASO219_10,KQ500_L20_5-10-5_10uM_P19,0.6279128029801461,0.1629706594031341,19.0,0.20536767662526842,-0.2041351994489479,0.40827039889789635,-0.4588576233632219,0.6722733804578291,3.656325333599084,1A
668,ASO217-240_MT_20210616,ASO218_10,KQ501_L20_5-10-5_10uM_P19,1.1200623400118168,0.0633648546502864,19.0,0.09079925673574736,-0.5805333313556574,1.1610666627113146,-1.6480816514955268,0.1809564462825156,3.6743637030199157,1B
669,ASO217-240_total_20210616,ASO218_10,KQ501_L20_5-10-5_10uM_P19,0.2992080097871486,0.1995266114420911,19.0,0.2054364687618947,0.35566138526225133,0.7113227705245029,0.8460707298065177,0.44643894032844444,3.8880513123213567,1B
670,ASO217-240_WT_20210616,ASO218_10,KQ501_L20_5-10-5_10uM_P19,0.8529028576056259,0.0802904345634543,19.0,0.16328450110813897,-0.5452424094536817,1.0904848189073635,-1.4894275569688873,0.2543022382986351,2.405214372324776,1B
182,ASO49-72_MT_20210615,ASO65_10,KQ980_10,,,6.0,0.15550727294494526,-0.05769860146508794,0.11539720293017589,-0.09443123722349483,0.9399844041826763,2.0131876161129174,1B
183,ASO49-72_WT_20210615,ASO65_10,KQ980_10,1.169912288140054,0.445677416519813,6.0,0.7829690568146038,0.24041762256073318,0.48083524512146636,0.5460045183565261,0.618365743450376,3.455947306145317,1B
184,ASO49-72_total_20210615,ASO65_10,KQ980_10,1.3938870602920523,0.6889920272898137,6.0,1.0670400163409566,-0.3067587196324523,0.613517439264904,-0.7135697141616218,0.5447768701618998,2.157401341924282,1B
592,ASO193-216_MT_20210616,ASO194_10,KQ955_10,0.8226416394077201,0.3306878055086566,17.0,0.25214471476556305,-0.41161327806301645,0.8232265561260311,-1.0103351725436636,0.3707612840881451,3.906115371875651,2A
666,ASO217-240_MT_20210616,ASO217_3,KQ999_L20_5-10-5_3uM_P19,1.2870790557223928,0.1169648706827237,19.0,0.23233017559850486,-0.11971823551711354,0.23943647103422677,-0.26457458248588583,0.8152335214919513,2.0826256692463887,2A
667,ASO217-240_total_20210616,ASO217_3,KQ999_L20_5-10-5_3uM_P19,0.1542361898577853,0.2252290869083631,19.0,0.23873131173446202,0.06903943426816833,0.13807886853633622,0.15169226369878047,0.8867962065008317,3.986707754596183,2A
671,ASO217-240_MT_20210616,ASO218_3,KQ501_L20_5-10-5_3uM_P19,1.2103988781156974,0.2924286144952427,19.0,0.2591819328272275,0.5704776954774462,1.1409553909548942,1.600974671903692,0.18582837117032808,3.9337452896224487,2A
