,Experiment Name,SampleName,ASO Microsynth ID,Exp_zscore,Exp,Test plate #,Avg Exp,Avg Exp_zscore,Avg Exp_zscore range,Exp t_stat,Exp p_value,Exp dof
25,ASO1-95_MT_1.2-6_20210630,ASO32_10,KQ908_L20_5-10-5_10uM_P1.2-1,1.4002913084802016,1.1647335864684565,1.0,1.0305908064239955,,0.3772808372477897,,,
26,ASO1-95_MT_1.2-6_20210630,ASO32_10,KQ908_L20_5-10-5_10uM_P1.2-1,1.1524778258140544,0.9201876506248756,1.0,1.0305908064239955,,0.3772808372477897,,,
27,ASO1-95_MT_1.2-6_20210630,ASO32_10,KQ908_L20_5-10-5_10uM_P1.2-1,0.1239604207799323,1.0424657608411223,1.0,1.0305908064239955,0.1886404186238948,0.3772808372477897,,,
28,ASO1-95_MT_1.2-6_20210630,ASO32_10,KQ908_L20_5-10-5_10uM_P1.2-1,0.4630459020870165,0.98623270449336,1.0,1.0305908064239955,,0.3772808372477897,,,
29,ASO1-95_MT_1.2-6_20210630,ASO32_10,KQ908_L20_5-10-5_10uM_P1.2-1,0.9050067371787692,1.117287138072221,1.0,1.0305908064239955,,0.3772808372477897,,,
30,ASO1-95_WT_1.2-6_20210630,ASO32_10,KQ908_L20_5-10-5_10uM_P1.2-1,0.2631285870615067,1.4430953901491104,1.0,1.4652727588034202,-0.3147327299422796,0.6294654598845566,-0.734584986325475,0.5060079587280093,3.737459953556428
31,ASO1-95_WT_1.2-6_20210630,ASO32_10,KQ908_L20_5-10-5_10uM_P1.2-1,1.520083636738452,1.3371549606811932,1.0,1.4652727588034202,,0.6294654598845566,,,
32,ASO1-95_WT_1.2-6_20210630,ASO32_10,KQ908_L20_5-10-5_10uM_P1.2-1,0.8390140339731147,1.535987703710612,1.0,1.4652727588034202,,0.6294654598845566,,,
33,ASO1-95_WT_1.2-6_20210630,ASO32_10,KQ908_L20_5-10-5_10uM_P1.2-1,0.2631285870615067,1.4430953901491104,1.0,1.4652727588034202,0.314732729942277,0.6294654598845566,,,
34,ASO1-95_WT_1.2-6_20210630,ASO32_10,KQ908_L20_5-10-5_10uM_P1.2-1,0.1440360526290528,1.4531329123719134,1.0,1.4652727588034202,,0.6294654598845566,,,
35,ASO1-95_WT_1.2-6_20210630,ASO32_10,KQ908_L20_5-10-5_10uM_P1.2-1,1.3513628295173854,1.5791701957585818,1.0,1.4652727588034202,,0.6294654598845566,,,
36,ASO1-95_MT_1.2-6_20210630,ASO3_10,KQ379_L20_5-10-5_10uM_P1.2-1,0.4880851543620014,0.7071067811865479,1.0,0.6378876784294787,-0.4123898674922808,0.8247797349845616,-1.0127295494458186,0.3736092272372409,3.645540619485718
37,ASO1-95_MT_1.2-6_20210630,ASO3_10,KQ379_L20_5-10-5_10uM_P1.2-1,1.1392703847295302,0.4763189990219689,1.0,0.6378876784294787,,0.8247797349845616,,,
38,ASO1-95_MT_1.2-6_20210630,ASO3_10,KQ379_L20_5-10-5_10uM_P1.2-1,0.5859843721093144,0.554784736033923,1.0,0.6378876784294787,,0.8247797349845616,,,
39,ASO1-95_MT_1.2-6_20210630,ASO3_10,KQ379_L20_5-10-5_10uM_P1.2-1,0.8225688115761611,0.5212328804205612,1.0,0.6378876784294787,0.4123898674922808,0.8247797349845616,,,
40,ASO1-95_MT_1.2-6_20210630,ASO3_10,KQ379_L20_5-10-5_10uM_P1.2-1,1.4314769579929711,0.8408964152537151,1.0,0.6378876784294787,,0.8247797349845616,,,
41,ASO1-95_MT_1.2-6_20210630,ASO3_10,KQ379_L20_5-10-5_10uM_P1.2-1,0.6282614560600337,0.7269862586601562,1.0,0.6378876784294787,,0.8247797349845616,,,
42,ASO1-95_WT_1.2-6_20210630,ASO3_10,KQ379_L20_5-10-5_10uM_P1.2-1,0.1407031623537123,0.9455113401949032,1.0,0.9155683736584771,0.338045051186317,0.6760901023726341,0.7973010795676118,0.4699936739784665,3.9934883742298544
43,ASO1-95_WT_1.2-6_20210630,ASO3_10,KQ379_L20_5-10-5_10uM_P1.2-1,0.5661931894539161,0.7950770965516294,1.0,0.9155683736584771,,0.6760901023726341,,,
44,ASO1-95_WT_1.2-6_20210630,ASO3_10,KQ379_L20_5-10-5_10uM_P1.2-1,1.439625180659155,1.2219342569007312,1.0,0.9155683736584771,,0.6760901023726341,,,
45,ASO1-95_WT_1.2-6_20210630,ASO3_10,KQ379_L20_5-10-5_10uM_P1.2-1,0.7921421340660422,0.7469930195892812,1.0,0.9155683736584771,-0.338045051186317,0.6760901023726341,,,
46,ASO1-95_WT_1.2-6_20210630,ASO3_10,KQ379_L20_5-10-5_10uM_P1.2-1,1.0946066003355224,0.6826257144025115,1.0,0.9155683736584771,,0.6760901023726341,,,
47,ASO1-95_WT_1.2-6_20210630,ASO3_10,KQ379_L20_5-10-5_10uM_P1.2-1,0.8726135808426146,1.1012688143118063,1.0,0.9155683736584771,,0.6760901023726341,,,
48,ASO1-95_MT_1.2-6_20210630,ASO7_10,KQ973_L20_5-10-5_10uM_P1.2-1,1.7302739846269748,0.6417129487814522,1.0,0.47700558535203635,0.1782502210399434,0.3565004420798868,0.3981915158582604,0.7173650673668394,2.972177891687142
49,ASO1-95_MT_1.2-6_20210630,ASO7_10,KQ973_L20_5-10-5_10uM_P1.2-1,0.9183939973426036,0.3895822898302503,1.0,0.47700558535203635,,0.3565004420798868,,,
50,ASO1-95_MT_1.2-6_20210630,ASO7_10,KQ973_L20_5-10-5_10uM_P1.2-1,0.2771293241645406,0.4506252313054152,1.0,0.47700558535203635,,0.3565004420798868,,,
51,ASO1-95_MT_1.2-6_20210630,ASO7_10,KQ973_L20_5-10-5_10uM_P1.2-1,0.7149226692537228,0.408951029278891,1.0,0.47700558535203635,-0.1782502210399434,0.3565004420798868,,,
52,ASO1-95_MT_1.2-6_20210630,ASO7_10,KQ973_L20_5-10-5_10uM_P1.2-1,0.618554707223705,0.5358867312681468,1.0,0.47700558535203635,,0.3565004420798868,,,
53,ASO1-95_MT_1.2-6_20210630,ASO7_10,KQ973_L20_5-10-5_10uM_P1.2-1,0.4383827010898112,0.4352752816480625,1.0,0.47700558535203635,,0.3565004420798868,,,
54,ASO1-95_WT_1.2-6_20210630,ASO7_10,KQ973_L20_5-10-5_10uM_P1.2-1,0.2945410761286767,1.2389918234646824,1.0,1.1116726352978281,0.0626964159835353,0.1253928319670706,0.1376860823073893,0.8972134255489588,3.9548713416865695
55,ASO1-95_WT_1.2-6_20210630,ASO7_10,KQ973_L20_5-10-5_10uM_P1.2-1,1.088065194296366,0.6413423878796265,1.0,1.1116726352978281,,0.1253928319670706,,,
56,ASO1-95_WT_1.2-6_20210630,ASO7_10,KQ973_L20_5-10-5_10uM_P1.2-1,0.9816133661182952,1.535987703710612,1.0,1.1116726352978281,,0.1253928319670706,,,
57,ASO1-95_WT_1.2-6_20210630,ASO7_10,KQ973_L20_5-10-5_10uM_P1.2-1,0.334553022965763,1.2562875047843487,1.0,1.1116726352978281,-0.0626964159835353,0.1253928319670706,,,
58,ASO1-95_WT_1.2-6_20210630,ASO7_10,KQ973_L20_5-10-5_10uM_P1.2-1,1.3832150007685002,0.5137600681517682,1.0,1.1116726352978281,,0.1253928319670706,,,
59,ASO1-95_WT_1.2-6_20210630,ASO7_10,KQ973_L20_5-10-5_10uM_P1.2-1,0.8605727298521317,1.483666323795931,1.0,1.1116726352978281,,0.1253928319670706,,,
60,ASO1-95_MT_1.2-6_20210630,ASO8_10,KQ373_L20_5-10-5_10uM_P1.2-1,0.105123306072878,0.1029488771584467,1.0,0.10993646982338626,0.006169388649716,0.0123387772994319,0.0135167620011645,0.9898634699590458,3.995746065930173
61,ASO1-95_MT_1.2-6_20210630,ASO8_10,KQ373_L20_5-10-5_10uM_P1.2-1,1.1572013580427,0.1868561560793674,1.0,0.10993646982338626,,0.0123387772994319,,,
62,ASO1-95_MT_1.2-6_20210630,ASO8_10,KQ373_L20_5-10-5_10uM_P1.2-1,1.033569886020674,0.0412346222116529,1.0,0.10993646982338626,,0.0123387772994319,,,
