Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt from Naive,Exp from Naive,Avg dCt Ionis676630,ddCt,Exp,Exp_zscore,Avg Exp_zscore,Avg_naive,Test plate #,Avg_plate,Min_plate,Max_plate,outliers removed by Exp_zscore: 375 greater than 1.8
ASO1-24_total_20210611,E13,ASO11_10,KQ371_10,8.266681495,2.133970721,0.227829944,6.701936805,1.564744689,0.338037525,0.463332104,0.739010393,,1,,,,
ASO1-24_total_20210611,E14,ASO11_10,KQ371_10,8.618188364,2.48547759,0.178565145,6.701936805,1.916251559,0.264941995,0.900537803,,,1,,,,
ASO1-24_total_20210611,E15,ASO11_10,KQ371_10,8.575689283,2.442978509,0.183903583,6.701936805,1.873752478,0.27286278,0.853161274,,,1,,,,
ASO1-24_total_20210611,E16,ASO11_10,KQ371_10,7.691121052,1.558410278,0.339525002,6.701936805,0.989184246,0.503762541,0.527917584,0.761202117,,1,,,,
ASO1-24_total_20210611,E17,ASO11_10,KQ371_10,7.209384573,1.076673799,0.474120672,6.701936805,0.507447768,0.70346582,1.722401181,,,1,,,,
ASO1-24_total_20210611,E18,ASO11_10,KQ371_10,7.988466942,1.855756168,0.276287813,6.701936805,1.286530137,0.409935792,0.033287585,,,1,,,,
ASO1-24_MT_20210611,E13,ASO11_10,KQ371_10,9.257227821,2.693631301,0.154573906,6.923016948,2.334210873,0.198304473,0.769507047,0.821150261,,1,,,,
ASO1-24_MT_20210611,E14,ASO11_10,KQ371_10,9.79710691,3.23351039,0.106320346,6.923016948,2.874089962,0.136399479,1.486611891,,,1,,,,
ASO1-24_MT_20210611,E15,ASO11_10,KQ371_10,8.941398255,2.377801735,0.192402342,6.923016948,2.018381307,0.246834968,0.207331845,,,1,,,,
ASO1-24_MT_20210611,E16,ASO11_10,KQ371_10,8.569724521,2.006128002,0.24894035,6.923016948,1.646707574,0.319368167,0.632889681,0.821150261,,1,,,,
ASO1-24_MT_20210611,E17,ASO11_10,KQ371_10,8.393407511,1.829810991,0.281301472,6.923016948,1.470390563,0.360884588,1.113814144,,,1,,,,
ASO1-24_MT_20210611,E18,ASO11_10,KQ371_10,8.537388208,1.973791688,0.254583057,6.923016948,1.61437126,0.326607254,0.716746957,,,1,,,,
ASO1-24_WT_20210611,E13,ASO11_10,KQ371_10,8.572431692,1.67148774,0.313929445,6.689220702,1.88321099,0.271079705,0.550935223,0.807182085,,1,,,,
ASO1-24_WT_20210611,E14,ASO11_10,KQ371_10,8.854223456,1.953279503,0.258228564,6.689220702,2.165002753,0.222981704,0.859296572,,,1,,,,
ASO1-24_WT_20210611,E15,ASO11_10,KQ371_10,9.016423875,2.115479922,0.230768798,6.689220702,2.327203172,0.199270054,1.011314459,,,1,,,,
ASO1-24_WT_20210611,E16,ASO11_10,KQ371_10,7.629166622,0.728222669,0.60364712,6.689220702,0.939945919,0.52125242,1.052948416,0.807182085,,1,,,,
ASO1-24_WT_20210611,E17,ASO11_10,KQ371_10,7.505747356,0.604803403,0.65756098,6.689220702,0.816526653,0.567807317,1.351416772,,,1,,,,
ASO1-24_WT_20210611,E18,ASO11_10,KQ371_10,8.164378263,1.26343431,0.416551186,6.689220702,1.47515756,0.35969411,0.017181066,,,1,,,,
ASO1-24_total_20210611,E19,ASO11_3,KQ371_3,8.261297587,2.128586813,0.228681757,6.701936805,1.559360781,0.339301384,0.950353717,0.932208477,,1,,,,
ASO1-24_total_20210611,E20,ASO11_3,KQ371_3,7.976831627,1.844120853,0.27852508,6.701936805,1.274894821,0.413255286,0.594716382,,,1,,,,
ASO1-24_total_20210611,E21,ASO11_3,KQ371_3,7.871050309,1.738339535,0.299714433,6.701936805,1.169113504,0.444694509,1.25155533,,,1,,,,
ASO1-24_total_20210611,E22,ASO11_3,KQ371_3,8.106962873,1.9742521,0.254501824,6.701936805,1.405026068,0.377611323,0.149969421,0.695665857,,1,,,,
ASO1-24_total_20210611,E23,ASO11_3,KQ371_3,7.976694045,1.843983271,0.278551643,6.701936805,1.274757239,0.413294698,0.595539787,,,1,,,,
ASO1-24_total_20210611,E24,ASO11_3,KQ371_3,8.34318072,2.210469946,0.216063915,6.701936805,1.641243914,0.320579946,1.341488362,,,1,,,,
ASO1-24_MT_20210611,E19,ASO11_3,KQ371_3,8.420823646,1.857227126,0.276006256,6.923016948,1.497806698,0.3540913,0.483378608,0.753802019,,1,,,,
ASO1-24_MT_20210611,E20,ASO11_3,KQ371_3,8.226379977,1.662783457,0.315829217,6.923016948,1.303363029,0.40518059,1.70226259,,,1,,,,
ASO1-24_MT_20210611,E21,ASO11_3,KQ371_3,8.519618728,1.956022208,0.257738112,6.923016948,1.59660178,0.330654908,0.07576486,,,1,,,,
ASO1-24_MT_20210611,E22,ASO11_3,KQ371_3,8.594637423,2.031040903,0.244678475,6.923016948,1.671620475,0.313900564,0.475488585,0.703292113,,1,,,,
ASO1-24_MT_20210611,E23,ASO11_3,KQ371_3,8.585732057,2.022135537,0.24619348,6.923016948,1.662715109,0.315844179,0.429117966,,,1,,,,
ASO1-24_MT_20210611,E24,ASO11_3,KQ371_3,8.742553723,2.178957204,0.220835314,6.923016948,1.819536776,0.283311923,1.205269787,,,1,,,,
ASO1-24_WT_20210611,E19,ASO11_3,KQ371_3,8.093227996,1.192284044,0.437609498,6.689220702,1.404007294,0.377878072,0.467843668,0.836971132,,1,,,,
ASO1-24_WT_20210611,E20,ASO11_3,KQ371_3,8.28023235,1.379288398,0.384408356,6.689220702,1.591011648,0.33193861,1.548154087,,,1,,,,
ASO1-24_WT_20210611,E21,ASO11_3,KQ371_3,8.090874658,1.189930706,0.438323913,6.689220702,1.401653956,0.378494973,0.494915642,,,1,,,,
ASO1-24_WT_20210611,E22,ASO11_3,KQ371_3,8.024963598,1.124019645,0.458813694,6.689220702,1.335742895,0.396188004,1.271352937,0.676675218,,1,,,,
ASO1-24_WT_20210611,E23,ASO11_3,KQ371_3,8.131264297,1.230320344,0.426222795,6.689220702,1.442043594,0.368045594,0.036357278,,,1,,,,
ASO1-24_WT_20210611,E24,ASO11_3,KQ371_3,8.200675371,1.299731418,0.406201812,6.689220702,1.511454668,0.350757372,0.722315438,,,1,,,,
ASO1-24_total_20210611,F13,ASO12_10,KQ279_10,7.078364285,0.945653511,0.519194314,6.701936805,0.37642748,0.770342817,0.780313852,0.79200831,,1,,,,
ASO1-24_total_20210611,F14,ASO12_10,KQ279_10,6.885205364,0.75249459,0.593576306,6.701936805,0.183268558,0.880705415,1.564265792,,,1,,,,
ASO1-24_total_20210611,F15,ASO12_10,KQ279_10,7.310024827,1.177314053,0.442173952,6.701936805,0.608088022,0.656065598,0.031445285,,,1,,,,
ASO1-24_total_20210611,F16,ASO12_10,KQ279_10,7.538667521,1.405956747,0.377367806,6.701936805,0.836730715,0.559910944,0.714472223,0.771044786,,1,,,,
ASO1-24_total_20210611,F17,ASO12_10,KQ279_10,7.676790823,1.544080049,0.342914295,6.701936805,0.974854018,0.508791327,1.077596362,,,1,,,,
