Test plate #,Avg_plate,Min_plate,Max_plate,Experiment Name,Avg_naive
27,0.816114015,8.18e-05,2.127847672,ASO313-336_total_20210617,0.786994555
27,0.816114015,8.18e-05,2.127847672,ASO313-336_WT_20210617,0.777740524
28,0.840589363,0.00933914,2.206481488,ASO313-336_MT_20210617,0.784875063
28,0.840589363,0.00933914,2.206481488,ASO313-336_total_20210617,0.788259065
28,0.840589363,0.00933914,2.206481488,ASO313-336_WT_20210617,0.744521379
29,0.769517157,0.002162569,1.999114021,ASO337-360_MT_20210621,0.814628275
29,0.769517157,0.002162569,1.999114021,ASO337-360_total_20210621,0.779666375
29,0.769517157,0.002162569,1.999114021,ASO337-360_WT_20210621,0.806530043
30,0.794535397,0.003001342,2.02141674,ASO337-360_MT_20210621,0.843414368
30,0.794535397,0.003001342,2.02141674,ASO337-360_total_20210621,0.902042843
30,0.794535397,0.003001342,2.02141674,ASO337-360_WT_20210621,0.829856585
31,0.784305228,0.002050554,2.548162182,ASO361-384_MT_20210621,0.85508047
31,0.784305228,0.002050554,2.548162182,ASO361-384_total_20210621,0.834553164
31,0.784305228,0.002050554,2.548162182,ASO361-384_WT_20210621,0.642012894
32,0.79103802,9.77e-05,2.794232913,ASO361-384_MT_20210621,0.702951991
32,0.79103802,9.77e-05,2.794232913,ASO361-384_total_20210621,0.852228883
32,0.79103802,9.77e-05,2.794232913,ASO361-384_WT_20210621,0.772096567
33,0.830580969,0.016545751,2.151856211,ASO385-408_MT_20210621,0.828109471
33,0.830580969,0.016545751,2.151856211,ASO385-408_total_20210621,0.832565503
33,0.830580969,0.016545751,2.151856211,ASO385-408_WT_20210621,0.760913418
34,0.819545033,0.001242155,1.928045382,ASO385-408_MT_20210621,0.779636931
34,0.819545033,0.001242155,1.928045382,ASO385-408_total_20210621,0.819633124
34,0.819545033,0.001242155,1.928045382,ASO385-408_WT_20210621,0.853503495
35,0.826125537,0.007606203,1.905621357,ASO409-432_MT_20210621,0.884432043
35,0.826125537,0.007606203,1.905621357,ASO409-432_total_20210621,0.846485597
35,0.826125537,0.007606203,1.905621357,ASO409-432_WT_20210621,0.828651688
36,0.81301839,0.002154135,2.500141827,ASO409-432_MT_20210621,0.789161314
36,0.81301839,0.002154135,2.500141827,ASO409-432_total_20210621,0.804160861
36,0.81301839,0.002154135,2.500141827,ASO409-432_WT_20210621,0.716038776
