Experiment Name,SampleName,ASO Microsynth ID,Exp_zscore,Exp,Test plate #,Avg Exp,Avg Exp_zscore,Avg Exp_zscore range,Exp t_stat,Exp p_value,Exp dof
ASO1-24_WT_20210611,ASO10_10,KQ280_10,1.265534887,1.059157605,1,0.9952980063333333,0.8825594451396441,1.7651188902792883,7.566343938581368,0.005000290220612637,2.962655692747086
ASO1-24_WT_20210611,ASO10_3,KQ280_3,0.734827404,1.120358049,1,1.1649984416666668,0.9029035527445034,1.8058071054890057,13.423011838302745,0.0031710904339534883,2.2888759965435277
ASO1-24_WT_20210611,ASO11_10,KQ371_10,0.550935223,0.271079705,1,0.23111048766666667,-0.8071820849244622,1.614364169848924,-3.7863086998665474,0.04578699475392847,2.4432774233457173
ASO1-24_WT_20210611,ASO11_3,KQ371_3,0.467843668,0.377878072,1,0.36277055166666666,-0.1951315825992205,0.39026316519843857,-0.43762670177839624,0.6847382575637706,3.9106602620572426
ASO1-24_WT_20210611,ASO12_10,KQ279_10,1.455412595,0.643224117,1,0.5832598656666667,0.842249788850686,1.6844995777013727,4.784648597847002,0.020858693198047437,2.7646133451575055
ASO1-24_WT_20210611,ASO12_3,KQ279_3,1.170449543,0.726819855,1,0.822060584,-0.9022346607575985,1.8044693215151981,-12.986852600771837,0.0044557646251913935,2.1458908143263535
ASO1-24_WT_20210611,ASO1_10,KQ972_10,1.712331816,0.314776641,1,0.394001995,-0.29448405358280116,0.5889681071656043,-0.6816228753407922,0.5395780472797373,3.3555417096706037
ASO1-24_WT_20210611,ASO1_3,KQ972_3,1.233514914,0.365499862,1,0.39459828,-0.8939341989645655,1.7878683979291292,-9.665568315364064,0.003621968310968279,2.6951906188906283
ASO1-24_WT_20210611,ASO2_10,KQ380_10,0.720911613,0.512881954,1,0.533064467,-0.2579747742287676,0.5159495484575326,-0.58921145724475,0.6027277600881503,2.6132050031609744
ASO1-24_WT_20210611,ASO2_3,KQ380_3,0.240709923,0.803356276,1,0.9227031533333333,0.6257048369189375,1.251409673837875,1.8826668902693393,0.14786469672343738,3.299930403241776
ASO1-24_WT_20210611,ASO3_10,KQ379_10,0.983174123,0.447664716,1,0.5030168216666667,-0.910155391837261,1.8203107836745216,-25.871474604648945,2.541595802169905e-05,3.703941503679248
ASO1-24_WT_20210611,ASO3_3,KQ379_3,0.139779705,0.845485282,1,0.8863014803333332,0.4274933830153762,0.854986766030754,1.0600055121063543,0.35708195925122466,3.4810097722255273
ASO1-24_WT_20210611,ASO4_10,KQ378_10,0.994872256,0.495805598,1,0.5340102993333333,-0.13414082440898428,0.26828164881796607,-0.29711303529990407,0.7823469541375282,3.689682783399907
ASO1-24_WT_20210611,ASO4_3,KQ378_3,0.983476994,0.592465421,1,0.6090327253333334,-0.8479274836731248,1.6958549673462504,-5.014945594292725,0.026105504103879542,2.37440639135003
ASO1-24_WT_20210611,ASO5_10,KQ377_10,0.320648124,0.874945105,1,0.7355381689999999,-0.7995115771577722,1.5990231543155433,-3.6293235260361367,0.027876193277588723,3.4971351414666647
ASO1-24_WT_20210611,ASO5_3,KQ377_3,0.618293987,0.855924101,1,0.844035537,-0.8817303886236695,1.763460777247339,-7.459654958324117,0.005118710122387858,2.9774155041830532
ASO1-24_WT_20210611,ASO6_10,KQ281_10,0.320551014,0.772664889,1,0.8079061916666666,0.7997618145166118,1.599523629033225,3.6342076403136443,0.024091588180041184,3.8014964276400303
ASO1-24_WT_20210611,ASO6_3,KQ281_3,0.717546453,1.541549785,1,1.4487719226666667,-0.887134523310683,1.7742690466213655,-8.243442582382324,0.0019429170422657826,3.550825040259364
ASO1-24_WT_20210611,ASO7_10,KQ973_10,1.031980978,0.953239975,1,0.8579799386666668,0.6710353332319852,1.3420706664639703,2.1684555964243613,0.0971809119223264,3.9306746356931184
ASO1-24_WT_20210611,ASO7_3,KQ973_3,0.826905044,0.385204145,1,0.3664137376666667,-0.060363007934340296,0.1509075198358602,-0.1533920122896058,0.8886250526622322,3.765292281285609
ASO1-24_WT_20210611,ASO8_10,KQ373_10,1.104147774,1.271476833,1,1.1679690633333335,0.901900738916664,1.8038014778333276,12.784114840700898,0.006009084135013032,2.0047004886216646
ASO1-24_WT_20210611,ASO8_3,KQ373_3,0.861580885,0.501034449,1,0.5341342363333333,-0.23727725797544857,0.47455451595089504,-0.5383521163657231,0.6299582478030765,2.815852734656291
ASO1-24_WT_20210611,ASO9_10,KQ372_10,1.313667727,0.3999975,1,0.47937394566666675,-0.8435884728446136,1.6871769456892287,-4.836486010901777,0.009045647829569261,3.887449779553894
ASO1-24_WT_20210611,ASO9_3,KQ372_3,1.269678025,0.901388036,1,0.9614554396666666,-0.6334748830849419,1.2669497661698839,-1.9275069670564946,0.12623529365078384,3.996707622268375
ASO1-24_WT_20210611,ASO13_10,KQ974_10,0.194579406,0.767842721,2,0.686717684,0.418468675583208,0.69744779263868,0.5977537520021332,0.6372584696020211,2.835616815662727
ASO1-24_WT_20210611,ASO13_3,KQ974_3,0.488430363,0.933825294,2,0.8518900263333334,-0.8689955550345838,1.7379911100691672,-6.215836103996737,0.02290016474745037,2.0701696980130753
ASO1-24_WT_20210611,ASO14_10,KQ387_10,0.531662213,0.807447637,2,0.6074504906666667,-0.8082329733673703,1.6164659467347406,-3.8090650716327588,0.04278816494426358,2.5244611212450185
ASO1-24_WT_20210611,ASO14_3,KQ387_3,1.239485435,1.04435059,2,1.1136847663333336,-0.6057178469615614,1.2114356939231248,-1.773792580278499,0.15881722177584423,3.5939778074242037
