SampleName,ASO Microsynth ID,Test plate #,Avg Exp,Tier
ASO215_3,KQ491_3,18,1.2828192193333334,
ASO216_10,KQ298_10,18,0.70413011,
ASO216_3,KQ298_3,18,0.9234189463333333,
ASO219_10,KQ500_L20_5-10-5_10uM_P19,19,0.1728657315,
ASO21_10,KQ393_10,2,0.7539299243333333,
ASO222_10,KQ299_L20_5-10-5_10uM_P19,19,0.6929367133333333,
ASO222_3,KQ299_L20_5-10-5_3uM_P19,19,0.552833771,
ASO223_10,KQ1000_L20_5-10-5_10uM_P19,19,0.570518667,
ASO223_3,KQ1000_L20_5-10-5_3uM_P19,19,0.714191263,
ASO224_10,KQ216_L20_5-10-5_10uM_P19,19,0.6777960746666666,
ASO224_3,KQ216_L20_5-10-5_3uM_P19,19,0.8734339623333334,
ASO225_10,KQ017_L20_5-10-5_10uM_P19,19,0.783142914,
ASO225_3,KQ017_L20_5-10-5_3uM_P19,19,0.9397531286666667,
ASO226_10,KQ018_L20_5-10-5_10uM_P19,19,1.1198731943333333,
ASO226_3,KQ018_L20_5-10-5_3uM_P19,19,1.009423798,
ASO227_10,KQ019_L20_5-10-5_10uM_P19,19,0.6469074226666666,
ASO227_3,KQ019_L20_5-10-5_3uM_P19,19,0.7188018846666666,
ASO228_10,KQ020_L20_5-10-5_10uM_P19,19,0.5404585276666666,
ASO228_3,KQ020_L20_5-10-5_3uM_P19,19,0.6976313273333332,
ASO229_10,KQ1002_L20_5-10-5_10uM_P20,20,0.9018401954999999,
ASO229_3,KQ1002_L20_5-10-5_3uM_P20,20,1.5954726929999998,
ASO22_10,KQ392_10,2,1.0725894283333333,
ASO22_3,KQ392_3,2,1.1801350396666666,
ASO230_10,KQ1001_L20_5-10-5_10uM_P20,20,0.6374291716666667,
ASO230_3,KQ1001_L20_5-10-5_3uM_P20,20,0.826413851,
ASO231_3,KQ513_L20_5-10-5_3uM_P20,20,0.6688836183333334,
ASO232_3,KQ236_L20_5-10-5_3uM_P20,20,0.797057404,
ASO233_10,KQ512_L20_5-10-5_10uM_P20,20,0.5012510514999999,
ASO234_10,KQ235_L20_5-10-5_10uM_P20,20,0.696020301,
ASO234_3,KQ235_L20_5-10-5_3uM_P20,20,0.635153839,
ASO236_10,KQ521_L20_5-10-5_10uM_P20,20,0.9163363756666666,
ASO236_3,KQ521_L20_5-10-5_3uM_P20,20,1.229531758,
ASO237_3,KQ520_L20_5-10-5_3uM_P20,20,1.0431931193333333,
ASO238_3,KQ519_L20_5-10-5_3uM_P20,20,1.3444542536666668,
ASO239_10,KQ518_L20_5-10-5_10uM_P20,20,3.574290764,
ASO239_3,KQ518_L20_5-10-5_3uM_P20,20,1.2798147176666668,
ASO240_10,KQ517_L20_5-10-5_10uM_P20,20,1.6165196726666666,
ASO240_3,KQ517_L20_5-10-5_3uM_P20,20,1.213305007,
ASO241_10,KQ1004_L20_5-10-5_10uM_P21,21,0.638114117,
ASO241_3,KQ1004_L20_5-10-5_3uM_P21,21,0.8474885493333334,
ASO242_3,KQ508_L20_5-10-5_3uM_P21,21,1.0253634523333333,
ASO243_10,KQ507_L20_5-10-5_10uM_P21,21,0.9327776575,
ASO244_3,KQ506_L20_5-10-5_3uM_P21,21,0.9759492796666667,
ASO247_10,KQ963_L20_5-10-5_10uM_P21,21,1.6064989196666666,
ASO247_3,KQ963_L20_5-10-5_3uM_P21,21,0.8288656433333333,
ASO248_10,KQ964_L20_5-10-5_10uM_P21,21,1.5056640316666667,
ASO248_3,KQ964_L20_5-10-5_3uM_P21,21,0.9823997823333332,
ASO249_10,KQ965_L20_5-10-5_10uM_P21,21,0.706368185,
ASO249_3,KQ965_L20_5-10-5_3uM_P21,21,0.7917076486666667,
ASO250_10,KQ966_L20_5-10-5_10uM_P21,21,0.9335910723333334,
ASO251_10,KQ967_L20_5-10-5_10uM_P21,21,0.6669046383333334,
ASO251_3,KQ967_L20_5-10-5_3uM_P21,21,0.8030735646666667,
ASO252_10,KQ968_L20_5-10-5_10uM_P21,21,1.2442390873333335,
ASO252_3,KQ968_L20_5-10-5_3uM_P21,21,1.099007168,
ASO253_10,KQ105_L20_5-10-5_10uM_P22,22,0.5189194603333332,
ASO253_3,KQ105_L20_5-10-5_3uM_P22,22,0.6688464923333334,
ASO254_10,KQ106_L20_5-10-5_10uM_P22,22,0.4373518406666667,
ASO255_3,KQ107_L20_5-10-5_3uM_P22,22,0.6699782153333333,
ASO256_10,KQ108_L20_5-10-5_10uM_P22,22,0.6453810113333334,
ASO256_3,KQ108_L20_5-10-5_3uM_P22,22,0.8897865746666667,
ASO257_3,KQ109_L20_5-10-5_3uM_P22,22,0.7682274123333334,
ASO258_3,KQJM111_L17_4-10-3_3uM_P22,22,0.6799696453333333,
ASO259_10,KQJM112_L18_4-10-4_10uM_P22,22,0.6868712626666666,
ASO25_10,KQ976_10,3,0.607059243,
ASO25_3,KQ976_3,3,1.0756060553333333,
ASO260_10,KQJM113_L17_5-08-4_10uM_P22,22,1.2090633863333333,
ASO260_3,KQJM113_L17_5-08-4_3uM_P22,22,1.272000277,
ASO261_3,KQJM114_L18_4-10-4_3uM_P22,22,0.819518106,
ASO264_10,KQJM117_L17_5-08-4_10uM_P22,22,1.319642727,
ASO265_3,KQJM006_L20_6-08-6_3uM_P23,23,0.6756145335,
ASO266_10,KQJM008_L20_6-08-6_10uM_P23,23,0.6262680496666667,
ASO266_3,KQJM008_L20_6-08-6_3uM_P23,23,0.7515609213333333,
ASO269_10,KQJM011_L19_5-10-4_10uM_P23,23,0.5601666126666668,
ASO269_3,KQJM011_L19_5-10-4_3uM_P23,23,0.788829453,
ASO26_3,KQ401_3,3,0.9691241906666667,
ASO270_10,KQJM012_L19_6-08-5_10uM_P23,23,0.16759422866666665,
ASO270_3,KQJM012_L19_6-08-5_3uM_P23,23,0.929044668,
ASO271_3,KQJM014_L20_6-08-6_3uM_P23,23,0.8450726796666667,
ASO272_10,KQJM015_L18_5-08-5_10uM_P23,23,1.3053250323333334,
ASO273_3,KQJM016_L19_5-10-4_3uM_P23,23,1.0329524696666665,
ASO274_3,KQJM017_L19_6-08-5_3uM_P23,23,0.6422154676666666,
ASO275_10,KQJM018_L17_5-08-4_10uM_P23,23,1.0058596536666666,
ASO277_3,KQJM020_L22_7-08-7_3uM_P24,24,0.89486443,
ASO278_3,KQJM021_L17_4-10-3_3uM_P24,24,0.7145150283333334,
ASO279_3,KQJM022_L17_5-08-4_3uM_P24,24,0.898562958,
ASO27_10,KQ400_10,3,1.1495185003333332,
ASO27_3,KQ400_3,3,1.7107975536666666,
ASO285_10,KQJM180_L17_5-08-4_10uM_P24,24,0.9683156963333334,
ASO286_10,KQJM127_L18_4-10-4_10uM_P24,24,1.0547751323333332,
ASO286_3,KQJM127_L18_4-10-4_3uM_P24,24,0.5289619996666667,
ASO287_10,KQJM128_L19_5-10-4_10uM_P24,24,1.1618089473333333,
ASO288_10,KQJM129_L17_4-10-3_10uM_P24,24,0.8802019826666667,
ASO289_10,KQJM028_L18_4-10-4_10uM_P25,25,0.6734090373333333,
ASO289_3,KQJM028_L18_4-10-4_3uM_P25,25,1.8126925930000002,
ASO28_10,KQ399_10,3,0.703023684,
ASO28_3,KQ399_3,3,1.09080407,
ASO290_3,KQJM029_L18_5-08-5_3uM_P25,25,1.377254048,
ASO291_3,KQJM031_L20_6-08-6_3uM_P25,25,1.751388403,
ASO292_10,KQJM032_L21_6-10-5_10uM_P25,25,1.0890669516666664,
ASO295_10,KQJM035_L22_7-08-7_10uM_P25,25,1.2069123056666669,
ASO296_3,KQJM036_L19_5-10-4_3uM_P25,25,0.9334756206666667,
ASO299_10,KQJM040_L21_6-10-5_10uM_P25,25,1.1257896816666666,
ASO299_3,KQJM040_L21_6-10-5_3uM_P25,25,0.8985672113333334,
ASO29_10,KQ398_10,3,0.8884422363333333,
ASO29_3,KQ398_3,3,0.833978289,
ASO2_10,KQ380_10,1,0.9053543986666667,
ASO2_3,KQ380_3,1,0.9227031533333333,
ASO300_3,KQJM041_L21_7-08-6_3uM_P25,25,0.9566071223333333,
ASO302_3,KQJM044_L20_6-08-6_3uM_P26,26,0.7617585293333332,
ASO303_3,KQJM045_L21_6-10-5_3uM_P26,26,1.2309359996666667,
ASO304_3,KQJM046_L21_7-08-6_3uM_P26,26,0.716770489,
ASO305_3,KQJM047_L20_6-08-6_3uM_P26,26,0.828093627,
ASO308_10,KQJM050_L19_5-10-4_10uM_P26,26,1.140009912,
ASO309_10,KQJM051_L19_6-08-5_10uM_P26,26,0.934723247,
ASO30_10,KQ284_10,3,0.6615627063333333,
ASO310_10,KQJM181_L17_4-10-3_10uM_P26,26,2.2044263613333333,
ASO311_10,KQJM182_L18_4-10-4_10uM_P26,26,1.4215727960000002,
ASO311_3,KQJM182_L18_4-10-4_3uM_P26,26,1.0173009886666666,
ASO312_10,KQJM183_L18_4-10-4_10uM_P26,26,0.9817273886666668,
ASO313_10,KQJM052_L17_4-10-3_10uM_P27,27,2.2250009606666663,
ASO314_10,KQJM053_L17_5-08-4_10uM_P27,27,1.7825926719999998,
ASO315_3,KQJM054_L18_4-10-4_3uM_P27,27,1.0795254933333334,
ASO318_10,KQJM057_L19_6-08-5_10uM_P27,27,0.8475093053333334,
ASO318_3,KQJM057_L19_6-08-5_3uM_P27,27,0.9968860956666666,
ASO319_10,KQJM058_L17_4-10-3_10uM_P27,27,1.0119869086666666,
ASO319_3,KQJM058_L17_4-10-3_3uM_P27,27,1.2569936846666667,
ASO31_10,KQ977_10,3,0.896482814,
ASO31_3,KQ977_3,3,1.180815070333333,
ASO321_10,KQJM060_L18_4-10-4_10uM_P27,27,1.4342215493333335,
ASO322_10,KQJM061_L18_4-10-4_10uM_P27,27,0.7441621066666667,
