SampleName,ASO Microsynth ID,Test plate #,Threshold: 1.5
KQJM064_10_P2.3-5,KQJM064_L19_6-08-5_10uM_P2.3-5,5.0,
KQJM076_10_P2.3-4,KQJM076_L18_4-10-4_10uM_P2.3-4,4.0,
KQJM078_10_P2.3-4,KQJM078_L19_6-08-5_10uM_P2.3-4,4.0,
KQJM084_10_P2.3-1,KQJM084_L18_4-10-4_10uM_P2.3-1,1.0,
KQJM085_10_P2.3-1,KQJM085_L18_5-08-5_10uM_P2.3-1,1.0,
KQJM100_10_P2.3-3,KQJM100_L22_6-10-6_10uM_P2.3-3,3.0,
KQJM101_10_P2.3-3,KQJM101_L21_7-08-6_10uM_P2.3-3,3.0,
KQJM103_10_P2.3-3,KQJM103_L21_7-08-6_10uM_P2.3-3,3.0,
KQJM150_10_P2.3-7,KQJM150_L20_6-08-6_10uM_P2.3-7,7.0,
KQJM153_10_P2.3-7,KQJM153_L18_5-08-5_10uM_P2.3-7,7.0,
KQJM154_10_P2.3-7,KQJM154_L17_5-08-4_10uM_P2.3-7,7.0,
KQJM155_10_P2.3-7,KQJM155_L17_4-10-3_10uM_P2.3-7,7.0,
KQJM156_10_P2.3-5,KQJM156_L18_5-08-5_10uM_P2.3-5,5.0,
KQJM172_10_P2.3-5,KQJM172_L19_5-10-4_10uM_P2.3-5,5.0,
KQJM173_10_P2.3-5,KQJM173_L17_5-08-4_10uM_P2.3-5,5.0,
KQJM174_10_P2.3-5,KQJM174_L18_4-10-4_10uM_P2.3-5,5.0,
